host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.868341,1777235281.889506,84075,,BS2DCE,,0,ok,2992,2992,100,3,0
0.871043,1777235281.892208,84075,,BS2DCE,,1,ok,3295,3295,100,3,0
0.871043,1777235281.892208,84075,,BS2DCE,,2,ok,2863,2863,100,3,0
0.871043,1777235281.892208,84075,,BS2DCE,,3,ok,2678,2678,100,3,0
0.873221,1777235281.894386,84075,,BS2DCE,,4,ok,2933,2933,100,3,0
0.873221,1777235281.894386,84075,,BS2DCE,,5,ok,3110,3110,100,3,0
0.873221,1777235281.894386,84075,,BS2DCE,,6,ok,2504,2504,100,3,0
1.095927,1777235282.117092,84076,,BS2DCE,,0,ok,3242,3242,100,4,0
1.095927,1777235282.117092,84076,,BS2DCE,,1,reject,2563,3295,75,3,1
1.096094,1777235282.117259,84076,,BS2DCE,,2,ok,2666,2666,100,4,0
1.096094,1777235282.117259,84076,,BS2DCE,,3,reject,3338,2678,75,3,1
1.096094,1777235282.117259,84076,,BS2DCE,,4,timeout,0,2933,75,3,1
1.09851,1777235282.119675,84076,,BS2DCE,,5,reject,2255,3110,75,3,1
1.09851,1777235282.119675,84076,,BS2DCE,,6,ok,2579,2579,100,4,0
1.09851,1777235282.119675,84076,,BS2DCE,,7,ok,3143,3143,100,4,0
1.303549,1777235282.324714,84077,,BS2DCE,,0,ok,3267,3267,100,5,0
1.303549,1777235282.324714,84077,,BS2DCE,,1,reject,2463,3295,60,3,2
1.303549,1777235282.324714,84077,,BS2DCE,,2,reject,3245,2666,80,4,1
1.306977,1777235282.328142,84077,,BS2DCE,,3,reject,3414,2678,60,3,2
1.306977,1777235282.328142,84077,,BS2DCE,,4,ok,2821,2821,80,4,1
1.306977,1777235282.328142,84077,,BS2DCE,,5,ok,2695,2695,80,4,1
1.507574,1777235282.528739,84078,,BS2DCE,,0,ok,3031,3031,100,6,0
1.507725,1777235282.52889,84078,,BS2DCE,,1,reject,2362,3295,50,3,3
1.507725,1777235282.52889,84078,,BS2DCE,,2,ok,3010,3010,83,5,1
1.507725,1777235282.52889,84078,,BS2DCE,,3,reject,3539,2678,50,3,3
1.510379,1777235282.531544,84078,,BS2DCE,,4,ok,2724,2724,83,5,1
1.510379,1777235282.531544,84078,,BS2DCE,,5,reject,2084,2695,66,4,2
1.510379,1777235282.531544,84078,,BS2DCE,,6,ok,2825,2825,83,5,1
1.633651,1777235282.654816,84079,,BS2DCE,,0,timeout,0,3031,85,6,1
1.633651,1777235282.654816,84079,,BS2DCE,,1,reject,2368,3295,42,3,4
1.686178,1777235282.707343,84079,,BS2DCE,,2,ok,3048,3048,85,6,1
1.686178,1777235282.707343,84079,,BS2DCE,,3,reject,3464,2678,42,3,4
1.686178,1777235282.707343,84079,,BS2DCE,,4,ok,2691,2691,85,6,1
1.689688,1777235282.710853,84079,,BS2DCE,,5,reject,2143,2695,57,4,3
1.689688,1777235282.710853,84079,,BS2DCE,,6,ok,3027,3027,85,6,1
1.689688,1777235282.710853,84079,,BS2DCE,,7,ok,3438,3438,100,7,0
