config,d_tag_min_median,d_tag_min_rmse,d_tag_min_p95,d_tag_zero_slope,d_tag_loo_cv,spread_mm
L_V4+C_V4,50.0,56.0,56.0,69.72976325668824,49.621,20.108763256688242
L_V4+C_V5,0.0,0.0,2.0,0.0,49.621,49.621
L_V4+C_none,88.0,90.0,116.0,107.5503405693837,49.621,66.37899999999999
L_V5+C_V5,76.0,74.0,70.0,88.57260891901812,49.621,38.95160891901812
L_V5+C_none,120.0,120.0,120.0,120.0,49.621,70.37899999999999
L_Vicon+C_Vicon_cm,68.0,76.0,84.0,87.32995126064868,49.621,37.70895126064868
