config,criterion,optimal_d_tag_mm,median_3d_at_opt,rmse_3d_at_opt,p95_3d_at_opt,slope_at_opt
L_V4+C_V4,min_median,50.0,57.95050891604628,74.31920724321373,110.33787583645976,31.3237190556472
L_V4+C_V4,min_rmse,56.0,58.40565425411623,73.9285809783891,109.3280963889342,21.51414687401471
L_V4+C_V4,min_p95,56.0,58.40565425411623,73.9285809783891,109.3280963889342,21.51414687401471
L_V4+C_V4,zero_slope,69.72976325668824,62.25118313017745,75.96972100526484,118.70296611981945,-7.993605777301127e-15
L_V4+C_V4,loo_cv,49.621,57.92095709409735,74.37189349158585,110.58455035871611,31.953508822931195
L_V4+C_V5,min_median,0.0,59.83258999663252,75.28051109111345,117.66010643864962,-10.569472962494112
L_V4+C_V5,min_rmse,0.0,59.83258999663252,75.28051109111345,117.66010643864962,-10.569472962494112
L_V4+C_V5,min_p95,2.0,60.26012381682102,76.2617719178779,115.61481758639069,-13.657216692703397
L_V4+C_V5,zero_slope,0.0,59.83258999663252,75.28051109111345,117.66010643864962,-10.569472962494112
L_V4+C_V5,loo_cv,49.621,104.31725674038807,113.5793785632586,168.26901495321468,-83.40159744937668
L_V4+C_none,min_median,88.0,51.119131722637206,68.71774856603972,112.68074209668876,32.459035744778795
L_V4+C_none,min_rmse,90.0,52.36300799507036,68.6326821174235,115.75007330891748,29.096011892237684
L_V4+C_none,min_p95,116.0,64.18304645774737,76.00893453705208,110.17900234409848,-13.788804025248254
L_V4+C_none,zero_slope,107.5503405693837,59.84951680062501,72.01362735668427,121.5074035304719,3.1086244689504383e-15
L_V4+C_none,loo_cv,49.621,63.36845218466607,90.64263513614632,142.87232731336212,101.87834906598052
L_V5+C_V5,min_median,76.0,56.61920830126448,74.48425619296654,128.05436599617215,23.4541034511672
L_V5+C_V5,min_rmse,74.0,57.55575016839912,74.4456707714998,125.89735655127734,27.294576385479758
L_V5+C_V5,min_p95,70.0,59.43855384696427,74.69461711461875,121.80104986011794,35.06874543104926
L_V5+C_V5,zero_slope,88.57260891901812,58.56903446067225,76.95292610239231,140.84075603323697,-6.661338147750939e-15
L_V5+C_V5,loo_cv,49.621,67.84873089032392,82.79872650778267,153.63462763650298,76.94273729548733
L_V5+C_none,min_median,120.0,101.58939998896044,128.69978802121767,206.3828838860549,179.5925729948488
L_V5+C_none,min_rmse,120.0,101.58939998896044,128.69978802121767,206.3828838860549,179.5925729948488
L_V5+C_none,min_p95,120.0,101.58939998896044,128.69978802121767,206.3828838860549,179.5925729948488
L_V5+C_none,zero_slope,120.0,101.58939998896044,128.69978802121767,206.3828838860549,179.5925729948488
L_V5+C_none,loo_cv,49.621,224.66007289672245,243.7414248626913,393.5152781093901,366.3055407464234
L_Vicon+C_Vicon_cm,min_median,68.0,52.7722163379996,74.59766553647609,139.59375666876088,35.56338692838905
L_Vicon+C_Vicon_cm,min_rmse,76.0,56.66462669702086,73.90646900407455,129.37548365257413,20.53401796783016
L_Vicon+C_Vicon_cm,min_p95,84.0,59.2835292406986,74.68785530441615,121.87585608612096,5.946119007280389
L_Vicon+C_Vicon_cm,zero_slope,87.32995126064868,60.67503973114338,75.44926915733271,123.1532850248778,-9.325873406851315e-15
L_Vicon+C_Vicon_cm,loo_cv,49.621,63.39153174722954,82.00394066723503,159.81769435321524,72.18075097832084
