a,b,distance_mm,sigma_mm,var_mm2,n_ab,n_ba,mean_ab_mm,mean_ba_mm,bias_mm,high_bias
A,B,4366,26.57254406245381,706.1000979510494,499,500,4381.895791583166,4234.986,146.90979158316608,False
A,C,3222,23.063843303317878,531.940867920001,500,485,3355.7479999999996,3088.247422680413,267.50057731958685,True
A,D,5491,13.385810052083347,179.17991075045555,500,459,5722.418,5438.217864923747,284.20013507625265,True
A,E,1742,17.08447303696613,291.8792189508227,500,500,1775.788,1692.326,83.46199999999993,False
A,F,4113,14.95866601544143,223.7616889615224,500,499,4112.016,4114.440881763527,2.4248817635266207,False
A,G,3833,26.192094406250032,686.0258093859143,500,481,3875.962,3557.665280665281,318.29671933471906,True
A,H,5550,34.18629561347307,1168.702807771768,500,485,5617.328,5248.265979381444,369.0620206185571,True
B,C,4571,17.730086899755047,314.35598147286555,500,485,4658.382,4538.99381443299,119.38818556700959,False
B,D,2873,20.967130275743525,439.62055200000077,500,459,2917.59,2828.6623093681915,88.92769063180862,False
B,E,4449,36.345795753430174,1321.0168689500629,500,500,4519.054,4434.004,85.04999999999984,False
B,F,1882,33.572899320461445,1127.1395687818408,500,500,1787.6019999999999,1932.3139999999999,144.71199999999996,False
B,G,4972,25.55807334785858,653.2151132545192,500,482,5134.279999999999,4916.180497925311,218.0995020746872,True
B,H,3172,27.01617212800295,729.8735564498835,500,485,3228.4399999999996,3094.445360824742,133.99463917525756,False
C,D,3959,19.94370543208832,397.75138636190906,500,500,3963.6780000000003,3949.94,13.738000000000028,False
C,E,3620,25.985838521277795,675.2638036539249,486,500,3523.246913580247,3676.044,152.79708641975276,False
C,F,4866,11.719457991704676,137.3456956193306,486,500,4840.965020576132,5027.835999999999,186.8709794238681,True
C,G,1650,19.373354084857976,375.32684849728315,500,500,1651.316,1648.618,2.698000000000089,False
C,H,4189,22.162181117607595,491.1622718896427,500,500,4189.608,4187.938,1.6699999999998383,False
D,E,5497,19.52597863251754,381.2638415575315,459,500,5415.692810457516,5559.294,143.60118954248335,True
D,F,3419,17.004305435061248,289.14640332885347,459,500,3364.385620915033,3529.806,165.4203790849671,True
D,G,4316,19.1845138974066,368.045573479787,500,500,4318.7080000000005,4310.715999999999,7.992000000001553,False
D,H,1516,26.71711415741719,713.804188900462,500,500,1519.79,1513.7299999999998,6.060000000000176,False
E,F,3840,13.628634679233175,185.73968321999712,500,500,3832.0860000000002,3847.016,14.929999999999666,False
E,G,3297,32.31998914371027,1044.5816982495498,500,482,3363.05,3142.01867219917,221.03132780083047,True
E,H,5322,25.94285290516028,673.0316168587831,500,485,5408.41,5232.523711340206,175.88628865979405,True
F,G,4807,18.144917477253493,329.2380302563393,500,482,4889.322,4690.410788381743,198.91121161825697,True
F,H,2876,20.407491644256467,416.4657152103975,500,485,3015.0420000000004,2826.5278350515455,188.51416494845452,True
G,H,3903,19.83614222206866,393.472538254135,500,500,3911.718,3891.624,20.09400000000028,False
