gate_id,status,blocking_next_phase,evidence
G11_two_gpu_dynamic_balance,FAIL,False,devices=['cuda:0']; partial_chunks_by_gpu={'cuda:0': 8}; gpu0 max_util=0%; failed=0
G12_cpu_parallel_execution,FAIL,False,"workers_per_device=1; total_workers=1; build_track_tensors_mean=0.07s, cpu_golden_mean=0.06s, simulate_imu_prior_mean=0.28s, torch_gpu_mean=0.13s"
G13_thread_oversubscription_control,PASS,True,checked_logs=9; torch_threads_1_in_sample=True; workers_per_device=1
