row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L12:I0:T6,S00,simulate_imu_prior,L12:I0,0.852903046999927,,,,
R2:L12:I0:T6,S00,build_track_tensors,L12:I0,14.473961136999947,,,,
R2:L12:I0:T6,S00,torch_gpu,,17.140104377000057,0,1,17.140104377000057,17.140104377000057
R2:L12:I0:T8,S00,torch_gpu,,12.413056931999904,0,1,12.413056931999904,12.413056931999904
R2:L12:I1:T6,S00,simulate_imu_prior,L12:I1,0.5754960500000834,,,,
R2:L12:I1:T6,S00,build_track_tensors,L12:I1,14.041753735000043,,,,
R2:L12:I1:T6,S00,torch_gpu,,13.117578728000012,0,1,13.117578728000012,13.117578728000012
R2:L12:I1:T8,S00,torch_gpu,,15.220191998000018,0,1,15.220191998000018,15.220191998000018
R2:L12:I3:T6,S00,simulate_imu_prior,L12:I3,0.5756955729999618,,,,
R2:L12:I3:T6,S00,build_track_tensors,L12:I3,13.556156616999942,,,,
R2:L12:I3:T6,S00,torch_gpu,,13.55956749500001,0,1,13.55956749500001,13.55956749500001
R2:L12:I3:T8,S00,torch_gpu,,14.428299498000001,0,1,14.428299498000001,14.428299498000001
R2:L12:I4:T6,S00,simulate_imu_prior,L12:I4,0.5574655799999846,,,,
R2:L12:I4:T6,S00,build_track_tensors,L12:I4,13.506776691000027,,,,
R2:L12:I4:T6,S00,torch_gpu,,15.99169513799984,0,1,15.99169513799984,15.99169513799984
R2:L12:I4:T8,S00,torch_gpu,,16.511723219000032,0,1,16.511723219000032,16.511723219000032
