relative_ms,sequence,hardware_timestamp_us,record_index,raw_bytes_submitted,batch_seq,batch_n,batch_offset,a0_raw,a1_raw,a2_raw,cal_a0_g,cal_a1_g,cal_a2_g,raw_norm_g,corrected_norm_g,corrected_residual_g,g0_raw,g1_raw,g2_raw,gyro_norm_dps,accel_first_diff_g,accel_second_diff_g,neighbor_median_g,neighbor_mad_g,locally_inconsistent,stability_detector_state,lifecycle_within_10s,crc_decode_status,sequence_status,timestamp_status
-5000.0,46734,3840600899,120084,18583985,46732,10,2,878,1758,-457,0.42884364656605484,0.853643950133461,-0.21015504112052233,0.9851063025183386,0.9781513216818237,-0.021848678318176273,-1,-3,0,0.19301011109426144,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[0.44189453125,0.876220703125,-0.214599609375]","[0.001708984375,0.00244140625,0.000732421875]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4995.0,46735,3840605899,120084,18583985,46732,10,3,955,1886,-441,0.4663308100970502,0.9160149862916567,-0.2023692405030959,1.0544503404510308,1.0476169094943413,0.047616909494341275,1,-5,0,0.31121945273393464,"[0.03759765625,0.0625,0.0078125]","[0.03759765625,0.0625,0.0078125]","[0.44140625,0.87548828125,-0.21484375]","[0.00146484375,0.00244140625,0.0009765625]",True,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4990.0,46736,3840610899,120084,18583985,46732,10,4,905,1789,-453,0.44198849611588437,0.868749435453024,-0.20820859096616573,1.0036234772823032,0.9967097017942812,-0.0032902982057188,3,-6,0,0.40943627517696346,"[-0.0244140625,-0.04736328125,-0.005859375]","[-0.06201171875,-0.10986328125,-0.013671875]","[0.441650390625,0.876220703125,-0.214599609375]","[0.002197265625,0.0029296875,0.000732421875]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4985.0,46737,3840615899,120084,18583985,46732,10,5,883,1756,-437,0.43127787796417144,0.8526694026934892,-0.2004227903487393,0.9831557215833513,0.9763273084381718,-0.023672691561828163,0,-5,0,0.30517578125,"[-0.0107421875,-0.01611328125,0.0078125]","[0.013671875,0.03125,0.013671875]","[0.44189453125,0.8759765625,-0.21484375]","[0.001953125,0.00244140625,0.0009765625]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4980.0,46738,3840620899,120084,18583985,46732,10,6,905,1803,-445,0.44198849611588437,0.8755712675328267,-0.20431569065745253,1.0087303299622825,1.0018601582439806,0.0018601582439805586,0,-5,0,0.30517578125,"[0.0107421875,0.02294921875,-0.00390625]","[0.021484375,0.0390625,-0.01171875]","[0.44140625,0.875732421875,-0.214599609375]","[0.001953125,0.002685546875,0.000732421875]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4975.0,46739,3840625899,120084,18583985,46732,10,7,902,1794,-443,0.44052795727701444,0.8711858040529535,-0.20334246558027422,1.0040431541576122,0.9971849099511662,-0.002815090048833846,2,-5,0,0.3286843754354556,"[-0.00146484375,-0.00439453125,0.0009765625]","[-0.01220703125,-0.02734375,0.0048828125]","[0.44140625,0.8759765625,-0.21484375]","[0.001953125,0.00244140625,0.0009765625]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4970.0,46740,3840630899,120084,18583985,46732,10,8,904,1803,-444,0.44150164983626106,0.8755712675328267,-0.20382907811886336,1.0084114364977221,1.0015463266489308,0.0015463266489308403,0,-4,0,0.244140625,"[0.0009765625,0.00439453125,-0.00048828125]","[0.00244140625,0.0087890625,-0.00146484375]","[0.441650390625,0.8759765625,-0.214599609375]","[0.002197265625,0.00244140625,0.000732421875]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4965.0,46741,3840635899,120084,18583985,46732,10,9,921,1830,-441,0.44977803658985743,0.888727657972446,-0.2023692405030959,1.0232518151418848,1.016410567509811,0.016410567509810958,2,-6,0,0.3860202221885229,"[0.00830078125,0.01318359375,0.00146484375]","[0.00732421875,0.0087890625,0.001953125]","[0.44140625,0.8759765625,-0.21435546875]","[0.00146484375,0.00244140625,0.00048828125]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4960.0,46742,3840640899,120085,18584163,46742,10,0,879,1755,-439,0.4293304928456782,0.8521821289735033,-0.20139601542591762,0.982087277412722,0.9752432558384406,-0.024756744161559374,2,-5,0,0.3286843754354556,"[-0.0205078125,-0.03662109375,0.0009765625]","[-0.02880859375,-0.0498046875,-0.00048828125]","[0.44140625,0.87646484375,-0.214599609375]","[0.00146484375,0.00244140625,0.000732421875]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
-4955.0,46743,3840645899,120085,18584163,46742,10,1,904,1793,-439,0.44150164983626106,0.8706985303329676,-0.20139601542591762,1.003627159421353,0.9967948598189934,-0.003205140181006594,0,-4,0,0.244140625,"[0.01220703125,0.0185546875,0.0]","[0.03271484375,0.05517578125,-0.0009765625]","[0.44140625,0.87646484375,-0.21484375]","[0.001953125,0.0029296875,0.0009765625]",False,OUTSIDE_ACCEPTED_WINDOW,NONE,RAW_REPLAY_VALID_COMPLETE_FRAME,CONTIGUOUS,MONOTONIC
