row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L7:I0:T6,simulate_imu_prior,0.6770831930043641,,,,
R2:L7:I0:T6,cpu_golden,21.41830695400131,,,,
R2:L7:I0:T6,torch_gpu,2.613957623994793,0,1,2.613957623994793,2.613957623994793
R2:L7:I0:T8,simulate_imu_prior,0.6499569640000118,,,,
R2:L7:I0:T8,cpu_golden,21.776030357999844,,,,
R2:L7:I0:T8,torch_gpu,2.6341891519987257,0,1,2.6341891519987257,2.6341891519987257
R2:L7:I1:T6,simulate_imu_prior,0.5906689339899458,,,,
R2:L7:I1:T6,cpu_golden,21.243859224006883,,,,
R2:L7:I1:T6,torch_gpu,2.4958671530039283,0,1,2.4958671530039283,2.4958671530039283
R2:L7:I1:T8,simulate_imu_prior,0.5849790500069503,,,,
R2:L7:I1:T8,cpu_golden,23.661074456002098,,,,
R2:L7:I1:T8,torch_gpu,3.10013824699854,0,1,3.10013824699854,3.10013824699854
