delta_c,d_tag,range_residual_rms,position_median_3d,position_rmse_3d
-80.0,0.0,160.0,307.392822265625,290.251574608132
-80.0,1.0,160.0,305.59722900390625,288.7092097812261
-80.0,2.0,160.0,303.80224609375,287.1696743651739
-80.0,3.0,160.0,302.0079650878906,285.63306881381925
-80.0,4.0,160.0,300.2144775390625,284.0993031714439
-80.0,5.0,160.0,298.42181396484375,282.56843750673926
-80.0,6.0,160.0,296.6300048828125,281.04038021697164
-80.0,7.0,160.0,294.83880615234375,279.5152053109097
-80.0,8.0,160.0,293.048583984375,277.9928759204092
-80.0,9.0,160.0,291.2592468261719,276.47336840553015
-80.0,10.0,160.0,289.4707336425781,274.9566869299599
-80.0,11.0,160.0,287.6831359863281,273.44284994766275
-80.0,12.0,160.0,285.89642333984375,271.93181877540553
-80.0,13.0,160.0,284.11065673828125,270.4236404467997
-80.0,14.0,160.0,282.325927734375,268.9182758060523
-80.0,15.0,160.0,280.5423583984375,267.4156993334535
-80.0,16.0,160.0,278.75958251953125,265.9159436034252
-80.0,17.0,160.0,276.9779357910156,264.4190418398418
-80.0,18.0,160.0,275.1973876953125,262.9249387895716
-80.0,19.0,160.0,273.41790771484375,261.43363761191864
-80.0,20.0,160.0,271.6395263671875,259.9451865297759
-80.0,21.0,160.0,269.86236572265625,258.45951387499747
-80.0,22.0,160.0,268.08624267578125,256.9766982383811
-80.0,23.0,160.0,266.3114013671875,255.49672820801445
-80.0,24.0,160.0,264.53778076171875,254.01958432126844
-80.0,25.0,160.0,262.765380859375,252.54528523365863
-80.0,26.0,160.0,260.9942626953125,251.07381104716995
-80.0,27.0,160.0,259.2244873046875,249.6051960722172
-80.0,28.0,160.0,257.455810546875,248.13945172019706
-80.0,29.0,160.0,255.68862915039062,246.67652623172316
-80.0,30.0,160.0,253.92283630371094,245.21652581188323
-80.0,31.0,160.0,252.15838623046875,243.75939084474263
-80.0,32.0,160.0,250.39544677734375,242.30517302567026
-80.0,33.0,160.0,248.74549865722656,240.85379544705123
-80.0,34.0,160.0,247.240966796875,239.4054076639665
-80.0,35.0,160.0,245.74038696289062,237.9599083222844
-80.0,36.0,160.0,244.24395751953125,236.51737515455392
-80.0,37.0,160.0,242.75152587890625,235.07775475627207
-80.0,38.0,160.0,241.262939453125,233.64111768907458
-80.0,39.0,160.0,239.77847290039062,232.20743521418515
-80.0,40.0,160.0,238.29783630371094,230.77682163997753
-80.0,41.0,160.0,236.82125854492188,229.34914704441348
-80.0,42.0,160.0,235.34832763671875,227.9244923626024
-80.0,43.0,160.0,233.87942504882812,226.50290595542037
-80.0,44.0,160.0,232.41015625,225.08435918561733
-80.0,45.0,160.0,230.6356964111328,223.66888369026657
-80.0,46.0,160.0,228.86293029785156,222.2565117859317
-80.0,47.0,160.0,227.0916290283203,220.8472676421422
-80.0,48.0,160.0,225.322021484375,219.44119371713234
-80.0,49.0,160.0,223.55397033691406,218.03816323066016
-80.0,50.0,160.0,221.78759765625,216.63841562613035
-80.0,51.0,160.0,220.02276611328125,215.24180624648642
-80.0,52.0,160.0,218.25975036621094,213.84841484390293
-80.0,53.0,160.0,216.49855041503906,212.45830473295226
-80.0,54.0,160.0,214.7388153076172,211.07142045111175
-80.0,55.0,160.0,212.98104858398438,209.68785394903063
-80.0,56.0,160.0,211.22500610351562,208.3075775746048
-80.0,57.0,160.0,209.47059631347656,206.93070435836728
-80.0,58.0,160.0,207.71829223632812,205.55713165687052
-80.0,59.0,160.0,205.96780395507812,204.18702173191616
-80.0,60.0,160.0,204.21917724609375,202.82030031224684
-80.0,61.0,160.0,202.47244262695312,201.45702666759976
-80.0,62.0,160.0,200.7277374267578,200.09728102850374
-80.0,63.0,160.0,198.98486328125,198.74102770628414
-80.0,64.0,160.0,197.24407958984375,197.3882892137981
-80.0,65.0,160.0,195.50531005859375,196.0391682005155
-80.0,66.0,160.0,193.76849365234375,194.69366964542016
-80.0,67.0,160.0,192.0338134765625,193.35181866548348
-80.0,68.0,160.0,190.30133056640625,192.01361035744316
-80.0,69.0,160.0,188.57078552246094,190.679121415403
-80.0,70.0,160.0,186.84255981445312,189.34839953442966
-80.0,71.0,160.0,185.11642456054688,188.02151431086284
-80.0,72.0,160.0,183.3924560546875,186.69840108782398
-80.0,73.0,160.0,181.67092895507812,185.3791933106302
-80.0,74.0,160.0,180.05392456054688,184.0638582292841
-80.0,75.0,160.0,178.60597229003906,182.75255427421527
-80.0,76.0,160.0,177.16152954101562,181.44515355886472
-80.0,77.0,160.0,175.72085571289062,180.14181154197655
-80.0,78.0,160.0,174.28384399414062,178.84255143316705
-80.0,79.0,160.0,172.85049438476562,177.54742434241336
-80.0,80.0,160.0,171.42108154296875,176.25647705297243
-80.0,81.0,160.0,169.99520874023438,174.96975185014122
-80.0,82.0,160.0,168.572998046875,173.68728072134414
-80.0,83.0,160.0,167.1547088623047,172.40909629243754
-80.0,84.0,160.0,165.74008178710938,171.13531743915397
-80.0,85.0,160.0,164.32904052734375,169.86592254076447
-80.0,86.0,160.0,162.92190551757812,168.60106274687297
-80.0,87.0,160.0,161.51866149902344,167.34065998547692
-80.0,88.0,160.0,160.11903381347656,166.0848627678784
-80.0,89.0,160.0,158.72335815429688,164.83369341361916
-80.0,90.0,160.0,157.33145141601562,163.5872461696663
-80.0,91.0,160.0,155.65380859375,162.345527540798
-80.0,92.0,160.0,153.9205322265625,161.10865898517062
-80.0,93.0,160.0,152.1898193359375,159.87667977029983
-80.0,94.0,160.0,150.46156311035156,158.64959300097496
-80.0,95.0,160.0,148.7361297607422,157.42750687816599
-80.0,96.0,160.0,147.0132293701172,156.2105012575179
-80.0,97.0,160.0,145.29302978515625,154.99863910692895
-80.0,98.0,160.0,143.57553100585938,153.79198486714125
-80.0,99.0,160.0,141.86080932617188,152.59063008790875
-80.0,100.0,160.0,140.1488494873047,151.39458481894258
-80.0,101.0,160.0,138.43983459472656,150.20399540083812
-80.0,102.0,160.0,136.7337188720703,149.01894672951826
-80.0,103.0,160.0,135.0303955078125,147.83939369506695
-80.0,104.0,160.0,133.330078125,146.6655421358405
-80.0,105.0,160.0,131.63290405273438,145.49739581002817
-80.0,106.0,160.0,129.93873596191406,144.3351067719666
-80.0,107.0,160.0,128.24777221679688,143.17872899806034
-80.0,108.0,160.0,126.55982971191406,142.02833811646533
-80.0,109.0,160.0,124.87518310546875,140.88402533200846
-80.0,110.0,160.0,123.19378662109375,139.74589802790277
-80.0,111.0,160.0,121.51570129394531,138.6139817532849
-80.0,112.0,160.0,119.84101104736328,137.48849383675713
-80.0,113.0,160.0,118.18748474121094,136.36942157472473
-80.0,114.0,160.0,116.58334350585938,135.25693143051856
-80.0,115.0,160.0,114.9835433959961,134.15107068385626
-80.0,116.0,160.0,113.38825988769531,133.0519679368742
-80.0,117.0,160.0,111.79763793945312,131.95977725238853
-80.0,118.0,160.0,110.21156311035156,130.87451498238684
-80.0,119.0,160.0,108.63033294677734,129.7963774894161
-80.0,120.0,160.0,107.05381774902344,128.72536930661727
-78.0,0.0,156.0,303.80224609375,287.1696743651739
-78.0,1.0,156.0,302.0079650878906,285.63306881381925
-78.0,2.0,156.0,300.2144775390625,284.0993031714439
-78.0,3.0,156.0,298.42181396484375,282.56843750673926
-78.0,4.0,156.0,296.6300048828125,281.04038021697164
-78.0,5.0,156.0,294.83880615234375,279.5152053109097
-78.0,6.0,156.0,293.048583984375,277.9928759204092
-78.0,7.0,156.0,291.2592468261719,276.47336840553015
-78.0,8.0,156.0,289.4707336425781,274.9566869299599
-78.0,9.0,156.0,287.6831359863281,273.44284994766275
-78.0,10.0,156.0,285.89642333984375,271.93181877540553
-78.0,11.0,156.0,284.11065673828125,270.4236404467997
-78.0,12.0,156.0,282.325927734375,268.9182758060523
-78.0,13.0,156.0,280.5423583984375,267.4156993334535
-78.0,14.0,156.0,278.75958251953125,265.9159436034252
-78.0,15.0,156.0,276.9779357910156,264.4190418398418
-78.0,16.0,156.0,275.1973876953125,262.9249387895716
-78.0,17.0,156.0,273.41790771484375,261.43363761191864
-78.0,18.0,156.0,271.6395263671875,259.9451865297759
-78.0,19.0,156.0,269.86236572265625,258.45951387499747
-78.0,20.0,156.0,268.08624267578125,256.9766982383811
-78.0,21.0,156.0,266.3114013671875,255.49672820801445
-78.0,22.0,156.0,264.53778076171875,254.01958432126844
-78.0,23.0,156.0,262.765380859375,252.54528523365863
-78.0,24.0,156.0,260.9942626953125,251.07381104716995
-78.0,25.0,156.0,259.2244873046875,249.6051960722172
-78.0,26.0,156.0,257.455810546875,248.13945172019706
-78.0,27.0,156.0,255.68862915039062,246.67652623172316
-78.0,28.0,156.0,253.92283630371094,245.21652581188323
-78.0,29.0,156.0,252.15838623046875,243.75939084474263
-78.0,30.0,156.0,250.39544677734375,242.30517302567026
-78.0,31.0,156.0,248.74549865722656,240.85379544705123
-78.0,32.0,156.0,247.240966796875,239.4054076639665
-78.0,33.0,156.0,245.74038696289062,237.9599083222844
-78.0,34.0,156.0,244.24395751953125,236.51737515455392
-78.0,35.0,156.0,242.75152587890625,235.07775475627207
-78.0,36.0,156.0,241.262939453125,233.64111768907458
-78.0,37.0,156.0,239.77847290039062,232.20743521418515
-78.0,38.0,156.0,238.29783630371094,230.77682163997753
-78.0,39.0,156.0,236.82125854492188,229.34914704441348
-78.0,40.0,156.0,235.34832763671875,227.9244923626024
-78.0,41.0,156.0,233.87942504882812,226.5029232013353
-78.0,42.0,156.0,232.41015625,225.08435918561733
-78.0,43.0,156.0,230.6356964111328,223.66888369026657
-78.0,44.0,156.0,228.86293029785156,222.2565117859317
-78.0,45.0,156.0,227.0916290283203,220.8472676421422
-78.0,46.0,156.0,225.322021484375,219.44119371713234
-78.0,47.0,156.0,223.55397033691406,218.03816323066016
-78.0,48.0,156.0,221.78759765625,216.63840661053155
-78.0,49.0,156.0,220.02276611328125,215.24180624648642
-78.0,50.0,156.0,218.25975036621094,213.84841484390293
-78.0,51.0,156.0,216.49855041503906,212.45830473295226
-78.0,52.0,156.0,214.7388153076172,211.07142045111175
-78.0,53.0,156.0,212.98104858398438,209.68785394903063
-78.0,54.0,156.0,211.22500610351562,208.3075775746048
-78.0,55.0,156.0,209.47059631347656,206.93070435836728
-78.0,56.0,156.0,207.71829223632812,205.55713165687052
-78.0,57.0,156.0,205.96780395507812,204.18702173191616
-78.0,58.0,156.0,204.21917724609375,202.82030031224684
-78.0,59.0,156.0,202.47244262695312,201.45702666759976
-78.0,60.0,156.0,200.7277374267578,200.09728102850374
-78.0,61.0,156.0,198.98486328125,198.74102770628414
-78.0,62.0,156.0,197.24407958984375,197.3882892137981
-78.0,63.0,156.0,195.50531005859375,196.0391682005155
-78.0,64.0,156.0,193.76849365234375,194.69366964542016
-78.0,65.0,156.0,192.0338134765625,193.35181866548348
-78.0,66.0,156.0,190.30133056640625,192.01361035744316
-78.0,67.0,156.0,188.57078552246094,190.679121415403
-78.0,68.0,156.0,186.84255981445312,189.34839953442966
-78.0,69.0,156.0,185.11642456054688,188.02151431086284
-78.0,70.0,156.0,183.3924560546875,186.69840108782398
-78.0,71.0,156.0,181.67092895507812,185.3791933106302
-78.0,72.0,156.0,180.05392456054688,184.0638582292841
-78.0,73.0,156.0,178.60597229003906,182.75255427421527
-78.0,74.0,156.0,177.16152954101562,181.44515355886472
-78.0,75.0,156.0,175.72085571289062,180.14181154197655
-78.0,76.0,156.0,174.28384399414062,178.84255143316705
-78.0,77.0,156.0,172.85049438476562,177.54742434241336
-78.0,78.0,156.0,171.42108154296875,176.25647705297243
-78.0,79.0,156.0,169.99520874023438,174.96975185014122
-78.0,80.0,156.0,168.572998046875,173.68728072134414
-78.0,81.0,156.0,167.1547088623047,172.40909629243754
-78.0,82.0,156.0,165.74008178710938,171.13531743915397
-78.0,83.0,156.0,164.32904052734375,169.86592254076447
-78.0,84.0,156.0,162.92190551757812,168.60106274687297
-78.0,85.0,156.0,161.51866149902344,167.34065998547692
-78.0,86.0,156.0,160.11903381347656,166.0848627678784
-78.0,87.0,156.0,158.72335815429688,164.83369341361916
-78.0,88.0,156.0,157.33145141601562,163.5872461696663
-78.0,89.0,156.0,155.65380859375,162.345527540798
-78.0,90.0,156.0,153.9205322265625,161.10865898517062
-78.0,91.0,156.0,152.1898193359375,159.87667977029983
-78.0,92.0,156.0,150.46156311035156,158.64959300097496
-78.0,93.0,156.0,148.7361297607422,157.42749447166148
-78.0,94.0,156.0,147.0132293701172,156.2105012575179
-78.0,95.0,156.0,145.29302978515625,154.99863910692895
-78.0,96.0,156.0,143.57553100585938,153.79198486714125
-78.0,97.0,156.0,141.86080932617188,152.59063008790875
-78.0,98.0,156.0,140.1488494873047,151.39458481894258
-78.0,99.0,156.0,138.43983459472656,150.2040019024127
-78.0,100.0,156.0,136.7337188720703,149.01892706968468
-78.0,101.0,156.0,135.0303955078125,147.83939369506695
-78.0,102.0,156.0,133.330078125,146.6655421358405
-78.0,103.0,156.0,131.63290405273438,145.49739581002817
-78.0,104.0,156.0,129.93873596191406,144.3351067719666
-78.0,105.0,156.0,128.24777221679688,143.17872899806034
-78.0,106.0,156.0,126.55982971191406,142.02833811646533
-78.0,107.0,156.0,124.87518310546875,140.88402533200846
