delta_c,d_tag,range_residual_rms,position_median_3d,position_rmse_3d
-78.0,108.0,156.0,123.19378662109375,139.74589802790277
-78.0,109.0,156.0,121.51570129394531,138.6139817532849
-78.0,110.0,156.0,119.84101104736328,137.48849383675713
-78.0,111.0,156.0,118.18748474121094,136.36942157472473
-78.0,112.0,156.0,116.58334350585938,135.25693143051856
-78.0,113.0,156.0,114.9835433959961,134.15107068385626
-78.0,114.0,156.0,113.38825988769531,133.0519679368742
-78.0,115.0,156.0,111.79763793945312,131.95977725238853
-78.0,116.0,156.0,110.21156311035156,130.87451498238684
-78.0,117.0,156.0,108.63033294677734,129.7963774894161
-78.0,118.0,156.0,107.05381774902344,128.72536930661727
-78.0,119.0,156.0,105.4822998046875,127.66173488828788
-78.0,120.0,156.0,103.91592407226562,126.60545953003962
-76.0,0.0,152.0,300.2144775390625,284.0993031714439
-76.0,1.0,152.0,298.42181396484375,282.56843750673926
-76.0,2.0,152.0,296.6300048828125,281.04038021697164
-76.0,3.0,152.0,294.83880615234375,279.5152053109097
-76.0,4.0,152.0,293.048583984375,277.9928759204092
-76.0,5.0,152.0,291.2592468261719,276.47336840553015
-76.0,6.0,152.0,289.4707336425781,274.9566869299599
-76.0,7.0,152.0,287.6831359863281,273.44284994766275
-76.0,8.0,152.0,285.89642333984375,271.93181877540553
-76.0,9.0,152.0,284.11065673828125,270.4236404467997
-76.0,10.0,152.0,282.325927734375,268.9182758060523
-76.0,11.0,152.0,280.5423583984375,267.4156993334535
-76.0,12.0,152.0,278.75958251953125,265.9159436034252
-76.0,13.0,152.0,276.9779357910156,264.4190418398418
-76.0,14.0,152.0,275.1973876953125,262.9249387895716
-76.0,15.0,152.0,273.41790771484375,261.43363761191864
-76.0,16.0,152.0,271.6395263671875,259.9451865297759
-76.0,17.0,152.0,269.86236572265625,258.45951387499747
-76.0,18.0,152.0,268.08624267578125,256.9766982383811
-76.0,19.0,152.0,266.3114013671875,255.49672820801445
-76.0,20.0,152.0,264.53778076171875,254.01958432126844
-76.0,21.0,152.0,262.765380859375,252.54528523365863
-76.0,22.0,152.0,260.9942626953125,251.07381104716995
-76.0,23.0,152.0,259.2244873046875,249.6051960722172
-76.0,24.0,152.0,257.455810546875,248.13945172019706
-76.0,25.0,152.0,255.68862915039062,246.67652623172316
-76.0,26.0,152.0,253.92283630371094,245.21652581188323
-76.0,27.0,152.0,252.15838623046875,243.75939084474263
-76.0,28.0,152.0,250.39544677734375,242.30517302567026
-76.0,29.0,152.0,248.74549865722656,240.85379544705123
-76.0,30.0,152.0,247.240966796875,239.4054076639665
-76.0,31.0,152.0,245.74038696289062,237.9599083222844
-76.0,32.0,152.0,244.24395751953125,236.51737515455392
-76.0,33.0,152.0,242.75152587890625,235.07775475627207
-76.0,34.0,152.0,241.262939453125,233.64111768907458
-76.0,35.0,152.0,239.77847290039062,232.20743521418515
-76.0,36.0,152.0,238.29783630371094,230.77682163997753
-76.0,37.0,152.0,236.82125854492188,229.34914704441348
-76.0,38.0,152.0,235.34832763671875,227.9244923626024
-76.0,39.0,152.0,233.87942504882812,226.50290595542037
-76.0,40.0,152.0,232.41015625,225.08435918561733
-76.0,41.0,152.0,230.6356964111328,223.66888369026657
-76.0,42.0,152.0,228.86293029785156,222.2565117859317
-76.0,43.0,152.0,227.0916290283203,220.8472676421422
-76.0,44.0,152.0,225.322021484375,219.44119371713234
-76.0,45.0,152.0,223.55397033691406,218.03816323066016
-76.0,46.0,152.0,221.78759765625,216.63840661053155
-76.0,47.0,152.0,220.02276611328125,215.24180624648642
-76.0,48.0,152.0,218.25975036621094,213.84841484390293
-76.0,49.0,152.0,216.49855041503906,212.45830473295226
-76.0,50.0,152.0,214.7388153076172,211.07142045111175
-76.0,51.0,152.0,212.98104858398438,209.68785394903063
-76.0,52.0,152.0,211.22500610351562,208.3075775746048
-76.0,53.0,152.0,209.47059631347656,206.93070435836728
-76.0,54.0,152.0,207.71829223632812,205.55713165687052
-76.0,55.0,152.0,205.96780395507812,204.18702173191616
-76.0,56.0,152.0,204.21917724609375,202.82030031224684
-76.0,57.0,152.0,202.47244262695312,201.45702666759976
-76.0,58.0,152.0,200.7277374267578,200.09728102850374
-76.0,59.0,152.0,198.98486328125,198.74102770628414
-76.0,60.0,152.0,197.24407958984375,197.3882892137981
-76.0,61.0,152.0,195.50531005859375,196.0391682005155
-76.0,62.0,152.0,193.76849365234375,194.69366964542016
-76.0,63.0,152.0,192.0338134765625,193.35181866548348
-76.0,64.0,152.0,190.30133056640625,192.01361035744316
-76.0,65.0,152.0,188.57078552246094,190.679121415403
-76.0,66.0,152.0,186.84255981445312,189.34839953442966
-76.0,67.0,152.0,185.11642456054688,188.02151431086284
-76.0,68.0,152.0,183.3924560546875,186.69840108782398
-76.0,69.0,152.0,181.67092895507812,185.3791933106302
-76.0,70.0,152.0,180.05392456054688,184.0638582292841
-76.0,71.0,152.0,178.60597229003906,182.75255427421527
-76.0,72.0,152.0,177.16152954101562,181.44515355886472
-76.0,73.0,152.0,175.72085571289062,180.14181154197655
-76.0,74.0,152.0,174.28384399414062,178.84255143316705
-76.0,75.0,152.0,172.85049438476562,177.54742434241336
-76.0,76.0,152.0,171.42108154296875,176.25647705297243
-76.0,77.0,152.0,169.99520874023438,174.96975185014122
-76.0,78.0,152.0,168.572998046875,173.68728072134414
-76.0,79.0,152.0,167.1547088623047,172.40909629243754
-76.0,80.0,152.0,165.74008178710938,171.13531743915397
-76.0,81.0,152.0,164.32904052734375,169.86592254076447
-76.0,82.0,152.0,162.92190551757812,168.60106274687297
-76.0,83.0,152.0,161.51866149902344,167.34065998547692
-76.0,84.0,152.0,160.11903381347656,166.0848627678784
-76.0,85.0,152.0,158.72335815429688,164.83369341361916
-76.0,86.0,152.0,157.33145141601562,163.5872461696663
-76.0,87.0,152.0,155.65380859375,162.345527540798
-76.0,88.0,152.0,153.9205322265625,161.10865898517062
-76.0,89.0,152.0,152.1898193359375,159.87667977029983
-76.0,90.0,152.0,150.46156311035156,158.64959300097496
-76.0,91.0,152.0,148.7361297607422,157.42749447166148
-76.0,92.0,152.0,147.0132293701172,156.2105012575179
-76.0,93.0,152.0,145.29302978515625,154.99863910692895
-76.0,94.0,152.0,143.57553100585938,153.79198486714125
-76.0,95.0,152.0,141.86080932617188,152.59063008790875
-76.0,96.0,152.0,140.1488494873047,151.39458481894258
-76.0,97.0,152.0,138.43983459472656,150.2040019024127
-76.0,98.0,152.0,136.7337188720703,149.01894672951826
-76.0,99.0,152.0,135.0303955078125,147.83940690619332
-76.0,100.0,152.0,133.330078125,146.6655421358405
-76.0,101.0,152.0,131.63290405273438,145.49739581002817
-76.0,102.0,152.0,129.93873596191406,144.3351067719666
-76.0,103.0,152.0,128.24777221679688,143.17872899806034
-76.0,104.0,152.0,126.55982971191406,142.02833811646533
-76.0,105.0,152.0,124.87518310546875,140.88402533200846
-76.0,106.0,152.0,123.19378662109375,139.74589802790277
-76.0,107.0,152.0,121.51568603515625,138.6139817532849
-76.0,108.0,152.0,119.84095001220703,137.48849383675713
-76.0,109.0,152.0,118.18748474121094,136.36942157472473
-76.0,110.0,152.0,116.58334350585938,135.25693143051856
-76.0,111.0,152.0,114.98348999023438,134.15106340428315
-76.0,112.0,152.0,113.38825988769531,133.0519679368742
-76.0,113.0,152.0,111.79763793945312,131.95977725238853
-76.0,114.0,152.0,110.21156311035156,130.87451498238684
-76.0,115.0,152.0,108.63033294677734,129.7963774894161
-76.0,116.0,152.0,107.05381774902344,128.72536930661727
-76.0,117.0,152.0,105.4822998046875,127.66173488828788
-76.0,118.0,152.0,103.91592407226562,126.60545953003962
-76.0,119.0,152.0,102.35464477539062,125.55680285109007
-76.0,120.0,152.0,100.79873657226562,124.51580048456702
-74.0,0.0,148.0,296.6300048828125,281.04038021697164
-74.0,1.0,148.0,294.83880615234375,279.5152053109097
-74.0,2.0,148.0,293.048583984375,277.9928759204092
-74.0,3.0,148.0,291.2592468261719,276.47336840553015
-74.0,4.0,148.0,289.4707336425781,274.9566869299599
-74.0,5.0,148.0,287.6831359863281,273.44284994766275
-74.0,6.0,148.0,285.89642333984375,271.93181877540553
-74.0,7.0,148.0,284.11065673828125,270.4236404467997
-74.0,8.0,148.0,282.325927734375,268.9182758060523
-74.0,9.0,148.0,280.5423583984375,267.4156993334535
-74.0,10.0,148.0,278.75958251953125,265.9159436034252
-74.0,11.0,148.0,276.9779357910156,264.4190418398418
-74.0,12.0,148.0,275.1973876953125,262.9249387895716
-74.0,13.0,148.0,273.41790771484375,261.43363761191864
-74.0,14.0,148.0,271.6395263671875,259.9451865297759
-74.0,15.0,148.0,269.86236572265625,258.45951387499747
-74.0,16.0,148.0,268.08624267578125,256.9766982383811
-74.0,17.0,148.0,266.3114013671875,255.49672820801445
-74.0,18.0,148.0,264.53778076171875,254.01958432126844
-74.0,19.0,148.0,262.765380859375,252.54528523365863
-74.0,20.0,148.0,260.9942626953125,251.07381104716995
-74.0,21.0,148.0,259.2244873046875,249.6051960722172
-74.0,22.0,148.0,257.455810546875,248.13944384911883
-74.0,23.0,148.0,255.68862915039062,246.67652623172316
-74.0,24.0,148.0,253.92283630371094,245.21652581188323
-74.0,25.0,148.0,252.15838623046875,243.75939084474263
-74.0,26.0,148.0,250.39544677734375,242.30517302567026
-74.0,27.0,148.0,248.74549865722656,240.85379544705123
-74.0,28.0,148.0,247.240966796875,239.4054076639665
-74.0,29.0,148.0,245.74038696289062,237.9599083222844
-74.0,30.0,148.0,244.24395751953125,236.51737515455392
-74.0,31.0,148.0,242.75152587890625,235.07775475627207
-74.0,32.0,148.0,241.262939453125,233.64111768907458
-74.0,33.0,148.0,239.77847290039062,232.20743521418515
-74.0,34.0,148.0,238.29783630371094,230.77682163997753
-74.0,35.0,148.0,236.82125854492188,229.34914704441348
-74.0,36.0,148.0,235.34832763671875,227.92450093177786
-74.0,37.0,148.0,233.87942504882812,226.50290595542037
-74.0,38.0,148.0,232.41015625,225.08435918561733
-74.0,39.0,148.0,230.6356964111328,223.66888369026657
-74.0,40.0,148.0,228.86293029785156,222.2565117859317
-74.0,41.0,148.0,227.0916290283203,220.8472676421422
-74.0,42.0,148.0,225.322021484375,219.44119371713234
-74.0,43.0,148.0,223.55397033691406,218.03816323066016
-74.0,44.0,148.0,221.78759765625,216.63840661053155
-74.0,45.0,148.0,220.02276611328125,215.24180624648642
-74.0,46.0,148.0,218.25975036621094,213.84841484390293
-74.0,47.0,148.0,216.49855041503906,212.45830473295226
-74.0,48.0,148.0,214.7388153076172,211.07142045111175
-74.0,49.0,148.0,212.98104858398438,209.68785394903063
-74.0,50.0,148.0,211.22500610351562,208.3075775746048
-74.0,51.0,148.0,209.47059631347656,206.93070435836728
-74.0,52.0,148.0,207.71829223632812,205.55713165687052
-74.0,53.0,148.0,205.96780395507812,204.18702173191616
-74.0,54.0,148.0,204.21917724609375,202.82030031224684
-74.0,55.0,148.0,202.47244262695312,201.45702666759976
-74.0,56.0,148.0,200.7277374267578,200.09728102850374
-74.0,57.0,148.0,198.98486328125,198.74102770628414
-74.0,58.0,148.0,197.24407958984375,197.3882892137981
-74.0,59.0,148.0,195.50531005859375,196.0391682005155
-74.0,60.0,148.0,193.76849365234375,194.69365961363508
-74.0,61.0,148.0,192.0338134765625,193.35181866548348
-74.0,62.0,148.0,190.30133056640625,192.01361035744316
-74.0,63.0,148.0,188.57078552246094,190.679121415403
-74.0,64.0,148.0,186.84255981445312,189.34839953442966
-74.0,65.0,148.0,185.11642456054688,188.02151431086284
-74.0,66.0,148.0,183.3924560546875,186.69840108782398
-74.0,67.0,148.0,181.67092895507812,185.3791933106302
-74.0,68.0,148.0,180.05392456054688,184.0638582292841
-74.0,69.0,148.0,178.60597229003906,182.75255427421527
-74.0,70.0,148.0,177.16152954101562,181.44515355886472
-74.0,71.0,148.0,175.72085571289062,180.14181154197655
-74.0,72.0,148.0,174.28384399414062,178.84255143316705
-74.0,73.0,148.0,172.85049438476562,177.54742434241336
-74.0,74.0,148.0,171.42108154296875,176.25647705297243
-74.0,75.0,148.0,169.99520874023438,174.96975185014122
-74.0,76.0,148.0,168.572998046875,173.68728072134414
-74.0,77.0,148.0,167.1547088623047,172.40909629243754
-74.0,78.0,148.0,165.74008178710938,171.13531743915397
-74.0,79.0,148.0,164.32904052734375,169.86592254076447
-74.0,80.0,148.0,162.92190551757812,168.60106274687297
-74.0,81.0,148.0,161.51866149902344,167.34065998547692
-74.0,82.0,148.0,160.11903381347656,166.0848627678784
-74.0,83.0,148.0,158.72335815429688,164.83369341361916
-74.0,84.0,148.0,157.33145141601562,163.5872461696663
-74.0,85.0,148.0,155.65380859375,162.345527540798
-74.0,86.0,148.0,153.9205322265625,161.10865898517062
-74.0,87.0,148.0,152.1898193359375,159.8766675538523
-74.0,88.0,148.0,150.46156311035156,158.64959300097496
-74.0,89.0,148.0,148.7361297607422,157.42749447166148
-74.0,90.0,148.0,147.0132293701172,156.2105012575179
-74.0,91.0,148.0,145.29302978515625,154.99863910692895
-74.0,92.0,148.0,143.57553100585938,153.79198486714125
-74.0,93.0,148.0,141.86080932617188,152.59063008790875
-74.0,94.0,148.0,140.1488494873047,151.39458481894258
-74.0,95.0,148.0,138.43983459472656,150.2040019024127
-74.0,96.0,148.0,136.7337188720703,149.01894672951826
-74.0,97.0,148.0,135.0303955078125,147.83940690619332
-74.0,98.0,148.0,133.330078125,146.66554879427207
-74.0,99.0,148.0,131.63290405273438,145.49741594569645
-74.0,100.0,148.0,129.93873596191406,144.3351067719666
-74.0,101.0,148.0,128.24777221679688,143.17872899806034
-74.0,102.0,148.0,126.55982971191406,142.02833811646533
-74.0,103.0,148.0,124.87518310546875,140.88402533200846
-74.0,104.0,148.0,123.19378662109375,139.74589802790277
-74.0,105.0,148.0,121.51568603515625,138.6139817532849
-74.0,106.0,148.0,119.84095001220703,137.48849383675713
-74.0,107.0,148.0,118.18748474121094,136.36942157472473
-74.0,108.0,148.0,116.58328247070312,135.25692421046324
-74.0,109.0,148.0,114.98348999023438,134.15106340428315
-74.0,110.0,148.0,113.38825988769531,133.0519679368742
-74.0,111.0,148.0,111.79763793945312,131.95977725238853
-74.0,112.0,148.0,110.21156311035156,130.87451498238684
-74.0,113.0,148.0,108.63033294677734,129.7963774894161
-74.0,114.0,148.0,107.05381774902344,128.72536930661727
-74.0,115.0,148.0,105.4822998046875,127.66173488828788
-74.0,116.0,148.0,103.91592407226562,126.60545953003962
-74.0,117.0,148.0,102.35464477539062,125.55680285109007
-74.0,118.0,148.0,100.79873657226562,124.51580048456702
