alpha,d_tag,position_median_3d,position_rmse_3d
0.0,0.0,136.68785095214844,150.13750858587937
0.0,1.0,135.2192840576172,148.9912237872587
0.0,2.0,133.7235870361328,147.85074822265864
0.0,3.0,132.0890350341797,146.71626395657367
0.0,4.0,130.45748901367188,145.58777018735125
0.0,5.0,128.8292694091797,144.4653532209367
0.0,6.0,127.20431518554688,143.349196675461
0.0,7.0,125.58251190185547,142.23920763101853
0.0,8.0,123.96419525146484,141.13557312031577
0.0,9.0,122.34921264648438,140.03840851486066
0.0,10.0,120.73760223388672,138.94769839988354
0.0,11.0,119.12948608398438,137.8636313875962
0.0,12.0,117.52465057373047,136.78620835769593
0.0,13.0,115.92356872558594,135.7156019379312
0.0,14.0,114.3260498046875,134.65184417832901
0.0,15.0,112.73204040527344,133.59507674779786
0.0,16.0,111.14170837402344,132.54535632897517
0.0,17.0,109.55512237548828,131.5027922707347
0.0,18.0,107.97213745117188,130.46751122166393
0.0,19.0,106.39314270019531,129.4395445879079
0.0,20.0,104.8179702758789,128.41908322947955
0.0,21.0,103.24653625488281,127.40618484791074
0.0,22.0,101.67927551269531,126.40100808043424
0.0,23.0,100.20925903320312,125.4035789648266
0.0,24.0,98.76143646240234,124.41410738813947
0.0,25.0,97.32060241699219,123.43261066266078
0.0,26.0,95.88714599609375,122.45927655372826
0.0,27.0,94.4610595703125,121.49414852164692
0.0,28.0,93.04277038574219,120.53748849554026
0.0,29.0,91.63223266601562,119.58925063394076
0.0,30.0,90.22945404052734,118.64967390257547
0.0,31.0,88.83494567871094,117.7188412529511
0.0,32.0,87.4488296508789,116.79686559364511
0.0,33.0,86.07098388671875,115.88394568354799
0.0,34.0,84.70198059082031,114.9801273590354
0.0,35.0,83.34178924560547,114.08556273692128
0.0,36.0,81.99064636230469,113.20042806483772
0.0,37.0,80.64872741699219,112.3248636767479
0.0,38.0,79.31649017333984,111.4589899708072
0.0,39.0,77.99388885498047,110.6028976861027
0.0,40.0,76.68126678466797,109.7568335002427
0.0,41.0,76.10546875,108.92089212904703
0.0,42.0,75.7727279663086,108.09519097767486
0.0,43.0,75.44837951660156,107.27992097924243
0.0,44.0,75.13265991210938,106.47523461320712
0.0,45.0,74.82577514648438,105.6812119285519
0.0,46.0,74.52828216552734,104.89812766441544
0.0,47.0,74.24012756347656,104.12605041486977
0.0,48.0,73.96163177490234,103.36514179868618
0.0,49.0,74.18558502197266,102.61557413320602
0.0,50.0,74.850341796875,101.87750667928373
0.0,51.0,75.5191650390625,101.15109463229994
0.0,52.0,76.19140625,100.43650824028083
0.0,53.0,76.86702728271484,99.73386950561229
0.0,54.0,77.5457534790039,99.04339819777238
0.0,55.0,78.22725677490234,98.36518176862685
0.0,56.0,78.91140747070312,97.69946044023222
0.0,57.0,79.59791564941406,97.04631525559071
0.0,58.0,80.28663635253906,96.40593598003963
0.0,59.0,80.82161712646484,95.77851239970268
0.0,60.0,80.44119262695312,95.16413144700319
0.0,61.0,79.55854034423828,94.56303701103302
0.0,62.0,78.69491577148438,93.97531258261395
0.0,63.0,77.85044860839844,93.40113736426072
0.0,64.0,77.02578735351562,92.84067333340491
0.0,65.0,76.22122955322266,92.29404859604979
0.0,66.0,75.43714141845703,91.76137212390898
0.0,67.0,75.1676025390625,91.2428721531167
0.0,68.0,75.1131591796875,90.73861950852294
0.0,69.0,75.07147216796875,90.248796196092
0.0,70.0,75.04255676269531,89.77351058706014
0.0,71.0,75.02670288085938,89.31290729875637
0.0,72.0,75.02369689941406,88.86708825543909
0.0,73.0,75.03378295898438,88.43616109852208
0.0,74.0,75.05711364746094,88.02028352885488
0.0,75.0,75.25960540771484,87.61953052206026
0.0,76.0,75.55357360839844,87.23402936300862
0.0,77.0,75.84613037109375,86.86385663694509
0.0,78.0,75.56317901611328,86.50908494108437
0.0,79.0,75.12206268310547,86.16982516827599
0.0,80.0,74.95283508300781,85.8462043469672
0.0,81.0,75.05731201171875,85.53817164631093
0.0,82.0,75.17497253417969,85.24592182327551
0.0,83.0,75.30567932128906,84.96942522258374
0.0,84.0,75.44937133789062,84.7087294654822
0.0,85.0,75.60585021972656,84.46391148739205
0.0,86.0,76.06362915039062,84.23499959191547
0.0,87.0,76.76025390625,84.02201336833551
0.0,88.0,77.45726013183594,83.82495188542461
0.0,89.0,78.15458679199219,83.6438109448332
0.0,90.0,78.8519515991211,83.47858597512449
0.0,91.0,79.26351928710938,83.32933942252123
0.0,92.0,79.07553100585938,83.19596066573034
0.0,93.0,78.8887710571289,83.07843209224792
0.0,94.0,78.70317077636719,82.97673278452069
0.0,95.0,78.51912689208984,82.8908797710505
0.0,96.0,78.33610534667969,82.82066292315734
0.0,97.0,78.42555236816406,82.76615153457209
0.0,98.0,78.73292541503906,82.72722024068015
0.0,99.0,79.05032348632812,82.70376115615903
0.0,100.0,79.37760162353516,82.69574316432497
0.0,101.0,79.71429443359375,82.70302905955138
0.0,102.0,80.06033325195312,82.72553511556302
0.0,103.0,80.41544342041016,82.76309552251384
0.0,104.0,80.77934265136719,82.81563378504538
0.0,105.0,81.15177154541016,82.88295646667203
0.0,106.0,81.53233337402344,82.96498637885593
0.0,107.0,81.9208984375,83.06155943786511
0.0,108.0,82.31729888916016,83.1725046355089
0.0,109.0,82.72117614746094,83.29772058049518
0.0,110.0,83.13223266601562,83.43696160874987
0.0,111.0,83.55039978027344,83.59009921934535
0.0,112.0,83.97535705566406,83.75698431698099
0.0,113.0,84.40673065185547,83.93736911289125
0.0,114.0,84.75209045410156,84.13113775436388
0.0,115.0,84.34754943847656,84.33800983153296
0.0,116.0,83.40707397460938,84.55785741136066
0.0,117.0,82.89945983886719,84.79050470129306
0.0,118.0,82.7978744506836,85.03569161038352
0.0,119.0,82.72395324707031,85.29327564992302
0.0,120.0,83.47688293457031,85.562970803124
0.01,0.0,137.06103515625,150.3967863997599
0.01,1.0,135.58981323242188,149.24875025649294
0.01,2.0,134.09353637695312,148.10651915302378
0.01,3.0,132.45753479003906,146.97022843717363
0.01,4.0,130.82456970214844,145.83994330258085
0.01,5.0,129.1947784423828,144.7157032447585
0.01,6.0,127.56832885742188,143.59764344558374
0.01,7.0,125.94520568847656,142.48582029231892
0.01,8.0,124.32528686523438,141.3802773108753
0.01,9.0,122.70880889892578,140.2811838661016
0.01,10.0,121.09552001953125,139.1885103241284
0.01,11.0,119.48580932617188,138.1024868530614
0.01,12.0,117.87937927246094,137.02311478132074
0.01,13.0,116.27664947509766,135.9504735188517
0.01,14.0,114.67738342285156,134.88469468169842
0.01,15.0,113.08164978027344,133.82584736094518
0.01,16.0,111.48959350585938,132.77406061379233
0.01,17.0,109.90120697021484,131.72937012346563
0.01,18.0,108.3165283203125,130.6919460625826
0.01,19.0,106.73580932617188,129.66187246787314
0.01,20.0,105.15869903564453,128.63923481727883
