s,d_tag,range_residual_rms,position_median_3d,position_rmse_3d
0.92,0.0,223.60158018096263,399.93353271484375,382.4162285716965
0.92,1.0,223.60158018096263,398.10009765625,380.5820378052543
0.92,2.0,223.60158018096263,396.270263671875,378.7537747336652
0.92,3.0,223.60158018096263,394.4440612792969,376.93146343201437
0.92,4.0,223.60158018096263,392.62139892578125,375.1150865067946
0.92,5.0,223.60158018096263,390.80242919921875,373.30462594240646
0.92,6.0,223.60158018096263,388.987060546875,371.5000210296091
0.92,7.0,223.60158018096263,387.1754455566406,369.7012095936393
0.92,8.0,223.60158018096263,385.36749267578125,367.90823414270034
0.92,9.0,223.60158018096263,383.56304931640625,366.1209670313898
0.92,10.0,223.60158018096263,381.76251220703125,364.33944938065656
0.92,11.0,223.60158018096263,379.96551513671875,362.56352891596805
0.92,12.0,223.60158018096263,378.1723937988281,360.79334242402535
0.92,13.0,223.60158018096263,376.38275146484375,359.0286918374352
0.92,14.0,223.60158018096263,374.596923828125,357.26958265083243
0.92,15.0,223.60158018096263,372.81494140625,355.5159432957965
0.92,16.0,223.60158018096263,371.0364685058594,353.76778886368385
0.92,17.0,223.60158018096263,369.2618103027344,352.02503462111895
0.92,18.0,223.60158018096263,367.4908752441406,350.28761619917424
0.92,19.0,223.60158018096263,365.7236022949219,348.55553494027316
0.92,20.0,223.60158018096263,363.9601745605469,346.8287243907286
0.92,21.0,223.60158018096263,362.200439453125,345.1070599285097
0.92,22.0,223.60158018096263,360.4443359375,343.39063033227916
0.92,23.0,223.60158018096263,358.6921081542969,341.67927441169155
0.92,24.0,223.60158018096263,356.94354248046875,339.9730113369295
0.92,25.0,223.60158018096263,355.1988525390625,338.2718026971802
0.92,26.0,223.60158018096263,353.457763671875,336.5755278351354
0.92,27.0,223.60158018096263,351.72064208984375,334.88416840752564
0.92,28.0,223.60158018096263,349.98699951171875,333.197705480545
0.92,29.0,223.60158018096263,348.2573547363281,331.51602525368213
0.92,30.0,223.60158018096263,346.53131103515625,329.8391771947353
0.92,31.0,223.60158018096263,344.80908203125,328.16702111881995
0.92,32.0,223.60158018096263,343.0904541015625,326.4995812593027
0.92,33.0,223.60158018096263,341.3758544921875,324.83673783917976
0.92,34.0,223.60158018096263,339.6649169921875,323.1784892864932
0.92,35.0,223.60158018096263,337.968505859375,321.52478520325616
0.92,36.0,223.60158018096263,336.2873229980469,319.87556174237506
0.92,37.0,223.60158018096263,334.60650634765625,318.23079036683424
0.92,38.0,223.60158018096263,332.92596435546875,316.59039240397044
0.92,39.0,223.60158018096263,331.24566650390625,314.9543617732576
0.92,40.0,223.60158018096263,329.56573486328125,313.3226546828365
0.92,41.0,223.60158018096263,327.8859558105469,311.69520117817024
0.92,42.0,223.60158018096263,326.206787109375,310.0720052463621
0.92,43.0,223.60158018096263,324.52783203125,308.4529568062203
0.92,44.0,223.60158018096263,322.8492431640625,306.8380451272299
0.92,45.0,223.60158018096263,321.1711730957031,305.2272718811345
0.92,46.0,223.60158018096263,319.49334716796875,303.6205356814654
0.92,47.0,223.60158018096263,317.81610107421875,302.0177586872997
0.92,48.0,223.60158018096263,316.13922119140625,300.4190302727176
0.92,49.0,223.60158018096263,314.4630126953125,298.82424548135316
0.92,50.0,223.60158018096263,312.80029296875,297.2333232285707
0.92,51.0,223.60158018096263,311.1531982421875,295.6462730189576
0.92,52.0,223.60158018096263,309.4918212890625,294.0631044095808
0.92,53.0,223.60158018096263,307.7765808105469,292.4837068111658
0.92,54.0,223.60158018096263,306.0646667480469,290.9080745055042
0.92,55.0,223.60158018096263,304.35565185546875,289.33616100048744
0.92,56.0,223.60158018096263,302.6498107910156,287.7679322170905
0.92,57.0,223.60158018096263,300.94696044921875,286.2033804831802
0.92,58.0,223.60158018096263,299.247314453125,284.6424703685309
0.92,59.0,223.60158018096263,297.55072021484375,283.0851793188757
0.92,60.0,223.60158018096263,295.85723876953125,281.5314702657591
0.92,61.0,223.60158018096263,294.1668701171875,279.98127727582073
0.92,62.0,223.60158018096263,292.4794921875,278.4346169884413
0.92,63.0,223.60158018096263,290.7950744628906,276.8914639574503
0.92,64.0,223.60158018096263,289.1139831542969,275.3518062179727
0.92,65.0,223.60158018096263,287.4356689453125,273.8155600719214
0.92,66.0,223.60158018096263,285.76043701171875,272.2827545723379
0.92,67.0,223.60158018096263,284.0883483886719,270.75339044506904
0.92,68.0,223.60158018096263,282.419189453125,269.22735222762935
0.92,69.0,223.60158018096263,280.7530822753906,267.70472598088367
0.92,70.0,223.60158018096263,279.0899353027344,266.1853794820444
0.92,71.0,223.60158018096263,277.429931640625,264.66938397272173
0.92,72.0,223.60158018096263,275.772705078125,263.1567231470631
0.92,73.0,223.60158018096263,274.11859130859375,261.6472756880912
0.92,74.0,223.60158018096263,272.4674377441406,260.14121765879395
0.92,75.0,223.60158018096263,270.81927490234375,258.6383062067566
0.92,76.0,223.60158018096263,269.1741027832031,257.13870284342653
0.92,77.0,223.60158018096263,267.5318603515625,255.64230534332538
0.92,78.0,223.60158018096263,265.89251708984375,254.14913190880665
0.92,79.0,223.60158018096263,264.25640869140625,252.65917785873125
0.92,80.0,223.60158018096263,262.6229553222656,251.1724149488753
0.92,81.0,223.60158018096263,260.9925537109375,249.68886107263575
0.92,82.0,223.60158018096263,259.364990234375,248.20843213164616
0.92,83.0,223.60158018096263,257.74053955078125,246.73123187235538
0.92,84.0,223.60158018096263,256.1188659667969,245.25714343572136
0.92,85.0,223.60158018096263,254.5001983642578,243.78624730488798
