iteration,selected_variant,apparent_median,honest_median,gap,n_oob
0,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,64.76344128687123,80.7126529237222,15.949211636850976,12
1,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,84.86731500238986,64.80061829049538,-20.06669671189448,8
2,V4_CV4|p25|uniform|range_residual_LOO_on_train,76.38562302832604,95.46939779572455,19.08377476739851,8
3,V4_CV4|p10|inverse_rms|fixed_0,79.4880619281879,95.9490827568467,16.461020828658803,10
4,V4_CV4|p10|uniform|fixed_0,98.55368465618498,62.77657923661239,-35.77710541957259,9
5,V4_CV4|p20|uniform|range_residual_LOO_on_train,65.04665625738679,89.94700704672616,24.90035078933937,8
6,V4_CV4|p10|uniform|fixed_0,108.1976819587546,81.26238466539519,-26.93529729335941,11
7,Vicon_Ccm|p50|inverse_rms|range_residual_LOO_on_train,70.32984555843815,119.58131845145046,49.251472893012306,10
8,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,80.7126529237222,102.46811760750279,21.755464683780588,9
9,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,102.10428839874079,82.43511263885591,-19.66917575988488,9
10,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,102.10428839874079,71.05026640921659,-31.054021989524202,10
11,V4_CV4|p10|inverse_rms|fixed_0,89.20952477946986,75.13114835241575,-14.07837642705411,11
12,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,84.86731500238986,63.39336128872018,-21.47395371366968,7
13,V4_CV4|p20|uniform|range_residual_LOO_on_train,65.04665625738679,114.13033890870514,49.083682651318355,8
14,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,94.70190288233229,64.80061829049538,-29.901284591836912,8
15,V4_CV4|p10|uniform|fixed_0,71.48441907770916,92.86541036792093,21.380991290211767,8
16,V4_CV4|p10|uniform|fixed_0,94.81732115563045,71.48441907770916,-23.33290207792129,9
17,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,87.29951736592379,71.05026640921659,-16.2492509567072,8
18,V4_CV4|p20|uniform|range_residual_LOO_on_train,65.04665625738679,117.00491939278606,51.95826313539928,7
19,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,80.7126529237222,95.47988761175728,14.767234688035074,8
20,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,87.29951736592379,68.95853775951875,-18.340979606405043,8
21,V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,84.86731500238986,71.56286266512711,-13.304452337262745,6
22,V4_CV4|p10|inverse_rms|fixed_0,96.54968351778382,80.0069968121202,-16.542686705663613,12
23,V4_CV4|p10|inverse_rms|fixed_0,89.20952477946986,84.39627058405937,-4.813254195410494,9
24,V4_CV4|p25|uniform|range_residual_LOO_on_train,76.11329724767111,101.16633258239932,25.053035334728207,9
25,Vicon_Ccm|p50|inverse_rms|range_residual_LOO_on_train,61.33404730220711,99.30273904979396,37.968691747586846,11
26,V4_CV4|p25|uniform|range_residual_LOO_on_train,76.11329724767111,88.33483609381574,12.221538846144625,10
27,V4_CV4|p10|inverse_rms|fixed_0,89.20952477946986,79.76370946823755,-9.445815311232309,10
28,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,77.30625819259011,88.49165761601175,11.185399423421643,9
29,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,80.7126529237222,88.49165761601175,7.779004692289547,7
30,V4_CV4|p10|inverse_rms|fixed_0,96.54968351778382,84.58611116354065,-11.96357235424317,8
31,V4_CV4|p50|uniform|range_residual_LOO_on_train,73.30708332181952,99.57969747209454,26.272614150275018,6
32,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,81.38885157869004,77.30625819259011,-4.08259338609993,7
33,Vicon_Ccm|p50|inverse_rms|range_residual_LOO_on_train,68.65084861707118,89.63538804373486,20.984539426663687,7
34,V4_CV4|p10|inverse_rms|fixed_0,89.20952477946986,74.8555008123661,-14.354023967103757,8
35,V4_CV4|p10|inverse_rms|fixed_0,96.54968351778382,79.95355004771884,-16.596133470064984,8
36,V4_CV4|p10|inverse_rms|fixed_0,89.81012554040699,84.39627058405937,-5.41385495634762,9
37,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,80.89345720170597,76.24136750789937,-4.652089693806602,8
