variant,selection_frequency,mean_oob_median
V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,0.261,88.94518276924829
V4_CV4|p10|inverse_rms|fixed_0,0.191,77.53661063976426
V4_CV4|p25|inverse_rms|range_residual_LOO_on_train,0.146,78.88404790975589
Vicon_Ccm|p50|inverse_rms|range_residual_LOO_on_train,0.126,108.98750754457028
V4_CV4|p10|uniform|fixed_0,0.111,86.93333700423847
V4_CV4|p25|uniform|range_residual_LOO_on_train,0.063,96.55437704992761
V4_CV4|p20|uniform|range_residual_LOO_on_train,0.03,107.19791386178096
V4_CV4|p50|uniform|range_residual_LOO_on_train,0.024,106.44610908956827
Vicon_Ccm|p50|uniform|range_residual_LOO_on_train,0.016,103.24420140033087
Vicon_Ccm|p20|inverse_rms|fixed_0,0.011,143.83614150649103
Vicon_Ccm|p20|uniform|fixed_0,0.008,148.33358057815207
Vicon_Ccm|p10|uniform|fixed_0,0.006,133.0212377641941
V4_CV4|p30|inverse_rms|fixed_0,0.002,129.30378014088018
V4_CV4|p30|uniform|range_residual_LOO_on_train,0.002,105.72243096558816
V5_CV5|p50|inverse_rms|range_residual_LOO_on_train,0.002,87.94549233740511
Vicon_Ccm|p10|inverse_rms|fixed_0,0.001,133.36101262006025
