split_type,model,pr_auc,roc_auc,n_train,n_test
anchor_id_only_random,logistic,0.5175,0.6333333333333333,75.0,20.0
anchor_id_only_random,mlp,0.5076315789473684,0.6266666666666667,75.0,20.0
leave_one_anchor_out,logistic,0.5480578449328449,0.6278821872571873,83.125,11.875
leave_one_anchor_out,mlp,0.41943162740037737,0.5253496503496503,83.125,11.875
leave_one_height_out,logistic,0.3716080931435208,0.5266089466089466,63.333333333333336,31.666666666666668
leave_one_height_out,mlp,0.37010233545319365,0.5430447330447331,63.333333333333336,31.666666666666668
leave_one_position_out,logistic,0.6552631578947368,0.5929824561403508,90.89473684210526,4.105263157894737
leave_one_position_out,mlp,0.7456140350877193,0.6719298245614035,90.89473684210526,4.105263157894737
random_position_pair,logistic,0.5793650793650793,0.7466666666666667,75.0,20.0
random_position_pair,mlp,0.5245378151260504,0.6866666666666668,75.0,20.0
shuffled_labels_random,logistic,0.32936507936507936,0.5066666666666666,75.0,20.0
shuffled_labels_random,mlp,0.24678104575163395,0.37333333333333335,75.0,20.0
