outer_fold,split_type,selected_variant,train_median_3d,test_median_3d,test_rmse,n_test
fold1,spatial6,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,87.84715822163429,71.05319359645519,132.91583414172774,4
fold2,spatial6,V4_CV4|p20|inverse_rms|range_residual_LOO_on_train,83.8503229583,81.05174002127927,86.95913628270195,4
fold3,spatial6,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,76.30460240123031,111.70589644403042,126.3960123214468,4
fold4,spatial6,V4_CV4|p10|inverse_rms|fixed_0,83.27428919240222,144.7109203667085,154.01781258429662,4
fold5,spatial6,V4_CV4|p10|inverse_rms|fixed_0,88.60091201664858,56.23885140924702,62.13001059475099,4
fold6,spatial6,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,68.31941606979998,100.73766745771572,149.74987575460008,4
LOW,height,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,63.19813027224559,107.40936539725948,145.26604011750925,8
MID,height,V4_CV4|p10|inverse_rms|fixed_0,95.50008638022686,45.395441503879965,82.08310549145399,8
HIGH,height,V4_CV4|p10|uniform|fixed_0,68.64536229162002,95.96967804012826,123.6426020313997,8
EN,quadrant,V4_CV4|p50|inverse_rms|range_residual_LOO_on_train,68.18466395329008,96.38967767175626,133.80890790938895,8
ES,quadrant,V4_CV4|p10|inverse_rms|fixed_0,88.27812880047765,66.6065216470094,65.38506000229509,4
WN,quadrant,V4_CV4|p10|inverse_rms|fixed_0,84.03969389527353,75.77171687995556,118.63241751002684,4
WS,quadrant,V5_CV5|p50|inverse_rms|range_residual_LOO_on_train,74.56377117571205,113.39876195455811,130.17080104385064,8
