split_type,mean_test_median,std_test_median,best_variant_frequency
height,82.9248283137559,26.945101811537647,"{""V4_CV4|p10|inverse_rms|fixed_0"": 1, ""V4_CV4|p10|uniform|fixed_0"": 1, ""V4_CV4|p50|inverse_rms|range_residual_LOO_on_train"": 1}"
quadrant,88.04166953831984,18.18439357637766,"{""V4_CV4|p10|inverse_rms|fixed_0"": 2, ""V4_CV4|p50|inverse_rms|range_residual_LOO_on_train"": 1, ""V5_CV5|p50|inverse_rms|range_residual_LOO_on_train"": 1}"
spatial6,94.24971154923935,29.012169700663065,"{""V4_CV4|p10|inverse_rms|fixed_0"": 2, ""V4_CV4|p20|inverse_rms|range_residual_LOO_on_train"": 1, ""V4_CV4|p50|inverse_rms|range_residual_LOO_on_train"": 3}"
