d_tag_mm,completed,total,wall_s,live_cpu_percent
0.0,2,62,4.186946966015967,69.9
2.0,1,62,3.9649513760232367,70.7
4.0,4,62,4.644947251013946,65.1
6.0,3,62,4.274845594976796,67.2
8.0,6,62,5.147159535990795,72.9
10.0,5,62,4.641948133008555,64.1
12.0,7,62,4.599583759001689,83.7
14.0,8,62,4.83989240200026,83.4
16.0,9,62,5.336131579009816,76.2
18.0,11,62,5.5132417469867505,85.2
20.0,10,62,5.129278946988052,80.2
22.0,12,62,5.15228862100048,80.3
24.0,13,62,5.4006855149928015,78.7
26.0,14,62,5.099353441008134,81.8
28.0,15,62,5.248796152009163,89.6
30.0,16,62,5.737799105991144,83.1
32.0,18,62,5.877011147997109,82.9
34.0,17,62,5.516829390020575,82.5
36.0,19,62,5.666448069998296,86.5
38.0,20,62,5.689369022991741,80.3
40.0,21,62,5.341245439980412,79.5
42.0,22,62,5.184413955983473,86.7
44.0,23,62,5.2564709589933045,79.6
46.0,24,62,5.2724926990049426,80.2
48.0,26,62,6.126467991998652,79.5
49.621033,28,62,6.341856280982029,76.1
50.0,25,62,5.3587007590103894,83.4
52.0,27,62,5.251961849979125,80.5
54.0,29,62,5.701695213996572,84.9
56.0,30,62,5.580274437990738,77.9
58.0,35,62,6.174477832013508,77.5
60.0,32,62,5.5750534090038855,77.4
62.0,33,62,5.455371921998449,76.8
64.0,31,62,4.774772228003712,80.2
66.0,34,62,4.897573443013243,82.8
68.0,36,62,6.183265461004339,85.9
70.0,37,62,5.784271051001269,81.9
72.0,38,62,6.019341450999491,80.9
74.0,41,62,6.649147902004188,78.8
76.0,39,62,5.865539269987494,87.3
78.0,40,62,6.188515588990413,84.9
80.0,42,62,6.133265794022009,82.6
82.0,43,62,6.630052443011664,81.1
84.0,46,62,7.023822952003684,81.1
86.0,45,62,6.652801239019027,77.4
88.0,47,62,6.7840256780036725,84.4
90.0,44,62,5.760800114017911,83.8
92.0,48,62,5.7027026299911086,83.4
94.0,49,62,6.601564732001862,79.7
96.0,51,62,6.4823371630045585,81.9
98.0,50,62,5.957016015978297,79.4
100.0,53,62,6.493031921010697,82.3
102.0,54,62,6.565900168003282,77.0
104.0,52,62,5.487155939015793,85.2
106.0,55,62,5.833623899990926,86.9
108.0,58,62,6.701118906988995,68.4
110.0,57,62,6.4640729050152,66.6
112.0,56,62,5.77508031699108,80.1
114.0,59,62,6.560060165007599,47.5
116.0,60,62,6.258945615001721,45.6
118.0,61,62,4.502613824006403,38.9
120.0,62,62,4.329494347999571,21.1
