variant,case,fold,d_tag_fit_mm,d_tag_eval_mm,d_tag_fit_terms,layout_frame,delay_source,layout_json,source_v5_layout,tag_method,ID,capture,location,height,facing,frames_input,frames_solved,solve_fraction,point_estimator,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,tag_truth_source,tag_truth_corrected,d3_std_mm,d3_p95_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge8_anchors_input,source_tr_all
deployable_v5_rigid_selfcal,zero_tag,ID03,49.621032516254864,0.0,184,"V5 self-cal anchors rigidly aligned to Vicon, scale fixed at 1",V5 layout d_anchor_mm,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID03_deployable_v5_rigid_selfcal_zero_tag.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-579.5980110763163,1849.871122979844,-271.46392003589614,-554.00287,1625.5614500000001,-256.2951,-25.59514107631628,224.30967297984375,-15.168820035896147,226.27424453596655,29.75238390445272,224.30967297984375,motive_iantenna,False,81.67104986419868,181.4794505580273,143.85325431421856,190.7000496437305,8.0,8.0,92.2564529558701,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv
deployable_v5_rigid_selfcal,loo_tag_delay,ID03,49.621032516254864,49.621032516254864,184,"V5 self-cal anchors rigidly aligned to Vicon, scale fixed at 1",V5 layout d_anchor_mm,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID03_deployable_v5_rigid_selfcal_loo_tag_delay.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-558.2660187751899,1714.802557144952,-257.3695448977764,-554.00287,1625.5614500000001,-256.2951,-4.263148775189848,89.24110714495191,-1.0744448977764023,89.34933728783078,4.396460999231136,89.24110714495191,motive_iantenna,False,78.84217418725235,201.5034346721999,153.74387969100695,191.0497965026432,8.0,8.0,92.2564529558701,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv
physical_sim3_vicon_delaycal,zero_tag,ID03,53.600633617155225,0.0,184,V5 anchors full-Sim3 transformed to Vicon frame,Vicon inter-anchor delaycal endpoint delays,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID03_physical_sim3_vicon_delaycal_zero_tag.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-544.7445511180355,1761.0192453135162,-289.99604838915315,-554.00287,1625.5614500000001,-256.2951,9.258318881964556,135.45779531351604,-33.700948389153154,139.8938336812846,34.94954063859075,135.45779531351604,motive_iantenna,False,107.54213955491433,226.66860522535896,170.66717664660752,220.35032361292667,8.0,8.0,92.2564529558701,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv
physical_sim3_vicon_delaycal,loo_tag_delay,ID03,53.600633617155225,53.600633617155225,184,V5 anchors full-Sim3 transformed to Vicon frame,Vicon inter-anchor delaycal endpoint delays,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID03_physical_sim3_vicon_delaycal_loo_tag_delay.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-531.994040384447,1644.4688991593644,-263.4891438786254,-554.00287,1625.5614500000001,-256.2951,22.008829615553054,18.907449159364205,-7.1940438786253935,29.893719776701843,23.154758655059066,18.907449159364205,motive_iantenna,False,89.14655054156464,210.22924567918636,170.33285352354207,214.53301822453582,8.0,8.0,92.2564529558701,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv
deployable_v5_rigid_selfcal,zero_tag,ID01,49.169522655454465,0.0,184,"V5 self-cal anchors rigidly aligned to Vicon, scale fixed at 1",V5 layout d_anchor_mm,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID01_deployable_v5_rigid_selfcal_zero_tag.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-483.4933358023519,4.193083578004644,-371.1267772270661,-542.215344349341,182.54280058407934,-383.3240609304319,58.72200854698906,-178.3497170060747,12.197283703365827,188.1639433411194,59.9753951011,178.3497170060747,reconstructed_from_relabelled_balls,True,59.15460095960602,107.79679273729347,80.6905833195252,160.44620615707996,8.0,8.0,91.75686927560366,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
deployable_v5_rigid_selfcal,loo_tag_delay,ID01,49.169522655454465,49.169522655454465,184,"V5 self-cal anchors rigidly aligned to Vicon, scale fixed at 1",V5 layout d_anchor_mm,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID01_deployable_v5_rigid_selfcal_loo_tag_delay.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-471.92784950455666,48.32241893443123,-332.0835662305505,-542.215344349341,182.54280058407934,-383.3240609304319,70.2874948447843,-134.22038164964812,51.240494699881424,159.94071113641252,86.98229836377143,134.22038164964812,reconstructed_from_relabelled_balls,True,53.807480032370385,92.80126080237768,87.17126793451182,166.55103223544234,8.0,8.0,91.75686927560366,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
physical_sim3_vicon_delaycal,zero_tag,ID01,56.17230901888516,0.0,184,V5 anchors full-Sim3 transformed to Vicon frame,Vicon inter-anchor delaycal endpoint delays,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID01_physical_sim3_vicon_delaycal_zero_tag.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-460.0442117790836,-38.87831698852394,-363.2711591648791,-542.215344349341,182.54280058407934,-383.3240609304319,82.17113257025738,-221.4211175726033,20.052901765552804,237.02642300848726,84.5825862521224,221.4211175726033,reconstructed_from_relabelled_balls,True,67.38176808954373,127.20994713490371,98.54507290689511,159.41715696215414,8.0,8.0,91.75686927560366,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
physical_sim3_vicon_delaycal,loo_tag_delay,ID01,56.17230901888516,56.17230901888516,184,V5 anchors full-Sim3 transformed to Vicon frame,Vicon inter-anchor delaycal endpoint delays,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID01_physical_sim3_vicon_delaycal_loo_tag_delay.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-442.8104766298565,6.304240873739656,-312.3237574260564,-542.215344349341,182.54280058407934,-383.3240609304319,99.40486771948446,-176.2385597103397,71.00030350437555,214.4350735136783,122.1571562539078,176.2385597103397,reconstructed_from_relabelled_balls,True,51.74937727413131,94.17244707471662,117.15658038075004,172.82811740971172,8.0,8.0,91.75686927560366,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
deployable_v5_rigid_selfcal,zero_tag,ID04,48.10606494503249,0.0,184,"V5 self-cal anchors rigidly aligned to Vicon, scale fixed at 1",V5 layout d_anchor_mm,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID04_deployable_v5_rigid_selfcal_zero_tag.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,mean,-271.58430033696243,-75.6610019078485,522.2374559380208,-321.178815,182.16379,479.93381999999997,49.59451466303756,-257.8247919078485,42.303635938020875,265.93765589055687,65.18599157977778,257.8247919078485,motive_iantenna,False,62.00235215001754,146.46242674172902,78.10443350486979,110.53848502149057,8.0,8.0,93.83846794338052,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv
deployable_v5_rigid_selfcal,loo_tag_delay,ID04,48.10606494503249,48.10606494503249,184,"V5 self-cal anchors rigidly aligned to Vicon, scale fixed at 1",V5 layout d_anchor_mm,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/v5_loo_fold_layouts_20260617T171220/ID04_deployable_v5_rigid_selfcal_loo_tag_delay.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,T4,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,mean,-276.07117661193644,34.351274984630756,516.3792256832131,-321.178815,182.16379,479.93381999999997,45.10763838806355,-147.81251501536926,36.44540568321315,158.7813157507238,57.99109100855311,147.81251501536926,motive_iantenna,False,69.56600232569512,170.6195254114207,84.08740901451098,119.4426070559161,8.0,8.0,93.83846794338052,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv
