case,type,layout_or_anchor,delay_mode,tag_solver,static_3d_p50_mm,static_3d_p95_mm,static_xy_p95_mm,static_z_p95_mm,roto_3d_p50_mm,roto_3d_p95_mm,roto_xy_p95_mm,roto_z_p95_mm,opti_turn_center_abs_error_p50_mm,opti_turn_center_abs_error_rms_mm,legacy_deltaR_rms_mm,legacy_turn_center_repeatability_median_mm
FULL original production v4-io,static production,AutoPos v4-io rigid no-scale,solver_delay,production,73.96289045329976,282.12949495641834,,,,,,,,,
FULL original raw replay v4-io/T4,static + ROTO,AutoPos v4-io rigid no-scale,solver_delay,T4,69.69166345867296,173.9256534240159,,,105.83784720842544,231.80213799547755,167.47209082957772,187.38314568289812,69.13009495766391,72.08191541633067,25.899008985998433,13.657450233618082
FULL original raw replay v4-io/T3,static replay best-ish,AutoPos v4-io rigid no-scale,solver_delay,T3,69.1556210729911,172.98762439595595,,,,,,,,,
Vicon anchors + delaycal / T4,static control/ablation,vicon_truth,vicon_inter_anchor_delaycal,T4,64.09048082988876,128.3843598352106,81.28621990750632,112.83427844950872,,,,,,,,
Full similarity scale + delaycal / v4-io/T4,static control/ablation,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T4,67.05420723538964,132.61209744798188,80.52222152026611,117.35752931619628,,,,,,,,
One-baseline E-H + delaycal / v4-io/T4,static control/ablation,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,58.11815566026716,130.2241090849534,72.85938284140346,106.77301848001756,,,,,,,,
One-baseline best static row,static control/ablation,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,55.18943521394794,140.99174175904787,69.17853735272718,121.39557267414946,,,,,,,,
ROTO Vicon anchors + delaycal / T4,ROTO control/ablation,vicon_truth,vicon_inter_anchor_delaycal,T4,,,,,105.58545344419056,200.4332138699345,137.17785740362655,172.02692172777375,69.83661956423366,72.72616659146145,17.993888424090434,13.305826572225553
ROTO full similarity scale + delaycal / v4-io/T4,ROTO control/ablation,solver_similarity_scale_to_vicon,scaled_layout_inter_anchor_delaycal,T4,,,,,110.50368257403034,200.7083769132022,139.53230205195888,176.54631896422873,71.332564966626,76.66271037947132,15.607953615879215,13.320584641261429
ROTO one-baseline E-H + delaycal / v4-io/T4,ROTO control/ablation,one_baseline_scale,one_baseline_layout_inter_anchor_delaycal,T4,,,,,106.21110129630524,200.3927351393613,138.20735472944034,170.42965250274807,75.22622123009756,77.08015968374778,13.358113625955694,13.67718636727435
ROTO best overall row,ROTO control/ablation,one_baseline_scale,solver_delay,T4,,,,,100.09957596064136,220.461001514265,159.3410800094544,176.24590192918367,69.43016197260661,71.3915911754916,,
