row_type,layout,method,d_tag_mm,capture_id,tag,n_points,frames_input,frames_solved,true_radius_mm,source_tr_all,alignment,status,n,radius_mm,radius_error_mm,radius_error_percent,center_x_mm,center_y_mm,center_z_mm,normal_x,normal_y,normal_z,in_plane_radial_rms_mm,in_plane_radial_p95_abs_mm,out_of_plane_rms_mm,out_of_plane_p95_abs_mm,n_tracks,radius_mm_median,radius_mm_mean,radius_mm_p25,radius_mm_p75,radius_error_mm_median,radius_error_percent_median,in_plane_radial_rms_mm_median,out_of_plane_rms_mm_median,note,radius_delta_mm,radius_delta_error_mm,radius_delta_error_percent,radius_BS2DCE_mm,radius_BSDC91_mm,n_pairs,radius_delta_mm_median,radius_delta_mm_mean,radius_delta_mm_p25,radius_delta_mm_p75,radius_delta_error_mm_median,radius_delta_error_percent_median
track,v4-io,T4,49.6,R06,BS2DCE,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R06_BS2DCE_BSDC91_120s_20260528_131147/tag_capture_20260528_131147/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,460.3869093672937,340.3869093672937,283.6557578060781,1635.137545032507,998.1859576490608,-860.3232940614002,-0.0333488678997448,-0.7994342003531891,-0.5998273187472054,56.69693328307983,107.14457326868416,72.73934431636819,147.88730319172805,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R06,BSDC91,1201,1201,1201,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R06_BS2DCE_BSDC91_120s_20260528_131147/tag_capture_20260528_131147/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1201,565.3820972727027,445.3820972727027,371.15174772725226,1643.2950621961625,1003.9168104380892,-845.0156400447405,-0.01878673547791509,0.7347572044568208,0.6780699883263382,60.36397903483952,116.69080698510209,50.622622779173696,101.26125823722525,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R07,BS2DCE,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R07_BS2DCE_BSDC91_120s_20260528_131506/tag_capture_20260528_131506/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,451.86270488158414,331.86270488158414,276.5522540679868,1746.2821337272355,1200.3989529153573,-872.2468932027375,0.7491111187271553,0.02342124011033564,-0.6620301936551263,52.267849712881386,105.47445481755717,56.416171303079274,112.70042307716076,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R07,BSDC91,1201,1201,1201,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R07_BS2DCE_BSDC91_120s_20260528_131506/tag_capture_20260528_131506/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1201,554.9246410015852,434.9246410015852,362.43720083465433,1733.6923757501438,1180.611617554313,-851.4634901179131,-0.7065619495056704,0.04211427382042976,0.7063969135346818,48.7133139889629,94.14954239738233,45.645927336350006,87.0201368687029,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R08,BS2DCE,1201,1201,1201,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R08_BS2DCE_BSDC91_120s_20260528_131827/tag_capture_20260528_131827/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1201,458.35726194592417,338.35726194592417,281.9643849549368,1546.2411249796155,1278.8070250319352,-859.9535437775183,-0.052962900349605636,0.761388775982327,-0.6461285189454893,61.52550835833067,127.59299326411644,65.0358413992379,124.39285402916003,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R08,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R08_BS2DCE_BSDC91_120s_20260528_131827/tag_capture_20260528_131827/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,566.1590274295694,446.1590274295694,371.7991895246412,1574.8337759521723,1256.8025596471398,-868.6953567087825,-0.03582654060325684,0.7151972243525713,-0.6980038604956151,45.61497760527416,94.94673626551271,62.36402762881235,126.62228982357277,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R09,BS2DCE,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R09_BS2DCE_BSDC91_120s_20260528_132144/tag_capture_20260528_132144/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,477.9998178943141,357.9998178943141,298.3331815785951,1429.68770776529,1089.691066379151,-861.5222174088699,-0.7353375961381977,-0.046757516667596866,-0.6760860554254735,73.24584893965358,143.47045419945832,77.66130835857673,159.88609250255865,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R09,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R09_BS2DCE_BSDC91_120s_20260528_132144/tag_capture_20260528_132144/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,585.6313894379496,465.63138943794957,388.02615786495795,1450.1296412847337,1090.5455372037732,-820.114765180445,0.6880556761324464,0.03646015317196627,0.7247413633653036,62.285823655165764,121.18291914350628,50.3408858600764,97.69744180987736,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R10,BS2DCE,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R10_BS2DCE_BSDC91_120s_20260528_132554/tag_capture_20260528_132555/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,457.90450862522295,337.90450862522295,281.5870905210191,1643.4107733813623,953.451127300847,-758.4412954684269,-0.07526820444266542,0.9668187696146977,0.24412325600134588,50.813339413664075,101.56717902617825,51.08251540299844,96.23543097191101,,,,,,,,,,,,,,,,,,,,,,
track,v4-io,T4,49.6,R10,BSDC91,1200,1200,1200,120.0,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R10_BS2DCE_BSDC91_120s_20260528_132554/tag_capture_20260528_132555/tr_all.csv,self_cal_frame_no_sim3_no_vicon_alignment,ok,1200,562.9720243328373,442.97202433283735,369.14335361069783,1641.5558468728775,961.7556517032257,-778.7545984378564,-0.0826420661074458,0.9575228852463625,0.2762611321539348,57.8258243153874,110.35361938729883,43.295693304610744,82.69742150800994,,,,,,,,,,,,,,,,,,,,,,
