script,physical_cores,logical_cores,workers,elapsed_s,cpu_percent_mean_live,cpu_percent_max_live,n_jobs,n_dynamic_tracks,n_dynamic_rho_rows,n_static_rho_rows,v4_layout,v5_layout,time_offsets,wand_mapping,anchor_rigid_rms_mm,completed,total,dataset,layout,d_tag_mm,capture_id,tag,frames_input,frames_solved,live_cpu_percent
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_4way_comparison/scripts/run_rotoarm_scale_delay_nlos.py,6,12,6,33.27092312599416,48.91125,94.6,160,136,324073,228265,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v5-commonmode/layout.json,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/roto_absolute/tables/roto_time_offsets_v4io_T4.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/roto_absolute/tables/roto_wand_mapping_decision.csv,62.991902346555186,,,,,,,,,,
,,,,,,,,,,,,,,,,1,160,dynamic,v4-io,49.6,R03,BS2DCE,1200,1200,84.6
,,,,,,,,,,,,,,,,2,160,dynamic,v4-io,49.6,R02,BSDC91,1200,1200,83.1
,,,,,,,,,,,,,,,,3,160,dynamic,v4-io,49.6,R01,BS2DCE,1201,1201,85.4
,,,,,,,,,,,,,,,,4,160,dynamic,v4-io,49.6,R01,BSDC91,1200,1200,92.2
,,,,,,,,,,,,,,,,5,160,dynamic,v4-io,49.6,R02,BS2DCE,1201,1201,91.6
,,,,,,,,,,,,,,,,6,160,dynamic,v4-io,49.6,R03,BSDC91,1200,1200,93.3
,,,,,,,,,,,,,,,,7,160,dynamic,v4-io,49.6,R04,BS2DCE,1200,1200,90.0
,,,,,,,,,,,,,,,,8,160,dynamic,v4-io,49.6,R04,BSDC91,1200,1200,81.3
,,,,,,,,,,,,,,,,9,160,dynamic,v4-io,49.6,R05,BS2DCE,1200,1200,89.5
,,,,,,,,,,,,,,,,10,160,dynamic,v4-io,49.6,R06,BSDC91,1201,1201,94.6
,,,,,,,,,,,,,,,,11,160,dynamic,v4-io,49.6,R05,BSDC91,1201,1201,84.9
,,,,,,,,,,,,,,,,12,160,dynamic,v4-io,49.6,R06,BS2DCE,1200,1200,88.3
,,,,,,,,,,,,,,,,13,160,dynamic,v4-io,49.6,R07,BSDC91,1201,1201,83.1
,,,,,,,,,,,,,,,,14,160,dynamic,v4-io,49.6,R07,BS2DCE,1200,1200,76.9
,,,,,,,,,,,,,,,,15,160,dynamic,v4-io,49.6,R08,BS2DCE,1201,1201,85.1
,,,,,,,,,,,,,,,,16,160,dynamic,v4-io,49.6,R08,BSDC91,1200,1200,90.7
,,,,,,,,,,,,,,,,17,160,dynamic,v4-io,49.6,R09,BS2DCE,1200,1200,89.5
,,,,,,,,,,,,,,,,18,160,dynamic,v4-io,49.6,R09,BSDC91,1200,1200,91.2
