d_tag_mm,n_positions,frames_input_total,frames_solved_total,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_abs_vertical_mm,signed_vertical_slope_mm_per_m,signed_vertical_r2,wall_s
0.0,24,28818,28818,109.51537928451557,223.85943877996434,140.5199951638537,89.4207269270108,196.4196482751764,0.7692969170331878,4.186946966015967
2.0,24,28818,28818,107.2921941832994,217.37993947774544,137.5235903605472,86.82066809185164,191.148267009312,0.7634262528718796,3.9649513760232367
4.0,24,28818,28818,105.07034963035235,210.9631397812508,134.5611401716675,85.19071782888795,185.90304466753037,0.7571842974969378,4.644947251013946
6.0,24,28818,28818,102.847242858155,204.64373223079758,131.63719344430524,84.55743811638922,180.6903100334916,0.7505455391282195,4.274845594976796
8.0,24,28818,28818,100.62065712038827,198.45889166933014,128.75944937084307,83.90291913516592,175.5200304276745,0.7434659665799102,5.147159535990795
10.0,24,28818,28818,98.38249073205753,194.95221521802313,125.92592961251347,83.22823820191354,170.38565098937931,0.7359005213710472,4.641948133008555
12.0,24,28818,28818,96.13715260616226,191.64485636823844,123.13509704622689,82.5275525565404,165.28381027613625,0.7278187380907359,4.599583759001689
14.0,24,28818,28818,93.87836757641881,188.69395596154854,120.39121438116072,81.79890516727914,160.21898227271967,0.7191886151282372,4.83989240200026
16.0,24,28818,28818,91.0990404910358,185.7281678850353,117.69856840950806,81.0478942133841,155.19159389852857,0.7099329811435074,5.336131579009816
18.0,24,28818,28818,88.79260972362044,182.74334120029675,115.05929300266274,80.2774137518735,150.20262433297364,0.7000040744678284,5.5132417469867505
20.0,24,28818,28818,86.1237916811437,179.7306810096912,112.47616761431706,79.48448450155911,145.25433456351263,0.6893638439072791,5.129278946988052
22.0,24,28818,28818,83.45559279012545,176.7125439580731,109.95692324208251,78.67164251817883,140.35342558801617,0.6779339523917611,5.15228862100048
24.0,24,28818,28818,80.13065185991243,173.65156877976975,107.49756103674474,76.2901523429025,135.4938136335418,0.6656863778710662,5.4006855149928015
26.0,24,28818,28818,76.51539478286759,170.74275823294636,105.10236625906461,73.27430125019555,130.67574305178414,0.6525514205853895,5.099353441008134
28.0,24,28818,28818,74.37133007108665,168.32800492557573,102.77554255021926,69.64660238595742,125.90286098793545,0.638501335820632,5.248796152009163
30.0,24,28818,28818,72.60796470109511,167.03693942932546,100.51914834964876,66.07809274104612,121.17041475862393,0.6234506385444579,5.737799105991144
32.0,24,28818,28818,71.05095496350063,165.76459415237417,98.33445438027894,62.57063627522575,116.47925359988669,0.6073701042852525,5.877011147997109
34.0,24,28818,28818,70.84043297288267,164.66411760116284,96.22578838884795,60.293590784932576,111.82760248619284,0.5901569877687638,5.516829390020575
36.0,24,28818,28818,72.10200706546027,163.6203653270438,94.19949720324998,59.68535742002189,107.21715767598995,0.5717524578604682,5.666448069998296
38.0,24,28818,28818,73.56654766976482,162.59687649407294,92.25623635677259,59.06629815080805,102.64869202856696,0.5521270486803715,5.689369022991741
40.0,24,28818,28818,74.03893722657315,161.59445827453075,90.40085291619755,58.446806154534215,98.12399470108122,0.5312540381502964,5.341245439980412
42.0,24,28818,28818,74.44216585155854,160.6166845996859,88.6369547573812,57.83581051342753,93.64345895744431,0.5091198463207658,5.184413955983473
44.0,24,28818,28818,73.58578273828434,159.65010647029266,86.96737600380577,57.60382407146301,89.20487175518994,0.4857022322090605,5.2564709589933045
46.0,24,28818,28818,71.43272660387274,158.69555709440448,85.39397009182952,58.28747895226536,84.80777648836178,0.4610443260160786,5.2724926990049426
48.0,24,28818,28818,69.31459150053402,156.5734009111889,83.92008291712185,58.990314754683936,80.44920598257094,0.43516150774850226,6.126467991998652
49.621033,24,28818,28818,67.8487481359978,153.63456834436744,82.79870435971742,59.416598975327474,76.94266615912242,0.41333514270631533,6.341856280982029
