version,eval_set,anchor,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_mm,err_vertical_mm,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm
v1-old,all8,A,-85.62700377968736,-66.57226880278205,-139.59726786532042,176.78022498373082,163.76623880320577,66.57226880278205,-1160.1933037796873,181.70302119721794,-1763.8484178653205,-1074.5663,248.27528999999998,-1624.25115
v1-old,all8,B,-38.10888368182327,3.2510336233919475,68.41952805113738,78.38423345185903,78.31678513712824,3.2510336233919475,-1358.5416836818233,273.57755862339195,1097.7756280511373,-1320.4328,270.326525,1029.3561
v1-old,all8,C,21.21644260939081,-35.605420382845864,103.99606971906155,111.95117647728702,106.13821156402385,35.605420382845864,873.1381326093908,186.78921461715413,1298.2748697190616,851.92169,222.394635,1194.2788
v1-old,all8,D,59.91881899399482,-7.159130212180713,-51.83008906835926,79.5479487344842,79.2251412271961,7.159130212180713,1142.692918993995,233.7449247878193,-1484.3080890683593,1082.7741,240.904055,-1432.478
v1-old,all8,E,-43.50323006003032,-2.0695259976068883,-45.118606141187,62.70966898042322,62.675510734093606,2.0695259976068883,-1214.1341300600304,1645.9030740023932,-1626.771606141187,-1170.6309,1647.9726,-1581.653
v1-old,all8,F,1.5814529520496308,37.628041849510055,28.11235441849658,46.99654240281077,28.15680138777682,37.628041849510055,-1270.1309970479504,1697.72794184951,1127.3719544184967,-1271.71245,1660.0999,1099.2596
v1-old,all8,G,59.00045803444118,3.8741760729624275,90.17389483075976,107.83039737229522,107.76077838073914,3.8741760729624275,1021.4239780344412,1628.3906760729624,1277.0181948307597,962.42352,1624.5165,1186.8443
v1-old,all8,H,25.521944931665757,66.6530938495514,-54.15588394459064,89.5927695667014,59.86843441175784,66.6530938495514,1053.5844449316658,1696.9710938495514,-1606.2435839445907,1028.0625,1630.318,-1552.0877
v2,all8,A,-99.57538590378249,-79.51232917131523,-147.0159080361284,194.55370771029308,177.56388904722314,79.51232917131523,-1174.1416859037824,168.76296082868475,-1771.2670580361284,-1074.5663,248.27528999999998,-1624.25115
v2,all8,B,-71.28232622582914,-61.10088175444898,74.521555842505,119.86638423062688,103.12435365786843,61.10088175444898,-1391.7151262258292,209.22564324555103,1103.877655842505,-1320.4328,270.326525,1029.3561
v2,all8,C,54.24303358658551,-89.7271007933652,126.55788246905809,164.34767088252295,137.69242647192823,89.7271007933652,906.1647235865855,132.6675342066348,1320.8366824690581,851.92169,222.394635,1194.2788
v2,all8,D,88.72290151262564,-77.52223527665492,-66.11046898771633,135.1001270350399,110.64514161315385,77.52223527665492,1171.4970015126257,163.38181972334507,-1498.5884689877164,1082.7741,240.904055,-1432.478
v2,all8,E,-55.18406227266223,24.43447588694221,-48.806335037367944,77.61689687537394,73.67047623500795,24.43447588694221,-1225.8149622726623,1672.4070758869423,-1630.459335037368,-1170.6309,1647.9726,-1581.653
v2,all8,F,-7.067861622244209,100.61515048350293,31.835398998972778,105.76793372356731,32.61053966641751,100.61515048350293,-1278.7803116222442,1760.7150504835029,1131.0949989989729,-1271.71245,1660.0999,1099.2596
v2,all8,G,62.44006978306106,57.22565785841448,85.68411331286597,120.47948168071568,106.02136383166173,57.22565785841448,1024.8635897830611,1681.7421578584144,1272.528413312866,962.42352,1624.5165,1186.8443
v2,all8,H,27.703631142243694,125.58726276692414,-56.66623856218985,140.53723471216074,63.0757780075086,125.58726276692414,1055.7661311422437,1755.9052627669241,-1608.75393856219,1028.0625,1630.318,-1552.0877
v3-full,all8,A,-120.91138191582854,-70.27708622156916,-126.06492840663668,188.28382112852833,174.67663968306059,70.27708622156916,-1195.4776819158285,177.99820377843082,-1750.3160784066367,-1074.5663,248.27528999999998,-1624.25115
v3-full,all8,B,109.99565793227089,-62.45637871270864,64.53779264429477,142.00341786469937,127.53106070032952,62.45637871270864,-1210.4371420677292,207.87014628729136,1093.8938926442947,-1320.4328,270.326525,1029.3561
v3-full,all8,C,-133.9356526011294,-14.305156450586054,129.3155289247229,186.72413491524605,186.175361041066,14.305156450586054,717.9860373988706,208.08947854941394,1323.594328924723,851.92169,222.394635,1194.2788
v3-full,all8,D,139.97166556030993,83.00612752847107,-154.43402900460637,224.34784082222777,208.4272930168284,83.00612752847107,1222.74576556031,323.91018252847107,-1586.9120290046064,1082.7741,240.904055,-1432.478
v3-full,all8,E,-18.658414452319903,43.11581332181049,13.188994106177915,48.7960997807053,22.849201198451905,43.11581332181049,-1189.28931445232,1691.0884133218105,-1568.464005893822,-1170.6309,1647.9726,-1581.653
v3-full,all8,F,-26.203479098421894,84.54300819869172,36.71816111606836,95.82466231555968,45.10926371164783,84.54300819869172,-1297.9159290984219,1744.6429081986917,1135.9777611160685,-1271.71245,1660.0999,1099.2596
v3-full,all8,G,34.32250953699031,30.206766363606448,33.0474557925852,56.41469426864927,47.64629046714616,30.206766363606448,996.7460295369904,1654.7232663636064,1219.8917557925852,962.42352,1624.5165,1186.8443
v3-full,all8,H,15.419095038126898,-93.83309402771533,3.691024827394358,95.16313199388352,15.854720308830146,93.83309402771533,1043.481595038127,1536.4849059722847,-1548.3966751726057,1028.0625,1630.318,-1552.0877
v3-lite,all8,A,-99.37755689266646,-80.12687407347954,-146.98785064654658,194.68344305675788,177.42978062221303,80.12687407347954,-1173.9438568926664,168.14841592652044,-1771.2390006465466,-1074.5663,248.27528999999998,-1624.25115
v3-lite,all8,B,-70.85018938285862,-61.346191212210016,74.44800350259266,119.68963922309239,102.77282987788641,61.346191212210016,-1391.2829893828587,208.98033378779,1103.8041035025926,-1320.4328,270.326525,1029.3561
v3-lite,all8,C,53.52727550380166,-91.26026239297306,126.20393363570429,164.68466103441276,137.086111944227,91.26026239297306,905.4489655038017,131.13437260702693,1320.4827336357043,851.92169,222.394635,1194.2788
v3-lite,all8,D,88.79925457593686,-77.01660123604614,-65.61302797627218,134.6177325593076,110.41004054639741,77.01660123604614,1171.573354575937,163.88745376395386,-1498.0910279762722,1082.7741,240.904055,-1432.478
v3-lite,all8,E,-55.50671485436237,24.333547981008905,-48.19216747369569,77.4312724748876,73.508369589702,24.333547981008905,-1226.1376148543625,1672.306147981009,-1629.8451674736957,-1170.6309,1647.9726,-1581.653
v3-lite,all8,F,-6.540092960825405,101.61212283058899,30.70061740606775,106.35000813910966,31.38950023574743,101.61212283058899,-1278.2525429608254,1761.712022830589,1129.9602174060678,-1271.71245,1660.0999,1099.2596
v3-lite,all8,G,62.76202514744455,57.932433063508824,86.10107754732212,121.27915796243133,106.54795800679823,57.932433063508824,1025.1855451474446,1682.4489330635088,1272.945377547322,962.42352,1624.5165,1186.8443
v3-lite,all8,H,27.18599886352945,125.87182503960207,-56.66058599517373,140.68836795671666,62.845051830070936,125.87182503960207,1055.2484988635294,1756.189825039602,-1608.7482859951738,1028.0625,1630.318,-1552.0877
v4-io,all8,A,-84.83414873858715,-66.14131423742953,-150.94805034859564,185.3559282712514,173.15353503825122,66.14131423742953,-1159.400448738587,182.13397576257046,-1775.1992003485957,-1074.5663,248.27528999999998,-1624.25115
v4-io,all8,B,-14.510169937678029,-64.2460896151211,52.30334550233101,84.10555875321604,54.2787710100045,64.2460896151211,-1334.942969937678,206.0804353848789,1081.659445502331,-1320.4328,270.326525,1029.3561
v4-io,all8,C,-28.06207915141715,-41.837374105904786,88.3247002188059,101.68135929028371,92.67541720997177,41.837374105904786,823.8596108485829,180.5572608940952,1282.603500218806,851.92169,222.394635,1194.2788
