node,uwb_records,uwb_sweep_gaps,uwb_max_master_gap_ms,uwb_incomplete_fields
BSF3C79,15000,0,250,0
BSFC2CC,15002,0,500,0
BSF44AD,15000,0,300,0
BSF6C53,15000,0,250,0
BSF8BC4,14999,0,300,0
BSF1120,14999,0,298,0
BSF31CC,14999,0,301,0
BSFAA61,15000,0,348,0
BSFB165,15000,0,299,0
BSFEC35,15000,0,299,0
