field_group,available,validated
proto/name/master_ms/seq/base_us/n/temp_raw/7-int samples,yes,yes
sweep/poll_tx/identity/logical/guard_us/spacing_us,yes,yes
anchor_id/rank/range_mm/t_round_us/quality/cfo_ppm_q8[8],yes,yes
valid_mask/flags,yes,yes
raw COBS+delimiter,yes,yes
Listener LPD/LBD/LBTX,yes,yes
