sample_utc,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w,gpu_power_limit_w,mem_used_mb,mem_total_mb,swap_used_mb,cpu_tctl_c
2026-06-06T22:07:04Z,0,869,32607,33,8.88,500.00,10971,94084,0,46.5
2026-06-06T22:07:14Z,0,869,32607,33,9.06,500.00,14808,94084,0,80.8
2026-06-06T22:07:24Z,0,869,32607,32,9.24,500.00,14941,94084,0,81.5
2026-06-06T22:07:34Z,0,869,32607,32,8.92,500.00,14733,94084,0,82.4
2026-06-06T22:07:44Z,1,869,32607,32,9.54,500.00,14767,94084,0,82.4
2026-06-06T22:07:54Z,5,869,32607,31,9.48,500.00,14815,94084,0,82.2
2026-06-06T22:08:04Z,5,869,32607,31,10.43,500.00,14859,94084,0,82.5
2026-06-06T22:08:15Z,5,869,32607,31,9.30,500.00,14919,94084,0,85.9
2026-06-06T22:08:25Z,25,870,32607,32,30.17,500.00,14991,94084,0,89.0
2026-06-06T22:08:35Z,1,874,32607,30,7.97,500.00,16208,94084,0,91.8
2026-06-06T22:08:45Z,0,841,32607,30,8.13,500.00,16311,94084,0,90.5
2026-06-06T22:08:55Z,0,841,32607,30,7.22,500.00,16248,94084,0,91.9
