held_out,config,d_tag_calibrated_mm,n_train,n_eval,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vert_mm,signed_vert_slope,signed_vertical_slope_r2,fail_rate
OUTER,V4+C_V4,32.11004976580654,12,12,72.71780341884738,161.4200447963353,94.25089676663805,52.75224625162069,68.91088364549822,0.35276776546773225,0.0
INNER,V4+C_V4,38.71544586622904,12,12,59.96893180878584,96.77806139909454,64.2045463139634,45.93738919369321,83.5658342255267,0.1438457322324107,0.0
OUTER,V5+C_V5,45.31337640122739,12,12,84.70451063314579,162.69831414079647,102.88727223005617,75.82391228940236,100.454612220251,0.5353035353806743,0.0
INNER,V5+C_V5,52.233897739845574,12,12,65.67633798627647,88.24057536446175,62.858825460563565,48.75445780730854,121.90332579034867,0.3051830055534094,0.0
OUTER,Vicon+C_Vicon_cm,46.932788733385415,12,12,82.7195993347625,171.38694279392138,100.36452514057719,66.92093432006618,84.83203207265561,0.4714561863773693,0.0
INNER,Vicon+C_Vicon_cm,54.66878136330523,12,12,58.6880745058499,92.46776616796407,61.90587969114711,47.69249764900985,99.13080483648473,0.2077496903388677,0.0
