config,full_loo_median_3d_mm,worst_tier,worst_tier_median_3d_mm,height_degradation_mm,worst_edge_center,worst_edge_center_median_3d_mm,edge_center_degradation_mm
V4+C_V4,57.92095709409735,LOW,66.33448692586524,8.413529831767882,OUTER,72.71780341884738,14.796846324750028
V5+C_V5,67.84873089032392,LOW,72.38773266049841,4.539001770174494,OUTER,84.70451063314579,16.855779742821866
Vicon+C_Vicon_cm,63.39153174722954,LOW,75.58819401756318,12.19666227033364,OUTER,82.7195993347625,19.328067587532964
