held_out_tier,config,d_tag_calibrated_mm,n_train,n_eval,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_vert_mm,signed_vert_slope,signed_vertical_slope_r2,fail_rate
LOW,V4+C_V4,38.6153993721593,16,8,66.33448692586524,165.72317868333278,98.61497735682732,54.845694223252764,1680.2502569187448,0.19744529635324948,0.0
MID,V4+C_V4,32.98178316199048,16,8,61.15569710052926,81.15521028172289,58.34309096694244,47.937990669353894,-322.1671649572658,0.011605223413500787,0.0
HIGH,V4+C_V4,30.613682595843255,16,8,62.81076059928108,107.27958399458039,71.79293251438607,48.286151684310084,1081.5871241369541,0.4124713241079243,0.0
LOW,V5+C_V5,52.00251370313492,16,8,72.38773266049841,156.24060092239253,100.96626370906091,68.55695026155227,1456.3320733431462,0.18363442143028763,0.0
MID,V5+C_V5,48.57674117675603,16,8,66.62796801174396,84.89315597810274,62.52226317386936,54.84953209946411,42.96708158478116,0.00015072657545422974,0.0
HIGH,V5+C_V5,48.55757480583289,16,8,70.14108706137216,118.43462795808581,78.30784578538535,53.453562272720774,1350.333118725194,0.5961514790134834,0.0
LOW,Vicon+C_Vicon_cm,51.53020826693376,16,8,75.58819401756318,167.4902409855606,105.52254890678562,68.10125558685961,1646.7845060214447,0.21779331537703595,0.0
MID,Vicon+C_Vicon_cm,52.05476379985157,16,8,59.44003586868614,87.81220464631717,60.01870765055461,48.60386991409666,291.9881852823424,0.006754143654418732,0.0
HIGH,Vicon+C_Vicon_cm,48.008694190726445,16,8,65.0236874038321,100.49997640395289,72.49292251136241,46.1706985306289,1046.5419395288768,0.4348136421012856,0.0
