row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L18:I3:T6,simulate_imu_prior,0.5731845849950332,,,,
R2:L18:I3:T6,cpu_golden,20.564732055994682,,,,
R2:L18:I3:T6,torch_gpu,2.2615726250078296,0,1,2.2615726250078296,2.2615726250078296
R2:L18:I3:T8,simulate_imu_prior,0.5992977709975094,,,,
R2:L18:I3:T8,cpu_golden,20.53122986499511,,,,
R2:L18:I3:T8,torch_gpu,2.1578661529929377,0,1,2.1578661529929377,2.1578661529929377
R2:L18:I4:T6,simulate_imu_prior,0.5724434899893822,,,,
R2:L18:I4:T6,cpu_golden,19.763941994009656,,,,
R2:L18:I4:T6,torch_gpu,2.0930613450036617,0,1,2.0930613450036617,2.0930613450036617
R2:L18:I4:T8,simulate_imu_prior,0.5600267169938888,,,,
R2:L18:I4:T8,cpu_golden,20.353786635998404,,,,
R2:L18:I4:T8,torch_gpu,2.217798213008791,0,1,2.217798213008791,2.217798213008791
