layout_id,capture_id,source_group,solver_version,layout_variant,source_path,anchor_count,mask,mask_anchor_count,grid_mm,n_points,n_valid,xdop_mean,xdop_median,xdop_p90,xdop_p95,xdop_max,ydop_mean,ydop_median,ydop_p90,ydop_p95,ydop_max,vdop_mean,vdop_median,vdop_p90,vdop_p95,vdop_max,hdop_mean,hdop_median,hdop_p90,hdop_p95,hdop_max,gdop_mean,gdop_median,gdop_p90,gdop_p95,gdop_max,cond_mean,cond_median,cond_p90,cond_p95,cond_max,axis_imbalance_p95,axis_dop_score,status,gpu_device
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,dropB,7,25,565656,565656,0.580222785,0.566363215,0.649039149,0.67953229,0.821931481,0.668565154,0.659526527,0.743270516,0.777832866,0.938467324,0.908055604,0.886496067,1.06070518,1.13507676,1.45807564,0.887423098,0.876078129,0.94130218,0.970375061,1.12926459,1.27303588,1.2557528,1.36670065,1.42928052,1.73885775,4.63994598,4.39153099,5.81623125,6.67759132,11.865777,1.67037943,1.07536901,ok,1
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,dropB,7,25,612720,612720,0.581686974,0.567904115,0.648162186,0.679239094,0.820063055,0.666473269,0.65747261,0.738938928,0.773466945,0.95695132,0.908718109,0.884221792,1.06789804,1.14595687,1.51303184,0.886675477,0.875669122,0.939041317,0.969352007,1.15334058,1.27310967,1.25466025,1.37116134,1.43628466,1.77757168,4.64368486,4.37829304,5.87538576,6.77775955,12.5302744,1.68711855,1.08052627,ok,0
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,dropB,7,25,612720,612720,0.581585586,0.567808867,0.648034334,0.679087281,0.819809258,0.666474164,0.657452464,0.738955855,0.773447096,0.956776261,0.909167945,0.884667635,1.06854165,1.14666259,1.51332021,0.886608601,0.875602961,0.938957155,0.969228685,1.15304506,1.27338874,1.25492752,1.3716265,1.43684936,1.77847457,4.64727831,4.38157225,5.8818326,6.78572989,12.5620232,1.68853493,1.08093122,ok,1
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,dropB,7,25,599720,599720,0.567864537,0.55635196,0.641413093,0.666415989,0.794199944,0.670183539,0.663663507,0.750593245,0.78157562,0.931923389,0.938536108,0.923591852,1.08691871,1.15657544,1.46461236,0.880939305,0.870666623,0.935574412,0.961675167,1.10944128,1.29067826,1.27221417,1.38545406,1.44653428,1.75319803,4.86350727,4.593606,6.07392025,6.92478085,12.1212769,1.73551574,1.08742539,ok,1
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,dropB,7,25,585858,585858,0.573750317,0.560351014,0.643040419,0.671741724,0.805149972,0.66204524,0.653486848,0.734997392,0.767159283,0.938800573,0.940997839,0.915036798,1.11549199,1.19790864,1.57711256,0.878198326,0.867752731,0.929778576,0.958721697,1.1381315,1.29101241,1.27113438,1.40274012,1.47239447,1.82388198,4.8759923,4.58141041,6.30744839,7.2995882,13.4816151,1.78328753,1.10728532,ok,0
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,dropC,7,25,565656,565656,0.582224131,0.569766879,0.649615705,0.676412761,0.797761202,0.657797396,0.646550179,0.734781265,0.771366298,0.958463609,0.908652067,0.886315584,1.06193423,1.1381793,1.51622808,0.880550146,0.868769586,0.933903337,0.963622153,1.15754855,1.2688396,1.24951577,1.36178088,1.42471671,1.79316068,4.58767891,4.31523228,5.74797916,6.61128092,12.928894,1.68266977,1.07217515,ok,0
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,dropC,7,25,612720,612720,0.579509735,0.567852378,0.64585942,0.671236694,0.809049606,0.665753663,0.653463662,0.745465457,0.783112109,0.971598804,0.906052113,0.883160353,1.05958235,1.13625479,1.49785471,0.884797513,0.873138189,0.938513339,0.968754888,1.16461146,1.26983261,1.25111079,1.36418903,1.42718387,1.78635097,4.60106611,4.33476257,5.77986002,6.64643002,12.8024263,1.69277812,1.0753545,ok,1
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,dropC,7,25,612720,612720,0.579429507,0.567788839,0.64575386,0.671101451,0.808779836,0.665657163,0.653367996,0.745321155,0.782925606,0.971984506,0.906504691,0.883607388,1.06024098,1.13696039,1.49873412,0.884669363,0.873009205,0.938359857,0.96858114,1.16497445,1.27007091,1.25132716,1.36458683,1.42765427,1.7867595,4.60411263,4.3374567,5.78528261,6.65297365,12.8090487,1.69417066,1.07568649,ok,0
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,dropC,7,25,585858,585858,0.572877944,0.560902238,0.641400993,0.666036963,0.796743035,0.662595272,0.651255846,0.741232038,0.777279496,0.955605686,0.941158295,0.915231168,1.11506176,1.19889355,1.58004475,0.878119826,0.867101789,0.930833876,0.959819555,1.15125704,1.29109597,1.26967239,1.40348721,1.47443068,1.85393798,4.87816715,4.56276703,6.3158493,7.32579613,14.1262007,1.80004056,1.11008953,ok,1
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,dropC,7,25,599720,599720,0.584290326,0.570112586,0.652824163,0.684873641,0.834239244,0.651141465,0.643861234,0.723431528,0.757477164,0.942822993,0.944879711,0.919794202,1.12637985,1.21363699,1.62152851,0.876997292,0.865913749,0.930546641,0.960092127,1.13413966,1.29349077,1.27085209,1.40983748,1.4847275,1.86197245,4.90919924,4.5775032,6.40610838,7.48186302,14.2869701,1.77205972,1.1157316,ok,0
