version,eval_set,strata_type,strata_value,n,err_3d_mm_median,err_3d_mm_p75,err_3d_mm_p95,err_3d_mm_rms,err_3d_mm_max,err_horizontal_mm_median,err_horizontal_mm_p75,err_horizontal_mm_p95,err_horizontal_mm_rms,err_horizontal_mm_max,err_vertical_mm_median,err_vertical_mm_p75,err_vertical_mm_p95,err_vertical_mm_rms,err_vertical_mm_max,pct_ge8_median,distance_to_centroid_median_mm
v1-old,all8,facing,ABEF,6,128.943565,164.179458,354.971132,201.188151,417.30032,25.8742175,32.1615014,41.6518558,28.4180972,44.1395201,127.687283,162.108892,353.40978,199.170991,415.897438,92.0066611,704.465226
v1-old,all8,facing,ADHE,6,190.652025,221.311687,230.810215,189.813619,232.505028,66.0304693,74.1763639,95.2475905,65.8366986,102.262606,175.488137,212.214735,227.559296,178.030164,230.69345,91.3821815,760.862076
v1-old,all8,facing,BCGF,6,130.650416,227.414235,303.627479,187.161179,318.920525,36.0440149,68.857581,76.7852015,50.514355,77.504634,118.783222,223.748321,296.320951,180.215446,309.359553,92.7560366,738.260476
v1-old,all8,facing,CDHG,6,156.725452,226.941834,275.989147,188.070077,291.382545,71.1655016,74.7152542,89.6811895,72.8288472,94.4290216,136.97886,219.435983,267.070004,173.396403,281.447938,92.131557,707.378072
v1-old,all8,facing_height,ABEF/high,2,292.641944,354.971132,404.834483,318.086495,417.30032,30.13414,32.1615014,33.7833904,30.4057095,34.1888627,290.922123,353.40978,403.399907,316.629927,415.897438,91.7985012,726.121779
v1-old,all8,facing_height,ABEF/low,2,128.943565,140.855348,150.384774,131.125914,152.76713,17.062012,21.3655148,24.8083171,19.1100183,25.6690176,127.687283,139.141214,148.304359,129.725913,150.595145,92.125307,838.138963
v1-old,all8,facing_height,ABEF/mid,2,54.3221913,59.4722419,63.5922824,55.2900765,64.6222925,30.9836863,37.5616032,42.8239367,33.6610276,44.1395201,43.7247967,45.461887,46.8515592,43.8626011,47.1989773,93.6684707,328.237092
v1-old,all8,facing_height,ADHE/high,2,216.897598,221.311687,224.842958,217.077186,225.725776,66.0828264,70.1426844,73.3905708,66.5797998,74.2025424,206.272637,212.214735,216.968413,206.614702,218.156833,91.9650291,815.553614
v1-old,all8,facing_height,ADHE/low,2,202.869829,217.687428,229.541508,205.022956,232.505028,51.5326961,62.8152622,71.841315,56.2565903,74.0978282,193.640641,212.167046,226.98817,197.153769,230.69345,91.0907577,895.649575
v1-old,all8,facing_height,ADHE/mid,2,133.34455,150.299961,163.864291,137.588927,167.255373,60.5365837,81.3995951,98.0900042,73.5237305,102.262606,114.994499,123.672621,130.615119,116.296922,132.350743,90.7993339,474.58869
v1-old,all8,facing_height,BCGF/high,2,191.318627,224.533484,251.10537,202.523391,257.748341,18.0467857,18.7077718,19.2365607,18.0951398,19.3687579,190.291495,223.748321,250.513782,201.713385,257.205147,92.7560366,829.923269
v1-old,all8,facing_height,BCGF/low,2,200.369864,259.645194,307.065459,232.813963,318.920525,64.5271226,71.0158783,76.2068828,65.8191868,77.504634,186.448549,247.904051,297.068452,223.316314,309.359553,93.3746135,915.717732
v1-old,all8,facing_height,BCGF/mid,2,85.0248389,110.718379,131.273211,99.3471448,136.411919,47.5826613,61.1047828,71.9224799,54.7311678,74.6269042,70.4141375,92.3013695,109.811155,82.9117269,114.188601,91.7116986,450.644019
v1-old,all8,facing_height,CDHG/high,2,193.246485,242.314515,281.568939,216.736915,291.382545,70.9564298,73.1970615,74.9895668,71.0977964,75.4376932,174.735163,228.091551,270.776661,204.743727,281.447938,93.5886761,735.674374
v1-old,all8,facing_height,CDHG/low,2,224.074715,226.941834,229.235528,224.148075,229.808952,62.0844947,67.316216,71.501593,62.9600517,72.5479372,214.935766,219.435983,223.036156,215.12413,223.936199,90.3413822,839.333821
v1-old,all8,facing_height,CDHG/mid,2,94.3068649,94.3883431,94.4535258,94.3070057,94.4698214,82.1060438,88.2675327,93.1967238,83.0256479,94.4290216,32.9847519,48.0890498,60.1724881,44.7275431,63.1933477,92.9225645,375.332427
