capture_id,source_path,table_kind,grid_mm,mask,version,ID,location,height,facing,mean_x,mean_y,mean_z,gdop,hdop,vdop,cond,radial_p95,pct_ge8,n,vdop_median,vdop_p95,gdop_median,radial_p95_median,pct_ge8_median,n_grid_points,n_finite,n_nan,vdop_p90,hdop_median,cond_p95,with_range_bias,device
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID01,edge,low,ABEF,1339.0175007439827,766.8834986068538,129.2331742499558,1.112868309020996,0.8263576030731201,0.7453917264938354,2.1449925899505615,115.1088534573236,91.75686927560366,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID02,edge,mid,ABEF,1507.0711124056868,716.4300850182786,-868.6103357405455,1.1996190547943115,0.7892095446586609,0.9034568071365356,3.3917744159698486,101.46588053410308,95.67027477102414,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID03,edge,high,ABEF,1491.619118581302,655.9971491365872,-1798.1047371148002,1.1005553007125854,0.8480456471443176,0.7014559507369995,1.9509533643722534,115.56446212698349,92.2564529558701,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID04,edge,low,BCGF,2201.277217666929,1050.5786420763402,295.73289825998944,1.080354928970337,0.8362753391265869,0.6839666366577148,1.6015079021453857,108.77067421221275,93.83846794338052,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID05,edge,mid,BCGF,2240.371048649451,1125.6909974307723,-902.227785676734,1.1574640274047852,0.780273973941803,0.854924201965332,2.654937982559204,92.9528493350123,91.5,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID06,edge,high,BCGF,2214.562607525611,1091.593316936203,-1671.1105257891245,1.0896484851837158,0.8213574290275574,0.7160347104072571,1.7608851194381714,149.01037659410417,92.83930058284764,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID07,edge,low,CDHG,1767.346487139338,1616.57187591758,140.61404512006774,1.1203337907791138,0.8296090364456177,0.7529252767562866,2.261397361755371,142.19247577249772,90.84096586178184,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID08,edge,mid,CDHG,1584.357224519253,1708.1238792672357,-953.384806564461,1.1924395561218262,0.7932041883468628,0.8903590440750122,3.297849655151367,149.6550058641465,90.25811823480431,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID09,edge,high,CDHG,1615.989722214035,1698.2488648858075,-1385.5367770269222,1.155565619468689,0.8132631182670593,0.8209353685379028,2.775951862335205,101.40452454866414,93.42214820982517,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID10,edge,low,ADHE,703.3502828016352,1299.5397297098211,44.516674968173554,1.1125627756118774,0.8045178055763245,0.7684705853462219,2.0701956748962402,89.18581012874685,90.75770191507078,,,,,,,,,,,,,,
28052026_Erlangen_Official,28052026_Erlangen_Official/Analysis/official_extra_analysis/tables/dop_by_facing_group_grid100.csv,dop_by_facing_group_grid100,100.0,all8,v4-io,ID11,edge,mid,ADHE,705.7250145406726,1091.165468050263,-971.8269565202183,1.1568431854248047,0.7794229388237,0.854860246181488,2.58601713180542,82.23537267240161,91.84013322231472,,,,,,,,,,,,,,
