source_group,group_decision,deploy_class,recommendation,reason,layout_id,capture_id,solver_version,layout_variant,source_path,all8_score,drop4_score,score_ratio,worst_drop4_mask,surviving_labels,abs_worst_axis,ratio_worst_axis,xdop_p95,ydop_p95,vdop_p95,xdop_ratio,ydop_ratio,vdop_ratio,surviving_xy_area_ratio,surviving_z_span_ratio
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,组内最好但仍需优化,C,不建议高可靠部署,drop4 高风险，约 17.7x all8；可做分析候选，不适合高可靠冗余。,db81b403f22247cb,28052026_Erlangen_Official,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,0.914917114,16.2194456,17.7277759,dropCDEF,ABGH,Z,Z,0.893513918,11.7504492,18.6298294,1.52028253,17.8926307,19.6902899,0.907545251,0.942591704
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 19.0x all8；可做分析候选，不适合高可靠冗余。,b952c7b1e8e1266a,28052026_Erlangen_Official,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,0.904419119,17.1717186,18.9864613,dropBCEH,ADFG,Z,Z,10.3482389,1.0482527,21.7281361,17.6592052,1.60487171,23.2826035,0.961521881,0.903786816
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 20.1x all8；可做分析候选，不适合高可靠冗余。,a06d00f4a02fdc1a,28052026_Erlangen_Official,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,0.881557155,17.7150105,20.0951355,dropBCEH,ADFG,Z,Z,11.5499735,1.01572883,21.7170372,19.6015723,1.55300753,24.3995448,0.950716023,0.935241992
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 20.1x all8；可做分析候选，不适合高可靠冗余。,0752b3202614dca0,28052026_Erlangen_Official,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,0.881819623,17.729171,20.1052126,dropBCEH,ADFG,Z,Z,11.549799,1.01454198,21.7449474,19.6043757,1.55141487,24.4151426,0.950693709,0.935664631
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,组内最差,C,不建议高可靠部署,drop4 高风险，约 20.3x all8；可做分析候选，不适合高可靠冗余。,48d29ef0f4d28d2d,28052026_Erlangen_Official,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,0.88493651,17.9821184,20.3202356,dropBCEH,ADFG,Z,Z,11.7587709,1.03591669,22.0378399,19.9847176,1.58792995,24.5943335,0.950264944,0.982554674
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,推荐,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,db15409b6d413a3f,28052026_Erlangen_Smoke,v3-full,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,0.961363083,14.4681648,15.0496364,dropBCEH,ADFG,Z,Z,7.39714909,3.24669623,18.77845,12.6030896,4.52274678,18.9895611,0.954728358,0.841695972
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,备选/不优先,B,可用但要降级策略,drop4 进入中等风险，Z 轴会放大；只剩高风险组合时应降低置信度。,6cd2e6cef6adf989,28052026_Erlangen_Smoke,v1-old,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,0.939314559,15.9745827,17.006638,dropBCEH,ADFG,Z,Z,9.24837303,1.63949311,20.3517265,16.0651777,2.41192686,20.8199503,0.935474195,0.94563463
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 18.6x all8；可做分析候选，不适合高可靠冗余。,ebda6c001ec839b2,28052026_Erlangen_Smoke,v2,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,0.927232714,17.2047762,18.5549711,dropADFG,BCEH,Z,Z,10.7907028,1.1763773,21.396677,18.6944848,1.74229422,22.3223292,0.892738114,1
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,备选/不优先,C,不建议高可靠部署,drop4 高风险，约 18.6x all8；可做分析候选，不适合高可靠冗余。,053c46629ed8c389,28052026_Erlangen_Smoke,v3-lite,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,0.927009688,17.2734585,18.6335253,dropADFG,BCEH,Z,Z,10.8205433,1.17282915,21.5005665,18.7485249,1.73733379,22.4395207,0.893839914,1
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,组内最差,C,不建议高可靠部署,drop4 高风险，约 19.2x all8；可做分析候选，不适合高可靠冗余。,d0cb71e52800e4ca,28052026_Erlangen_Smoke,v4-io,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,0.929079802,17.8049654,19.1640862,dropADFG,BCEH,Z,Z,10.9985666,1.12196279,22.3712997,19.1418837,1.66655441,23.2485271,0.882251638,1
