objective,objective_rank,version,layout_id,score_v2_rank,score_v2,objective_score,rank_delta_score_v2_minus_objective
balanced_3d,1,v2,0752b3202614dca0,1,7.700178,2.540253,0
balanced_3d,2,v3-lite,a06d00f4a02fdc1a,2,8.528620,2.977048,0
balanced_3d,3,v4-io,48d29ef0f4d28d2d,3,15.156914,13.593026,0
balanced_3d,4,v3-full,db81b403f22247cb,5,76.005385,51.573580,1
balanced_3d,5,v1-old,b952c7b1e8e1266a,4,65.038094,100.000000,-1
tail_robustness,1,v2,0752b3202614dca0,1,7.700178,0.648008,0
tail_robustness,2,v3-lite,a06d00f4a02fdc1a,2,8.528620,1.120975,0
tail_robustness,3,v4-io,48d29ef0f4d28d2d,3,15.156914,27.607060,0
tail_robustness,4,v3-full,db81b403f22247cb,5,76.005385,52.650498,1
tail_robustness,5,v1-old,b952c7b1e8e1266a,4,65.038094,100.000000,-1
median_field_error,1,v4-io,48d29ef0f4d28d2d,3,15.156914,0.000000,2
median_field_error,2,v2,0752b3202614dca0,1,7.700178,5.485480,-1
median_field_error,3,v3-lite,a06d00f4a02fdc1a,2,8.528620,6.289657,-1
median_field_error,4,v3-full,db81b403f22247cb,5,76.005385,61.416613,1
median_field_error,5,v1-old,b952c7b1e8e1266a,4,65.038094,100.000000,-1
vertical_priority,1,v4-io,48d29ef0f4d28d2d,3,15.156914,2.223482,2
vertical_priority,2,v2,0752b3202614dca0,1,7.700178,4.536054,-1
vertical_priority,3,v3-lite,a06d00f4a02fdc1a,2,8.528620,5.155505,-1
vertical_priority,4,v3-full,db81b403f22247cb,5,76.005385,50.069943,1
vertical_priority,5,v1-old,b952c7b1e8e1266a,4,65.038094,100.000000,-1
