source_group,layout_count,best_robust_layout_id,best_robust_version,best_robust_variant,best_robust_worst_drop_score,best_robust_worst_drop_mask,best_robust_worst_vdop_p95,best_all8_layout_id,best_all8_version,best_all8_variant,best_all8_score,worst_layout_id,worst_version,worst_variant,worst_drop_score,worst_drop_mask
28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,5,a06d00f4a02fdc1a,v3-lite,default,1.0876403,dropH,1.15901804,a06d00f4a02fdc1a,v3-lite,default,0.881557155,db81b403f22247cb,v3-full,default,1.13531051,dropA
28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,5,053c46629ed8c389,v3-lite,default,1.14406821,dropG,1.23750782,053c46629ed8c389,v3-lite,default,0.927009688,db15409b6d413a3f,v3-full,default,1.189417,dropC
Garage_Test/solver/outputs/v1_to_v4_io_field_check,5,83427cf136699830,v1-old,default,1.43137395,dropH,1.72332954,83427cf136699830,v1-old,default,1.11945456,d4b700dfdb554506,v4-io,default,1.51622366,dropH
Garage_test_2/solver/outputs/v1_to_v4_io_field_check,10,41d7fe018de24848,v1-old,us_height,1.39950208,dropF,1.66427994,2eb8a6fdb7b789b6,v1-old,default,1.1007646,0cccbfd84eee33e7,v2,default,1.49424969,dropC
Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,5,9b541380fd15fbb5,v1-old,default,1.39852449,dropA,1.60216069,9b541380fd15fbb5,v1-old,default,1.1052993,c54a70bd62780086,v3-full,default,1.44358788,dropH
Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,10,4aea05fc3e1d10d6,v3-lite,default,1.504816,dropD,1.77547121,be443b0fa3a15759,v1-old,us_height,1.15810118,60af45be2893ac48,v4-io,default,1.53446453,dropG
Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,10,1ce4bc0b1a8b43a9,v3-lite,us_height,1.30601343,dropD,1.47637749,12888496e298b4ec,v3-lite,default,1.00213026,fbb5ac35d7225b7a,v1-old,default,1.38859068,dropD
Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,5,172b3b835dda9c0d,v3-lite,default,1.31697099,dropD,1.48039663,172b3b835dda9c0d,v3-lite,default,1.00669907,2b38dcbd8cbe88a3,v1-old,default,1.39000404,dropD
outdoor_20260513/FULL-COMPARE,5,6b6a0714d7d56ce0,v3-full,default,1.42617422,dropA,1.6333636,6b6a0714d7d56ce0,v3-full,default,1.136178,062a9b97a6d2468b,v2,default,1.4399068,dropG
outdoor_20260513/FULL-COMPARE-1000,9,92f2b5d9018df4df,v3-full,default,1.42617422,dropA,1.6333636,92f2b5d9018df4df,v3-full,default,1.136178,70c3a0630e953979,v2,default,1.4399068,dropG
outdoor_20260513/FULL-COMPARE-500,9,c855e34a218d0254,v4-io-roto,default,1.4280242,dropC,1.6485014,8a83c9a6e6976cc7,v3-full,default,1.1378867,b022bebf946d2d28,v4-io-wand,default,1.44204953,dropG
outdoor_20260513/FULL-COMPARE-500+500,27,bc9f1f5e98797ef6,v3-full,last500_aligned,1.4240886,dropG,1.63138235,c5edcfef2e6ad424,v3-full,first500,1.1378867,cb24f7f5220451ec,v4-io-wand,first500,1.44204953,dropG
outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000,7,a150a9d2469318e1,v3-full,us_height,1.41901876,dropG,1.59487724,a150a9d2469318e1,v3-full,us_height,1.13547984,a4ded69a125be721,v1-old,us_height,1.43692096,dropD
outdoor_v4_20260504/FULL-COMPARE,5,bcd7d23aab9bdac7,v3-full,default,1.36586179,dropF,1.57109571,ee1b62b82f6517d2,v3-lite,default,1.09134959,cef6a189867b2e95,v1,default,1.40773021,dropB
