objective,rank,layout_id,version,score,basis,opti_err_3d_median_mm,opti_err_3d_p95_mm,opti_err_3d_rms_mm,opti_err_horizontal_median_mm,opti_err_vertical_median_mm
balanced_3d,1,0752b3202614dca0,v2,2.540253,opti_err_3d_median_mm|opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,81.49350301644225,233.1077736825216,132.08905070793008,42.6274901098004,68.19865499121704
balanced_3d,2,a06d00f4a02fdc1a,v3-lite,2.977048,opti_err_3d_median_mm|opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,81.69195758364084,233.52603084957047,132.28845672708738,42.8457573862228,68.7795729784018
balanced_3d,3,48d29ef0f4d28d2d,v4-io,13.593026,opti_err_3d_median_mm|opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,77.38103805352323,270.2552828594085,136.5028285215412,42.129657905593746,63.12141492353828
balanced_3d,4,db81b403f22247cb,v3-full,51.573580,opti_err_3d_median_mm|opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,121.05623396766201,280.0735010456271,158.98876953960595,51.27212549299621,103.99736096295487
balanced_3d,5,b952c7b1e8e1266a,v1-old,100.000000,opti_err_3d_median_mm|opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,160.01125176029524,314.7898277297456,191.64129425669003,51.58533171490821,141.4729439113985
tail_robustness,1,0752b3202614dca0,v2,0.648008,opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,81.49350301644225,233.1077736825216,132.08905070793008,42.6274901098004,68.19865499121704
tail_robustness,2,a06d00f4a02fdc1a,v3-lite,1.120975,opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,81.69195758364084,233.52603084957047,132.28845672708738,42.8457573862228,68.7795729784018
tail_robustness,3,48d29ef0f4d28d2d,v4-io,27.607060,opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,77.38103805352323,270.2552828594085,136.5028285215412,42.129657905593746,63.12141492353828
tail_robustness,4,db81b403f22247cb,v3-full,52.650498,opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,121.05623396766201,280.0735010456271,158.98876953960595,51.27212549299621,103.99736096295487
tail_robustness,5,b952c7b1e8e1266a,v1-old,100.000000,opti_err_3d_p95_mm|opti_err_3d_rms_mm|opti_err_vertical_median_mm,160.01125176029524,314.7898277297456,191.64129425669003,51.58533171490821,141.4729439113985
median_field_error,1,48d29ef0f4d28d2d,v4-io,0.000000,opti_err_3d_median_mm|opti_err_horizontal_median_mm|opti_err_vertical_median_mm,77.38103805352323,270.2552828594085,136.5028285215412,42.129657905593746,63.12141492353828
median_field_error,2,0752b3202614dca0,v2,5.485480,opti_err_3d_median_mm|opti_err_horizontal_median_mm|opti_err_vertical_median_mm,81.49350301644225,233.1077736825216,132.08905070793008,42.6274901098004,68.19865499121704
median_field_error,3,a06d00f4a02fdc1a,v3-lite,6.289657,opti_err_3d_median_mm|opti_err_horizontal_median_mm|opti_err_vertical_median_mm,81.69195758364084,233.52603084957047,132.28845672708738,42.8457573862228,68.7795729784018
median_field_error,4,db81b403f22247cb,v3-full,61.416613,opti_err_3d_median_mm|opti_err_horizontal_median_mm|opti_err_vertical_median_mm,121.05623396766201,280.0735010456271,158.98876953960595,51.27212549299621,103.99736096295487
median_field_error,5,b952c7b1e8e1266a,v1-old,100.000000,opti_err_3d_median_mm|opti_err_horizontal_median_mm|opti_err_vertical_median_mm,160.01125176029524,314.7898277297456,191.64129425669003,51.58533171490821,141.4729439113985
vertical_priority,1,48d29ef0f4d28d2d,v4-io,2.223482,opti_err_vertical_median_mm|opti_err_3d_rms_mm,77.38103805352323,270.2552828594085,136.5028285215412,42.129657905593746,63.12141492353828
vertical_priority,2,0752b3202614dca0,v2,4.536054,opti_err_vertical_median_mm|opti_err_3d_rms_mm,81.49350301644225,233.1077736825216,132.08905070793008,42.6274901098004,68.19865499121704
vertical_priority,3,a06d00f4a02fdc1a,v3-lite,5.155505,opti_err_vertical_median_mm|opti_err_3d_rms_mm,81.69195758364084,233.52603084957047,132.28845672708738,42.8457573862228,68.7795729784018
vertical_priority,4,db81b403f22247cb,v3-full,50.069943,opti_err_vertical_median_mm|opti_err_3d_rms_mm,121.05623396766201,280.0735010456271,158.98876953960595,51.27212549299621,103.99736096295487
vertical_priority,5,b952c7b1e8e1266a,v1-old,100.000000,opti_err_vertical_median_mm|opti_err_3d_rms_mm,160.01125176029524,314.7898277297456,191.64129425669003,51.58533171490821,141.4729439113985
