layout_id,capture_id,source_group,solver_version,layout_variant,source_path,worst_drop4_mask,dropped_labels,surviving_labels,risk_level,all8_score,drop4_score,score_ratio,abs_worst_axis,ratio_worst_axis,drop4_xdop_p95,drop4_ydop_p95,drop4_vdop_p95,xdop_ratio,ydop_ratio,vdop_ratio,drop4_hdop_p95,drop4_gdop_p95,drop4_axis_imbalance_p95,all_x_span_mm,all_y_span_mm,all_z_span_mm,all_xy_hull_area_m2,surviving_x_span_mm,surviving_y_span_mm,surviving_z_span_mm,surviving_xy_hull_area_m2,surviving_x_span_ratio,surviving_y_span_ratio,surviving_z_span_ratio,surviving_xy_area_ratio
005cce9f0f9294fe,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io-td,consensus,outdoor_20260513/FULL-COMPARE-500+500/v4-io-td/layout_consensus.json,dropABGH,ABGH,CDEF,critical,1.14932485,20.3037158,17.6657764,Z,Z,1.10237432,9.10160351,28.6389294,1.56321462,16.7080852,21.998544,9.15115547,30.0662613,25.9793148,3168.63218,4774.59553,1748.18272,14.3610054,3064.13592,4752.6635,1518.07662,13.3345559,0.96702165,0.995406516,0.86837411,0.928525232
053c46629ed8c389,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,dropADFG,ADFG,BCEH,high,0.927009688,17.2734585,18.6335253,Z,Z,10.8205433,1.17282915,21.5005665,18.7485249,1.73733379,22.4395207,10.8768167,24.0993748,18.3322238,3460.50166,2681.81401,1750.62233,8.59865445,3460.50166,2571.42649,1750.62233,7.68582056,1,0.958838487,1,0.893839914
062a9b97a6d2468b,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v2,default,outdoor_20260513/FULL-COMPARE/v2/layout.json,dropABGH,ABGH,CDEF,high,1.14148369,19.4927523,17.0766805,Z,Z,1.10505426,8.86355782,27.3150692,1.57164258,16.2517611,21.1509653,8.91985798,28.738905,24.7183059,3194.39165,4765.2243,1796.2519,14.5690376,3098.55708,4750.93034,1569.09901,13.5308715,0.969999115,0.99700036,0.873540624,0.92874161
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,dropBCEH,BCEH,ADFG,high,0.881819623,17.729171,20.1052126,Z,Z,11.549799,1.01454198,21.7449474,19.6043757,1.55141487,24.4151426,11.5804882,24.6284771,21.4332652,2925.51738,2462.90606,1660.89508,7.01869402,2924.03536,2371.85747,1554.04078,6.67262826,0.999493417,0.96303205,0.935664631,0.950693709
0cccbfd84eee33e7,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v2,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,dropBDFH,BDFH,ACEG,acceptable,1.16428576,11.3219191,9.72434731,Y,Y,10.5164566,12.9646626,2.73857093,17.9930851,20.4862971,2.00716059,16.6961842,16.8656464,4.73409778,5314.12414,4354.70463,2301.74716,21.9637646,5314.12414,4229.9181,1730.47101,0.979218377,1,0.971344435,0.751807601,0.0445833578
0d3513b55bcb0d9e,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,dropCDEF,CDEF,ABGH,medium,1.16085083,13.5442878,11.6675523,Z,Z,1.18949735,5.00478077,19.2683678,1.67834744,8.93954716,14.6428253,5.13850117,19.9414406,16.1987479,3985.58537,5207.60497,2472.45421,17.6482896,3898.83367,5207.60497,1461.43523,17.3747578,0.978233634,1,0.591086874,0.984500943
0f1588574545642e,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v1-old,last500_aligned,outdoor_20260513/FULL-COMPARE-500+500/v1-old/layout_last500_aligned.json,dropCDEF,CDEF,ABGH,high,1.14122159,18.5151,16.2239307,Z,Z,1.14980316,8.10054779,26.0973873,1.63015181,14.8449677,20.2426139,8.1746521,27.3434849,22.6972652,3177.52677,4777.39318,1788.13307,14.4421877,2991.57244,4735.50686,1529.49865,13.8590075,0.941478281,0.99123239,0.855360642,0.959619674
10ae58e5b7260ee2,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v4,default,outdoor_20260513/FULL-COMPARE/v4/layout.json,dropABGH,ABGH,CDEF,critical,1.14930654,20.4098492,17.7584034,Z,Z,1.09847319,9.1283741,28.8115444,1.55795918,16.7558097,22.1308172,9.17732811,30.2466564,26.2287188,3167.24855,4775.80225,1744.35668,14.3579245,3060.44784,4754.14475,1512.34255,13.3420027,0.966279653,0.99546516,0.866991581,0.929243128
12888496e298b4ec,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,dropCDEF,CDEF,ABGH,high,1.00213026,16.6642346,16.6288109,Z,Z,1.12226641,8.97907734,21.9365292,1.61864917,15.6235543,20.3766683,9.02850533,23.7228527,19.5466325,3454.92314,4307.58299,2147.59308,11.8800123,3408.62815,4307.58299,1774.89055,11.7477103,0.986600284,1,0.826455707,0.988863482
136815cfeded6aa0,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v1-old,default,outdoor_20260513/FULL-COMPARE-1000/v1-old/layout.json,dropCDEF,CDEF,ABGH,high,1.14239013,17.8781821,15.6498044,Z,Z,1.13640285,7.779531,25.1660538,1.61122438,14.2615365,19.4924999,7.85730934,26.3598976,22.1453632,3175.54394,4779.68678,1783.4088,14.4327174,2988.37233,4739.3494,1523.12961,13.8645336,0.941058412,0.991560665,0.854055231,0.960632234
15baddb603d871a2,Garage_test_nah_2,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,v2,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,dropABGH,ABGH,CDEF,medium,1.1359178,14.1371034,12.4455338,Z,Z,1.20973718,8.0291872,17.9459076,2.19674934,11.3792092,14.0185969,8.1207943,19.6991768,14.8345507,5091.33759,3400.78398,2055.95893,16.4009923,4956.94236,3400.78398,1694.17886,15.879371,0.973603158,1,0.824033417,0.968195744
172b3b835dda9c0d,Outdoor_LOS_3,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,dropCDEF,CDEF,ABGH,high,1.00669907,16.7738951,16.6622734,Z,Z,1.12205505,8.98575497,22.1379929,1.61628081,15.6644582,20.4309913,9.0347929,23.9107018,19.7298633,3433.83046,4299.24994,2121.00874,11.7867131,3395.37097,4299.24994,1759.20119,11.6866162,0.988799826,1,0.829417228,0.991507646
