level,capture_id,eval_set,grid_mm,x_feature,y_error,n,pearson_r,spearman_r,x_min,x_max,y_min,y_max
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_rms_mm,opti_err_3d_median_mm,5,0.797426,0.800000,48.1688,102.497,77.381,160.011
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_rms_mm,opti_err_3d_p95_mm,5,0.676608,0.500000,48.1688,102.497,233.108,314.79
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_rms_mm,opti_err_3d_rms_mm,5,0.742184,0.500000,48.1688,102.497,132.089,191.641
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_rms_mm,opti_err_vertical_median_mm,5,0.790126,0.800000,48.1688,102.497,63.1214,141.473
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_p95_mm,opti_err_3d_median_mm,5,0.707745,0.600000,87.2361,258.595,77.381,160.011
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_p95_mm,opti_err_3d_p95_mm,5,0.684413,0.900000,87.2361,258.595,233.108,314.79
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_p95_mm,opti_err_3d_rms_mm,5,0.668102,0.900000,87.2361,258.595,132.089,191.641
layout,28052026_Erlangen_Official,all8,,layout_eval_autopos_p95_mm,opti_err_vertical_median_mm,5,0.696194,0.600000,87.2361,258.595,63.1214,141.473
layout,28052026_Erlangen_Official,all8,,layout_eval_static_p95_mm,opti_err_3d_median_mm,5,0.900227,0.900000,88.1989,95.0863,77.381,160.011
layout,28052026_Erlangen_Official,all8,,layout_eval_static_p95_mm,opti_err_3d_p95_mm,5,0.741822,0.600000,88.1989,95.0863,233.108,314.79
layout,28052026_Erlangen_Official,all8,,layout_eval_static_p95_mm,opti_err_3d_rms_mm,5,0.850472,0.600000,88.1989,95.0863,132.089,191.641
layout,28052026_Erlangen_Official,all8,,layout_eval_static_p95_mm,opti_err_vertical_median_mm,5,0.896318,0.900000,88.1989,95.0863,63.1214,141.473
layout,28052026_Erlangen_Official,all8,,layout_eval_roto_abs_deltaR_p95_mm,opti_err_3d_median_mm,5,0.981783,0.700000,39.8498,59.8781,77.381,160.011
layout,28052026_Erlangen_Official,all8,,layout_eval_roto_abs_deltaR_p95_mm,opti_err_3d_p95_mm,5,0.942041,1.000000,39.8498,59.8781,233.108,314.79
layout,28052026_Erlangen_Official,all8,,layout_eval_roto_abs_deltaR_p95_mm,opti_err_3d_rms_mm,5,0.986388,1.000000,39.8498,59.8781,132.089,191.641
layout,28052026_Erlangen_Official,all8,,layout_eval_roto_abs_deltaR_p95_mm,opti_err_vertical_median_mm,5,0.977515,0.700000,39.8498,59.8781,63.1214,141.473
layout,28052026_Erlangen_Official,all8,,xy_hull_coverage_ratio,opti_err_3d_median_mm,5,-0.341797,-0.200000,0.894961,0.974105,77.381,160.011
layout,28052026_Erlangen_Official,all8,,xy_hull_coverage_ratio,opti_err_3d_p95_mm,5,-0.364025,-0.700000,0.894961,0.974105,233.108,314.79
layout,28052026_Erlangen_Official,all8,,xy_hull_coverage_ratio,opti_err_3d_rms_mm,5,-0.289154,-0.700000,0.894961,0.974105,132.089,191.641
layout,28052026_Erlangen_Official,all8,,xy_hull_coverage_ratio,opti_err_vertical_median_mm,5,-0.327221,-0.200000,0.894961,0.974105,63.1214,141.473
layout,28052026_Erlangen_Official,all8,,z_span_mm,opti_err_3d_median_mm,5,-0.333512,-0.100000,1536.15,1663.02,77.381,160.011
layout,28052026_Erlangen_Official,all8,,z_span_mm,opti_err_3d_p95_mm,5,-0.642498,-0.600000,1536.15,1663.02,233.108,314.79
layout,28052026_Erlangen_Official,all8,,z_span_mm,opti_err_3d_rms_mm,5,-0.374295,-0.600000,1536.15,1663.02,132.089,191.641
layout,28052026_Erlangen_Official,all8,,z_span_mm,opti_err_vertical_median_mm,5,-0.313027,-0.100000,1536.15,1663.02,63.1214,141.473
