layout_id,group_rank,score_group,capture_id,source_group,solver_version,solver_family,layout_variant,final_score,eval_score,geometry_score,split_stability_score,score_confidence,score_basis,top_reason,eval_autopos_rms_mm,eval_autopos_p95_mm,eval_static_p95_mm,eval_roto_abs_deltaR_p95_mm,eval_roto_turn_center_p95_mm,extra_split_align_rms_mm,xy_hull_coverage_ratio,nearest_neighbor_min_mm,z_span_mm,risk_flags,source_path
21d850e593ebb432,1,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io-roto,v4-io,default,22.606010,23.009,16.826,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=57.9mm; static_p95=71.9mm; roto_p95=45.4mm,57.9149191,134.073263,71.8738237,45.3576453,25.8968284,,0.9637196775020843,1436.6687835131777,1702.6650844708518,,outdoor_20260513/FULL-COMPARE-1000/v4-io-roto/layout.json
70c3a0630e953979,2,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v2,v2,default,28.104912,29.691,5.374,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=40.4mm; static_p95=71.0mm; roto_p95=50.7mm,40.4289375,80.3576021,71.042493,50.7005465,28.1273342,,0.9571044928303158,1435.2111102054596,1796.2518998692299,,outdoor_20260513/FULL-COMPARE-1000/v2/layout.json
4007f54f3d3bcdd3,3,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v3-lite,v3-lite,default,28.528452,30.242,3.970,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=40.8mm; static_p95=70.9mm; roto_p95=50.7mm,40.8239542,82.0058953,70.9136691,50.7465741,28.1313539,,0.9566723270156186,1437.1505743315051,1802.2660066282378,,outdoor_20260513/FULL-COMPARE-1000/v3-lite/layout.json
2b2f48a609fa2cd5,4,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io-wand,v4-io,default,33.914401,35.723,7.988,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.2mm; static_p95=77.3mm; roto_p95=49.8mm,44.2393043,87.6019002,77.3012852,49.7562002,28.6258351,,0.9585327720409912,1430.961911156482,1784.2237147849132,,outdoor_20260513/FULL-COMPARE-1000/v4-io-wand/layout.json
ce0b54400ac800cc,5,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io-td,v4-io,default,40.036644,41.199,23.381,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.3mm; static_p95=82.8mm; roto_p95=49.1mm,44.3361751,87.7498151,82.8099768,49.143585,28.3438131,,0.9492119218988655,1420.465485663933,1744.356678663388,,outdoor_20260513/FULL-COMPARE-1000/v4-io-td/layout.json
5cfb884f33a3b279,6,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v4-io,v4-io,default,45.463714,47.004,23.381,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.3mm; static_p95=81.6mm; roto_p95=50.5mm,44.3361751,87.7498151,81.6471027,50.5072355,28.9422552,,0.9492119218988655,1420.465485663933,1744.356678663388,,outdoor_20260513/FULL-COMPARE-1000/v4-io/layout.json
fff6325ba01f2d73,7,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v5,v5,default,45.463714,47.004,23.381,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=44.3mm; static_p95=81.6mm; roto_p95=50.5mm,44.3361751,87.7498151,81.6471027,50.5072355,28.9422552,,0.9492119218988655,1420.465485663933,1744.356678663388,,outdoor_20260513/FULL-COMPARE-1000/v5/layout.json
136815cfeded6aa0,8,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v1-old,v1-old,default,76.357921,80.758,13.285,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=64.2mm; static_p95=79.5mm; roto_p95=54.2mm,64.2323233,143.919231,79.5185437,54.1502159,30.142928,,0.9508905799094585,1428.372586208594,1783.4087950984672,,outdoor_20260513/FULL-COMPARE-1000/v1-old/layout.json
92f2b5d9018df4df,9,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v3-full,v3-full,default,81.148179,80.327,92.923,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=66.4mm; static_p95=84.1mm; roto_p95=48.4mm,66.4152128,182.57071,84.0680539,48.3657104,30.6068817,,0.8749558830461146,1336.3742314776084,1744.9581585004594,,outdoor_20260513/FULL-COMPARE-1000/v3-full/layout.json
c855e34a218d0254,1,outdoor_20260513/FULL-COMPARE-500,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500,v4-io-roto,v4-io,default,24.064608,24.581,16.667,,evaluation_matched,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|z_span_mm,autopos_rms=56.9mm; static_p95=74.5mm; roto_p95=46.0mm,56.8891195,131.801438,74.4833828,46.0374134,27.4618199,,0.9643587665378028,1448.448536435969,1707.3462800505408,,outdoor_20260513/FULL-COMPARE-500/v4-io-roto/layout.json
