level,capture_id,version,eval_set,grid_mm,x_feature,y_error,n,pearson_r,spearman_r,x_min,x_max,y_min,y_max
session,28052026_Erlangen_Official,v4-io,all8,100.0,gdop,err_3d_mm,24,-0.656751,-0.759645,1.08035,1.19973,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,gdop,err_horizontal_mm,24,-0.177163,-0.139464,1.08035,1.19973,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,gdop,err_vertical_mm,24,-0.660000,-0.739161,1.08035,1.19973,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,100.0,hdop,err_3d_mm,24,0.742163,0.617566,0.779423,0.848046,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,hdop,err_horizontal_mm,24,-0.002441,-0.038353,0.779423,0.848046,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,hdop,err_vertical_mm,24,0.773324,0.676402,0.779423,0.848046,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,100.0,vdop,err_3d_mm,24,-0.716895,-0.736982,0.683967,0.907871,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,vdop,err_horizontal_mm,24,-0.131242,-0.092395,0.683967,0.907871,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,vdop,err_vertical_mm,24,-0.728443,-0.725215,0.683967,0.907871,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,100.0,cond,err_3d_mm,24,-0.663868,-0.774463,1.60151,3.39177,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,cond,err_horizontal_mm,24,-0.213609,-0.176945,1.60151,3.39177,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,cond,err_vertical_mm,24,-0.658612,-0.742648,1.60151,3.39177,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,100.0,dop_radial_p95_mm,err_3d_mm,24,0.366634,0.600000,70.247,217.462,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,dop_radial_p95_mm,err_horizontal_mm,24,0.073245,0.106087,70.247,217.462,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,dop_radial_p95_mm,err_vertical_mm,24,0.376874,0.548696,70.247,217.462,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,100.0,pct_ge8,err_3d_mm,24,0.024037,-0.100457,89.7585,95.6703,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,pct_ge8,err_horizontal_mm,24,-0.031251,-0.086975,89.7585,95.6703,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,pct_ge8,err_vertical_mm,24,0.039555,-0.036095,89.7585,95.6703,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,100.0,distance_to_array_centroid_mm,err_3d_mm,24,0.509860,0.557391,182.354,1059.6,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,100.0,distance_to_array_centroid_mm,err_horizontal_mm,24,0.365626,0.326087,182.354,1059.6,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,100.0,distance_to_array_centroid_mm,err_vertical_mm,24,0.457046,0.459130,182.354,1059.6,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,gdop,err_3d_mm,72,0.117566,-0.255408,1.08043,1.57478,22.0543,369.568
session,28052026_Erlangen_Official,v4-io,all8,25.0,gdop,err_horizontal_mm,72,-0.013134,-0.072518,1.08043,1.57478,3.89039,97.5829
session,28052026_Erlangen_Official,v4-io,all8,25.0,gdop,err_vertical_mm,72,0.126398,-0.226825,1.08043,1.57478,5.591,368.282
session,28052026_Erlangen_Official,v4-io,all8,25.0,hdop,err_3d_mm,72,0.719640,0.615296,0.779092,0.873742,22.0543,369.568
