layout_id,capture_id,source_group,solver_version,layout_variant,source_path,all8_score,all8_xdop_p95,all8_ydop_p95,all8_vdop_p95,all8_gdop_p95,drop1_mask_count,drop1_worst_score_mask,drop1_worst_score_dropped,drop1_worst_score,drop1_worst_score_vdop_p95,drop1_worst_score_gdop_p95,drop1_worst_vdop_mask,drop1_worst_vdop_dropped,drop1_worst_vdop_p95,drop1_score_ratio_vs_all8,drop1_vdop_ratio_vs_all8,drop2_mask_count,drop2_worst_score_mask,drop2_worst_score_dropped,drop2_worst_score,drop2_worst_score_vdop_p95,drop2_worst_score_gdop_p95,drop2_worst_vdop_mask,drop2_worst_vdop_dropped,drop2_worst_vdop_p95,drop2_score_ratio_vs_all8,drop2_vdop_ratio_vs_all8,drop3_mask_count,drop3_worst_score_mask,drop3_worst_score_dropped,drop3_worst_score,drop3_worst_score_vdop_p95,drop3_worst_score_gdop_p95,drop3_worst_vdop_mask,drop3_worst_vdop_dropped,drop3_worst_vdop_p95,drop3_score_ratio_vs_all8,drop3_vdop_ratio_vs_all8,drop4_mask_count,drop4_worst_score_mask,drop4_worst_score_dropped,drop4_worst_score,drop4_worst_score_vdop_p95,drop4_worst_score_gdop_p95,drop4_worst_vdop_mask,drop4_worst_vdop_dropped,drop4_worst_vdop_p95,drop4_score_ratio_vs_all8,drop4_vdop_ratio_vs_all8
005cce9f0f9294fe,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io-td,consensus,outdoor_20260513/FULL-COMPARE-500+500/v4-io-td/layout_consensus.json,1.14932485,0.705197036,0.544742465,1.30185568,1.53277981,8,dropG,G,1.43931205,1.67025495,1.88283193,dropG,G,1.67025495,1.25231091,1.28298011,28,dropCD,CD,2.1242555,2.56763363,2.7702136,dropCD,CD,2.56763363,1.84826379,1.97228746,56,dropADG,ADG,3.15681597,3.4883647,3.90733886,dropADG,ADG,3.4883647,2.7466699,2.67953257,70,dropABGH,ABGH,20.3037158,28.6389294,30.0662613,dropABGH,ABGH,28.6389294,17.6657764,21.998544
053c46629ed8c389,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,0.927009688,0.577141047,0.67507416,0.958156228,1.24840581,8,dropG,G,1.14406821,1.22563851,1.50410008,dropH,H,1.23750782,1.23414914,1.29155119,28,dropAD,AD,1.54711582,1.78896308,2.05271769,dropBC,BC,1.79661608,1.66893166,1.87507635,56,dropCDF,CDF,2.30574266,2.35874939,2.93017793,dropAGH,AGH,2.44353056,2.48729079,2.55024232,70,dropADFG,ADFG,17.2734585,21.5005665,24.0993748,dropBCEH,BCEH,21.7799664,18.6335253,22.7311223
062a9b97a6d2468b,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v2,default,outdoor_20260513/FULL-COMPARE/v2/layout.json,1.14148369,0.703120589,0.545390606,1.29143369,1.52304912,8,dropG,G,1.4399068,1.67564833,1.88654315,dropG,G,1.67564833,1.26143441,1.29751016,28,dropCD,CD,2.10664554,2.54530597,2.74856925,dropCD,CD,2.54530597,1.84553276,1.97091495,56,dropADG,ADG,3.15237241,3.50151777,3.90876794,dropADG,ADG,3.50151777,2.76164472,2.71134151,70,dropABGH,ABGH,19.4927523,27.3150692,28.738905,dropABGH,ABGH,27.3150692,17.0766805,21.1509653
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,0.881819623,0.589143932,0.65394628,0.890633643,1.19297552,8,dropH,H,1.08788985,1.15944719,1.4413991,dropH,H,1.15944719,1.2336875,1.30182281,28,dropBC,BC,1.43096806,1.64241648,1.90785182,dropBC,BC,1.64241648,1.62274463,1.84409885,56,dropCDF,CDF,2.10918907,2.1827004,2.71467519,dropBCH,BCH,2.28852105,2.39185998,2.56954256,70,dropBCEH,BCEH,17.729171,21.7449474,24.6284771,dropBCEH,BCEH,21.7449474,20.1052126,24.4151426
0cccbfd84eee33e7,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v2,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.16428576,0.58447212,0.632845581,1.36440051,1.56129086,8,dropC,C,1.49424969,1.80069017,1.98889875,dropH,H,1.81268764,1.28340459,1.32855978,28,dropAD,AD,2.12338786,2.56335402,2.79046631,dropEH,EH,2.60019445,1.82376864,1.90574134,56,dropADF,ADF,3.20496016,3.66313982,4.02944565,dropABH,ABH,3.85640049,2.75272641,2.82644316,70,dropBDFH,BDFH,11.3219191,2.73857093,16.8656464,dropABGH,ABGH,14.7662039,9.72434731,10.8224849
0d3513b55bcb0d9e,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.16085083,0.708731294,0.559847236,1.31589139,1.53965008,8,dropD,D,1.52673168,1.79163837,1.97808802,dropD,D,1.79163837,1.31518335,1.3615397,28,dropCD,CD,2.10739428,2.55858135,2.73729849,dropCD,CD,2.55858135,1.81538767,1.94437122,56,dropADG,ADG,3.43008988,3.90808177,4.24676085,dropADG,ADG,3.90808177,2.95480676,2.96991211,70,dropCDEF,CDEF,13.5442878,19.2683678,19.9414406,dropCDEF,CDEF,19.2683678,11.6675523,14.6428253
0f1588574545642e,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v1-old,last500_aligned,outdoor_20260513/FULL-COMPARE-500+500/v1-old/layout_last500_aligned.json,1.14122159,0.705335021,0.545676351,1.28923011,1.5221442,8,dropD,D,1.43528006,1.66375351,1.87375975,dropD,D,1.66375351,1.25766991,1.29050159,28,dropGH,GH,2.08551908,2.51864982,2.72603679,dropGH,GH,2.51864982,1.82744447,1.95360766,56,dropADG,ADG,3.1808437,3.53867221,3.94373417,dropADG,ADG,3.53867221,2.78722706,2.74479488,70,dropCDEF,CDEF,18.5151,26.0973873,27.3434849,dropCDEF,CDEF,26.0973873,16.2239307,20.2426139
10ae58e5b7260ee2,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v4,default,outdoor_20260513/FULL-COMPARE/v4/layout.json,1.14930654,0.705071867,0.544788599,1.3018744,1.53275955,8,dropG,G,1.43866984,1.66920149,1.88189185,dropG,G,1.66920149,1.25177208,1.28215248,28,dropCD,CD,2.12399466,2.56709576,2.77013707,dropCD,CD,2.56709576,1.84806628,1.97184595,56,dropADG,ADG,3.15806354,3.48762894,3.90768719,dropADG,ADG,3.48762894,2.74779916,2.67892889,70,dropABGH,ABGH,20.4098492,28.8115444,30.2466564,dropABGH,ABGH,28.8115444,17.7584034,22.1308172
12888496e298b4ec,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.00213026,0.693335176,0.574714124,1.07655132,1.34096587,8,dropD,D,1.31067653,1.47096944,1.72347248,dropD,D,1.47096944,1.30789038,1.36637187,28,dropCD,CD,1.85414339,2.19879293,2.42840052,dropCD,CD,2.19879293,1.85020198,2.04244135,56,dropADF,ADF,2.67639406,2.86362267,3.36132956,dropEGH,EGH,3.02861571,2.67070476,2.81325716,70,dropCDEF,CDEF,16.6642346,21.9365292,23.7228527,dropCDEF,CDEF,21.9365292,16.6288109,20.3766683
136815cfeded6aa0,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v1-old,default,outdoor_20260513/FULL-COMPARE-1000/v1-old/layout.json,1.14239013,0.705303907,0.545490384,1.29106343,1.52376091,8,dropD,D,1.43522703,1.66381884,1.87380934,dropD,D,1.66381884,1.25633704,1.28871967,28,dropGH,GH,2.08752127,2.52141476,2.72809911,dropGH,GH,2.52141476,1.82732782,1.95297512,56,dropADG,ADG,3.18092997,3.53570294,3.94269085,dropADG,ADG,3.53570294,2.78445155,2.73859739,70,dropCDEF,CDEF,17.8781821,25.1660538,26.3598976,dropCDEF,CDEF,25.1660538,15.6498044,19.4924999
15baddb603d871a2,Garage_test_nah_2,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check,v2,default,Garage_test_nah_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.1359178,0.550694227,0.705601513,1.28015006,1.51304245,8,dropH,H,1.42623953,1.667099,1.86726737,dropH,H,1.667099,1.2555834,1.30226842,28,dropAD,AD,2.09168334,2.50269294,2.73267436,dropEH,EH,2.54082251,1.84140379,1.9847849,56,dropABH,ABH,3.10943806,3.517694,3.87791324,dropABH,ABH,3.517694,2.73737947,2.74787629,70,dropABGH,ABGH,14.1371034,17.9459076,19.6991768,dropBCEH,BCEH,18.2882385,12.4455338,14.2860115
172b3b835dda9c0d,Outdoor_LOS_3,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Outdoor_LOS_3/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.00669907,0.694220364,0.573639691,1.08354962,1.34678626,8,dropD,D,1.31697099,1.48039663,1.73144579,dropD,D,1.48039663,1.30820722,1.3662472,28,dropCD,CD,1.86926849,2.21877384,2.44688535,dropCD,CD,2.21877384,1.85682946,2.04769011,56,dropBEH,BEH,2.69072329,2.90237069,3.38625312,dropEGH,EGH,3.02865911,2.6728179,2.79512729,70,dropCDEF,CDEF,16.7738951,22.1379929,23.9107018,dropCDEF,CDEF,22.1379929,16.6622734,20.4309913
175c6752d9dd2ac4,outdoor_20260513,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000,v4-io-roto,us_height,outdoor_20260513/reports/us_height_alignment_from_fgh_20260523/FULL-COMPARE-1000/v4-io-roto/layout_us_height.json,1.14962839,0.705587268,0.543359101,1.30122268,1.53296864,8,dropC,C,1.42688972,1.64886773,1.86445224,dropC,C,1.64886773,1.24117474,1.26716799,28,dropGH,GH,2.1321075,2.57695985,2.78495288,dropGH,GH,2.57695985,1.85460582,1.98041418,56,dropADG,ADG,3.06982957,3.23836303,3.77250099,dropBCH,BCH,3.33408976,2.67027989,2.56227455,70,dropADFG,ADFG,22.353435,27.3376999,31.2961044,dropADFG,ADFG,27.3376999,19.4440527,21.0092402
1af0932d019d6010,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v4-io,us_height,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v4-io/layout_us_height.json,1.18658631,0.680062413,0.554156721,1.37212813,1.58293641,8,dropD,D,1.53039771,1.79799831,1.99782979,dropC,C,1.79916835,1.28974833,1.31122474,28,dropCD,CD,2.24039746,2.74237299,2.91184735,dropCD,CD,2.74237299,1.88810324,1.99862748,56,dropADG,ADG,3.45843457,3.79866862,4.22875595,dropADG,ADG,3.79866862,2.91460852,2.76845036,70,dropBCEH,BCEH,20.8124012,27.4505062,29.8754444,dropBCEH,BCEH,27.4505062,17.5397281,20.0057893
1ce4bc0b1a8b43a9,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,us_height,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout_us_height.json,1.00670747,0.70230633,0.579716146,1.07698429,1.34179616,8,dropD,D,1.30601343,1.47637749,1.70750189,dropD,D,1.47637749,1.29731175,1.37084404,28,dropGH,GH,1.86157932,2.18747854,2.45431662,dropGH,GH,2.18747854,1.84917603,2.03111462,56,dropBEH,BEH,2.71638612,2.79946184,3.39107227,dropEGH,EGH,3.06273794,2.69828744,2.8438093,70,dropCDEF,CDEF,15.9728219,21.4890671,22.9470901,dropCDEF,CDEF,21.4890671,15.8663985,19.9529996
1e9a31611a4bc5c2,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io,consensus,outdoor_20260513/FULL-COMPARE-500+500/v4-io/layout_consensus.json,1.14932485,0.705197036,0.544742465,1.30185568,1.53277981,8,dropG,G,1.43931205,1.67025495,1.88283193,dropG,G,1.67025495,1.25231091,1.28298011,28,dropCD,CD,2.1242555,2.56763363,2.7702136,dropCD,CD,2.56763363,1.84826379,1.97228746,56,dropADG,ADG,3.15681597,3.4883647,3.90733886,dropADG,ADG,3.4883647,2.7466699,2.67953257,70,dropABGH,ABGH,20.3037158,28.6389294,30.0662613,dropABGH,ABGH,28.6389294,17.6657764,21.998544
