version,eval_set,grid_mm,strata_type,strata_value,x_feature,y_error,n,pearson_r,spearman_r,x_min,x_max,y_min,y_max
v4-io,all8,100.0,facing,ABEF,gdop,err_3d_mm,6,-0.521245,-0.600000,1.10056,1.19973,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,gdop,err_horizontal_mm,6,0.103987,-0.085714,1.10056,1.19973,22.8236,34.4918
v4-io,all8,100.0,facing,ABEF,gdop,err_vertical_mm,6,-0.529879,-0.714286,1.10056,1.19973,41.0296,368.282
v4-io,all8,100.0,facing,ABEF,hdop,err_3d_mm,6,0.795517,0.600000,0.784291,0.848046,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,hdop,err_horizontal_mm,6,0.173128,0.085714,0.784291,0.848046,22.8236,34.4918
v4-io,all8,100.0,facing,ABEF,hdop,err_vertical_mm,6,0.799680,0.714286,0.784291,0.848046,41.0296,368.282
v4-io,all8,100.0,facing,ABEF,vdop,err_3d_mm,6,-0.629920,-0.600000,0.701456,0.907871,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,vdop,err_horizontal_mm,6,0.011090,-0.085714,0.701456,0.907871,22.8236,34.4918
v4-io,all8,100.0,facing,ABEF,vdop,err_vertical_mm,6,-0.637210,-0.714286,0.701456,0.907871,41.0296,368.282
v4-io,all8,100.0,facing,ABEF,cond,err_3d_mm,6,-0.535848,-0.657143,1.95095,3.39177,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,cond,err_horizontal_mm,6,0.090296,-0.200000,1.95095,3.39177,22.8236,34.4918
v4-io,all8,100.0,facing,ABEF,cond,err_vertical_mm,6,-0.544354,-0.828571,1.95095,3.39177,41.0296,368.282
v4-io,all8,100.0,facing,ABEF,dop_radial_p95_mm,err_3d_mm,6,0.161210,0.314286,97.7028,129.353,47.3123,369.568
v4-io,all8,100.0,facing,ABEF,dop_radial_p95_mm,err_horizontal_mm,6,0.462388,0.657143,97.7028,129.353,22.8236,34.4918
