layout_id,capture_id,source_group,solver_version,layout_variant,source_path,anchor_count,grid_mm,n_points,n_valid,xdop_mean,xdop_median,xdop_p90,xdop_p95,xdop_max,ydop_mean,ydop_median,ydop_p90,ydop_p95,ydop_max,vdop_mean,vdop_median,vdop_p90,vdop_p95,vdop_max,hdop_mean,hdop_median,hdop_p90,hdop_p95,hdop_max,gdop_mean,gdop_median,gdop_p90,gdop_p95,gdop_max,cond_mean,cond_median,cond_p90,cond_p95,cond_max,axis_imbalance_p95,axis_dop_score,status
b952c7b1e8e1266a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,250,840,840,0.533461376,0.526161508,0.584800488,0.600176208,0.633791558,0.610184915,0.614986377,0.654125809,0.664323514,0.695039868,0.835406851,0.835929869,0.916616762,0.931056871,0.951384524,0.811520894,0.804699107,0.851434807,0.865802153,0.919494761,1.16622644,1.16315874,1.21203771,1.22116993,1.23025049,2.87297322,2.81102656,3.53039565,3.68571144,3.79363893,1.55130587,0.894275616,ok
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,250,924,924,0.537899066,0.530842629,0.586804763,0.603076804,0.628248415,0.612238009,0.61641225,0.655505766,0.665551129,0.689243187,0.810438061,0.813619074,0.877159169,0.889626089,0.905724995,0.815913991,0.809473594,0.853480136,0.870467918,0.924230143,1.15125158,1.14913509,1.18881976,1.19530815,1.20875873,2.66591837,2.64321749,3.22853536,3.30302977,3.56317978,1.47514559,0.872671415,ok
db81b403f22247cb,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,250,1001,1001,0.532660483,0.524795229,0.586987427,0.598677293,0.642220715,0.613385828,0.61892265,0.657555866,0.66801622,0.708584041,0.8388114,0.83907578,0.923497515,0.944422472,1.00237158,0.813429584,0.806582716,0.852594881,0.872511843,0.946668452,1.17016307,1.16885298,1.21887769,1.23463006,1.26934021,2.93080323,2.89480929,3.65530999,3.8401437,4.28804671,1.5775151,0.905090495,ok
a06d00f4a02fdc1a,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,250,924,924,0.537988301,0.530953951,0.586884531,0.60318007,0.627955219,0.61231309,0.616565324,0.655512658,0.665642357,0.688790655,0.810024115,0.813528023,0.876659735,0.889076956,0.905081252,0.816029121,0.8095875,0.853499268,0.870653941,0.924009282,1.15103887,1.1489032,1.18845448,1.19491968,1.20746903,2.66296345,2.63889963,3.22410109,3.29969676,3.54501962,1.47398265,0.872427115,ok
48d29ef0f4d28d2d,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,250,840,840,0.537070374,0.529533424,0.586937562,0.598853986,0.636634229,0.611885662,0.616416957,0.655476806,0.661857514,0.700726247,0.814569563,0.817927571,0.882729267,0.895465289,0.910474597,0.815071592,0.807853359,0.855168689,0.873274899,0.936683056,1.15367162,1.15078368,1.19269041,1.19899482,1.23169867,2.7002397,2.67152344,3.28451614,3.36494647,3.7694702,1.4952982,0.875971363,ok
6cd2e6cef6adf989,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v1-old,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,250,1232,1232,0.517904165,0.508027421,0.573352272,0.586556881,0.6281693,0.631786235,0.638548135,0.675426801,0.687808758,0.723599489,0.854583603,0.851447676,0.958816748,0.976914698,1.01577625,0.818198622,0.811574441,0.857880709,0.873657607,0.941504429,1.18497783,1.17965212,1.25203517,1.26328795,1.28686973,3.17169475,3.10220955,4.16289852,4.33927684,4.70374075,1.66550718,0.930192,ok
ebda6c001ec839b2,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,250,1320,1320,0.520011442,0.510113369,0.573962551,0.587958547,0.629278884,0.629872941,0.6368184,0.67132333,0.683853155,0.721641126,0.845687529,0.843362512,0.939030279,0.958469173,0.990057964,0.817989372,0.811125006,0.85602468,0.873418383,0.935305187,1.17824934,1.17252443,1.23949188,1.24919085,1.27571282,3.07392692,3.01778808,3.98425092,4.12324556,4.52094439,1.63016454,0.91833257,ok
db15409b6d413a3f,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-full,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,250,1485,1485,0.524479901,0.516138926,0.581951079,0.602115728,0.670367882,0.648453874,0.648028602,0.707078919,0.728754322,0.800230606,0.83945604,0.839954214,0.963812198,0.988280399,1.06079395,0.835379228,0.825948183,0.889649661,0.908947559,1.00088,1.18706533,1.17855494,1.26443005,1.2812915,1.32650716,3.18811083,3.06353581,4.34289573,4.56435834,5.17880908,1.64134626,0.953553237,ok
053c46629ed8c389,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,250,1320,1320,0.519944468,0.510091413,0.574020336,0.587790533,0.628639452,0.629927187,0.636951062,0.67150741,0.683550397,0.721696206,0.845525967,0.843043607,0.938863371,0.957980699,0.990028148,0.817988757,0.811247938,0.855698665,0.872638243,0.934937496,1.1781311,1.1724428,1.23919925,1.249024,1.27587849,3.0724381,3.01728335,3.97646651,4.12145718,4.51214257,1.62979947,0.917924991,ok
d0cb71e52800e4ca,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v4-io,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,250,1078,1078,0.518405053,0.508655532,0.570902988,0.584769858,0.62437058,0.630233955,0.637949065,0.672018952,0.682136109,0.709458646,0.848784876,0.845016633,0.9458279,0.960286576,0.988926267,0.817246099,0.811318908,0.854002796,0.870484944,0.930720419,1.17996192,1.1738875,1.24113764,1.25157255,1.26663275,3.10066312,3.03006441,4.02739239,4.1599284,4.38970163,1.64216155,0.918995799,ok
83427cf136699830,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,250,3780,3780,0.524844758,0.51626553,0.576285153,0.588938553,0.628770641,0.574641575,0.576586938,0.623722935,0.635429793,0.690891247,1.05993228,1.05210021,1.25211159,1.29511426,1.36315176,0.779494208,0.772906165,0.817495212,0.834249164,0.916294079,1.31995105,1.30850564,1.46274212,1.49886266,1.56239666,4.89659679,4.74268648,6.88678668,7.40022835,8.60966448,2.19906517,1.09941653,ok
b9edbb4d294b8a82,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v2,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,8,250,3780,3780,0.525741394,0.517262204,0.577005646,0.58911267,0.633129668,0.574063573,0.575262896,0.623940997,0.638994239,0.695800215,1.09998867,1.09864651,1.33676643,1.38033341,1.45265893,0.779728471,0.772763487,0.818503505,0.837497847,0.920054731,1.35362768,1.34332311,1.53567471,1.57507894,1.63517504,5.36156512,5.16600297,7.86810924,8.53003478,9.34941462,2.34307202,1.15651881,ok
d0ee95053a894332,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v3-full,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json,8,250,4788,4788,0.544020876,0.536575803,0.593422535,0.611370621,0.698880661,0.584511224,0.583909159,0.637346426,0.658292438,0.727935564,1.03247808,1.02873988,1.29359172,1.33872222,1.41354927,0.799679863,0.791183738,0.84760377,0.867908471,0.963981916,1.31289472,1.29778795,1.50677418,1.54703472,1.60838226,4.78416483,4.5704606,7.33974649,7.9693033,9.00311628,2.18970649,1.14039394,ok
d0329b8b5bd6d38d,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,8,250,3780,3780,0.526077096,0.51769373,0.577247748,0.589457291,0.633219331,0.574450289,0.575654778,0.624422309,0.639870617,0.695865258,1.09748483,1.09606404,1.3347399,1.37753374,1.45000095,0.780236662,0.773263039,0.819211133,0.837712606,0.920381624,1.35189438,1.34114733,1.533841,1.57320674,1.63310367,5.33772106,5.14633879,7.83089768,8.50031305,9.32466429,2.33695259,1.15508805,ok
d4b700dfdb554506,Garage_Test,Garage_Test/solver/outputs/v1_to_v4_io_field_check,v4-io,default,Garage_Test/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json,8,250,3780,3780,0.532618836,0.524823473,0.583426276,0.597633976,0.648345286,0.574900587,0.574921983,0.625034526,0.64212632,0.696671229,1.08417262,1.08078427,1.33347184,1.37305646,1.44856148,0.784958248,0.777319781,0.826212993,0.845023849,0.933145477,1.3443729,1.33086908,1.53585072,1.5728349,1.63444372,5.21739947,4.98381983,7.71202,8.47341883,9.33202442,2.29748729,1.15518357,ok
2eb8a6fdb7b789b6,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,8,250,3780,3780,0.526737939,0.518444708,0.578236262,0.59049917,0.634390513,0.577758658,0.579561678,0.62657012,0.640472628,0.70020193,1.03565841,1.02998311,1.22456858,1.26517223,1.32720713,0.783071275,0.77631846,0.822230497,0.840054642,0.923640079,1.30258298,1.29257314,1.4407195,1.4760204,1.52528619,4.65784492,4.51144649,6.56998217,7.09032317,7.89772196,2.14254701,1.08354182,ok
