version,label,meaning,tag_delay_mm,autopos_rms,autopos_p95,static_n,static_median,static_p95,static_max,roto_n,roto_deltaR_mean,roto_deltaR_rms,roto_abs_deltaR_median,roto_abs_deltaR_p95,roto_turn_center_median,roto_turn_center_p95,source_group,capture_id,source_path
v1-old,V1,"simple bidirectional mean, no delay",0.0,85.2463578425899,182.22076061099776,24,62.90848464100333,94.64023875377576,108.52693852126994,17,-40.3471806426172,42.89735397171129,40.25055816510326,59.87813499997549,18.08947442085983,33.31152961538773,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/tables/version_summary.csv
v2,V2,"weighted/IVW pair fusion, no delay",0.0,52.3579326922222,87.23606188418795,24,61.72376751975852,89.0684617972022,116.0891383610776,17,-26.425567638121574,28.801410333821412,29.018392271701998,39.849803674401095,14.98636835817704,25.962224209949127,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/tables/version_summary.csv
v3-full,V3-full,robust pair fusion plus per-anchor delay,0.0,102.49657601163851,258.59489870056893,24,64.30244496121148,95.08627484242199,97.1804029355771,17,-33.52750592990145,36.13499248953618,34.990706200012596,52.251308319402,17.119536007953673,30.094064583998765,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/tables/version_summary.csv
v3-lite,V3-lite,"MAD/MVUE robust pair fusion, no delay",0.0,52.29109680475433,87.90975655994784,24,61.929379411895184,89.44629158579723,116.04551505460213,17,-26.471407457079955,28.848852758641982,29.06425989392301,39.93802308727868,15.118652697719792,25.950374033913178,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/tables/version_summary.csv
v4-io,V4-io,current production inter-anchor solver,0.0,48.168758821052705,108.78846050661649,24,58.603243414574436,88.19886400901106,114.91491280285274,17,-30.615928283808376,32.42899743202175,33.32853842853672,42.58386745299794,14.314491940159968,25.614268055502553,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/tables/version_summary.csv
v1-old,V1,early MDS baseline,0.0,64.23232331626951,143.91923095266623,23,50.74605528361722,79.5185436599391,90.23659589271684,17,-24.230286780356312,32.91819605827952,24.05158805534228,54.15021590557475,19.837463670019822,30.142927981289706,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v2,V2,IVW fusion no-delay,0.0,40.42893749055175,80.35760205235508,23,48.65187419562615,71.042493032328,77.46138159712932,17,-25.075474290613144,32.717001408152214,23.842283202871556,50.70054651363428,19.733314217476035,28.127334187364358,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v3-full,V3-full,Tukey + delay,0.0,66.4152127963247,182.57071000897923,23,54.944080539480574,84.06805391190491,146.73090888074148,17,-22.807548226800833,31.25033210619702,26.746571893071973,48.36571042329295,21.324853199370875,30.606881699432318,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v3-lite,V3-lite,MAD/MVUE no-delay,0.0,40.8239541978783,82.00589529203654,23,48.6872979127397,70.91366912632414,77.10039262587031,17,-25.079211741302473,32.73753183130938,23.750185512266626,50.74657408874751,19.727177455741533,28.13135389168136,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
v4-io,V4-io,Huber bounded-delay inter-anchor,0.0,44.336175075788965,87.74981505675784,23,49.248322877789434,81.64710266011102,88.19396564001775,17,-24.313147783048326,32.29031403554457,23.509823199850302,50.507235465419264,20.611187899517006,28.942255198585904,outdoor_20260513/FULL-COMPARE-1000,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000/tables/version_summary.csv
