layout_id,group_rank_v2,validation_rank,score_group,capture_id,source_group,solver_version,solver_family,layout_variant,production_score_v2,evaluation_score,geometry_score,dop_score,optitrack_validation_score,confidence,component_weights,score_basis,dop_binding,optitrack_eval_set,opti_err_3d_median_mm,opti_err_3d_p95_mm,opti_err_3d_rms_mm,opti_err_vertical_median_mm,eval_autopos_rms_mm,eval_static_p95_mm,eval_roto_abs_deltaR_p95_mm,dop_gdop_mean,dop_gdop_p95,dop_vdop_mean,dop_vdop_p95,dop_cond_p95,dop_bad_gdop_ratio,xy_hull_coverage_ratio,paired_xy_offset_mean_mm,paired_vertical_gap_std_mm,risk_flags,source_path
0752b3202614dca0,1,1,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,v2,default,7.700178,9.796354,2.250120,,2.540253,optitrack_validated,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,all8,81.49350301644225,233.1077736825216,132.08905070793008,68.19865499121704,52.3579327,89.0684618,39.8498037,,,,,,,0.9741050152651706,132.30586083989863,31.988698939227945,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json
a06d00f4a02fdc1a,2,2,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-lite,v3-lite,default,8.528620,10.820015,2.570993,,2.977048,optitrack_validated,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,all8,81.69195758364084,233.52603084957047,132.28845672708738,68.7795729784018,52.2910968,89.4462916,39.9380231,,,,,,,0.9737885799721502,132.63282937885862,31.867022389148286,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json
48d29ef0f4d28d2d,3,3,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v4-io,v4-io,default,15.156914,14.257496,21.952993,4.012932,13.593026,optitrack_validated,evaluation:0.65|geometry:0.25|dop:0.1,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count|dop_summary_by_layout,unique_capture_version,all8,77.38103805352323,270.2552828594085,136.5028285215412,63.12141492353828,48.1687588,88.198864,42.5838675,1.13983927,1.20018535,0.801796876,0.90746004,3.38022469,0.0833333333,0.9624835745403323,168.47515967701617,21.771381035969423,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json
b952c7b1e8e1266a,4,5,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v1-old,v1-old,default,65.038094,86.135534,10.184750,,100.000000,optitrack_validated,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,all8,160.01125176029524,314.7898277297456,191.64129425669003,141.4729439113985,85.2463578,94.6402388,59.878135,,,,,,,0.9628366399145265,137.5920600009008,13.81177183495626,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
db81b403f22247cb,5,4,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v3-full,v3-full,default,76.005385,72.930533,84.000000,,51.573580,optitrack_validated,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|eval_static_p95_mm|eval_static_max_mm|eval_roto_deltaR_rms_mm|eval_roto_abs_deltaR_p95_mm|eval_roto_turn_center_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,all8,121.05623396766201,280.0735010456271,158.98876953960595,103.99736096295487,102.496576,95.0862748,52.2513083,,,,,,,0.8949613686196527,195.74615736428524,128.15399868548369,,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json
ebda6c001ec839b2,1,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v2,v2,default,2.795856,0.000000,10.065080,,,evaluation_matched,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,,,,,,44.958563,,,,,,,,,0.9263669527441882,189.13062844101876,59.43735747664288,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v2/layout.json
053c46629ed8c389,2,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-lite,v3-lite,default,3.771554,1.647849,9.293188,,,evaluation_matched,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,,,,,,45.2051144,,,,,,,,,0.9265370266175237,186.77316408091258,57.75711908427574,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json
d0cb71e52800e4ca,3,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v4-io,v4-io,default,14.181747,18.759459,2.279695,,,evaluation_matched,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,,,,,,45.3711828,,,,,,,,,0.9399425381460809,193.98650478025007,48.77021808804996,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v4-io/layout.json
6cd2e6cef6adf989,4,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v1-old,v1-old,default,77.022736,100.000000,17.281848,,,evaluation_matched,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,,,,,,65.5527644,,,,,,,,,0.9396602057882966,217.3692356490738,101.57610012782933,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
db15409b6d413a3f,5,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-full,v3-full,default,78.118453,75.856320,84.000000,,,evaluation_matched,evaluation:0.65|geometry:0.25,eval_autopos_rms_mm|eval_autopos_p95_mm|xy_hull_coverage_ratio|nearest_neighbor_min_mm|paired_xy_offset_mean_mm|paired_xy_offset_max_mm|paired_vertical_gap_std_mm|anchor_delay_span_mm|risk_flag_count,,,,,,,58.3389569,,,,,,,,,0.9026396899226111,385.79259747261153,178.1907897908095,,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-full/layout.json
