layout_id,capture_id,source_group,solver_version,layout_variant,source_path,all8_score,all8_xdop_p95,all8_ydop_p95,all8_vdop_p95,all8_gdop_p95,worst_drop_score_mask,worst_drop_score,worst_drop_score_vdop_p95,worst_drop_score_gdop_p95,worst_vdop_mask,worst_vdop_p95,worst_gdop_mask,worst_gdop_p95,worst_cond_mask,worst_cond_p95,score_degradation_ratio,vdop_degradation_ratio
005cce9f0f9294fe,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v4-io-td,consensus,outdoor_20260513/FULL-COMPARE-500+500/v4-io-td/layout_consensus.json,1.14932485,0.705197036,0.544742465,1.30185568,1.53277981,dropG,1.43931205,1.67025495,1.88283193,dropG,1.67025495,dropG,1.88283193,dropG,14.4309626,1.25231091,1.28298011
053c46629ed8c389,28052026_Erlangen_Smoke,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,28052026_Erlangen_Smoke/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,0.927009688,0.577141047,0.67507416,0.958156228,1.24840581,dropG,1.14406821,1.22563851,1.50410008,dropH,1.23750782,dropD,1.50778067,dropD,7.84628582,1.23414914,1.29155119
062a9b97a6d2468b,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v2,default,outdoor_20260513/FULL-COMPARE/v2/layout.json,1.14148369,0.703120589,0.545390606,1.29143369,1.52304912,dropG,1.4399068,1.67564833,1.88654315,dropG,1.67564833,dropG,1.88654315,dropG,14.4740372,1.26143441,1.29751016
0752b3202614dca0,28052026_Erlangen_Official,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check,v2,default,28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,0.881819623,0.589143932,0.65394628,0.890633643,1.19297552,dropH,1.08788985,1.15944719,1.4413991,dropH,1.15944719,dropH,1.4413991,dropH,6.84459972,1.2336875,1.30182281
0cccbfd84eee33e7,Garage_test_2,Garage_test_2/solver/outputs/v1_to_v4_io_field_check,v2,default,Garage_test_2/solver/outputs/v1_to_v4_io_field_check/v2/layout.json,1.16428576,0.58447212,0.632845581,1.36440051,1.56129086,dropC,1.49424969,1.80069017,1.98889875,dropH,1.81268764,dropC,1.98889875,dropC,16.1908569,1.28340459,1.32855978
0d3513b55bcb0d9e,Outdoor_LOS,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check,v1-old,default,Outdoor_LOS/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json,1.16085083,0.708731294,0.559847236,1.31589139,1.53965008,dropD,1.52673168,1.79163837,1.97808802,dropD,1.79163837,dropD,1.97808802,dropD,16.2665863,1.31518335,1.3615397
0f1588574545642e,outdoor_20260513,outdoor_20260513/FULL-COMPARE-500+500,v1-old,last500_aligned,outdoor_20260513/FULL-COMPARE-500+500/v1-old/layout_last500_aligned.json,1.14122159,0.705335021,0.545676351,1.28923011,1.5221442,dropD,1.43528006,1.66375351,1.87375975,dropD,1.66375351,dropD,1.87375975,dropD,14.2453394,1.25766991,1.29050159
10ae58e5b7260ee2,outdoor_20260513,outdoor_20260513/FULL-COMPARE,v4,default,outdoor_20260513/FULL-COMPARE/v4/layout.json,1.14930654,0.705071867,0.544788599,1.3018744,1.53275955,dropG,1.43866984,1.66920149,1.88189185,dropG,1.66920149,dropG,1.88189185,dropG,14.4137831,1.25177208,1.28215248
12888496e298b4ec,Outdoor_LOS_2,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check,v3-lite,default,Outdoor_LOS_2/solver/outputs/v1_to_v4_io_field_check/v3-lite/layout.json,1.00213026,0.693335176,0.574714124,1.07655132,1.34096587,dropD,1.31067653,1.47096944,1.72347248,dropD,1.47096944,dropD,1.72347248,dropD,11.367445,1.30789038,1.36637187
136815cfeded6aa0,outdoor_20260513,outdoor_20260513/FULL-COMPARE-1000,v1-old,default,outdoor_20260513/FULL-COMPARE-1000/v1-old/layout.json,1.14239013,0.705303907,0.545490384,1.29106343,1.52376091,dropD,1.43522703,1.66381884,1.87380934,dropD,1.66381884,dropD,1.87380934,dropD,14.2470608,1.25633704,1.28871967
