version,ID,peer,N,circle_3d_rms
v3full_early_impl,ID25,BS2DCE,180,192.61919309777258
v3full_early_impl,ID25,BSDC91,180,134.93033936392754
v3full_early_impl,ID26,BS2DCE,180,185.26290295330023
v3full_early_impl,ID26,BSDC91,180,182.35048917071904
v3full_early_impl,ID27,BS2DCE,180,189.8888850493362
v3full_early_impl,ID27,BSDC91,180,179.60311573072948
v3full_early_impl,ID28,BS2DCE,180,173.32749598157247
v3full_early_impl,ID28,BSDC91,180,138.79757636961446
v3full_early_impl,ID29,BS2DCE,180,198.48247871897306
v3full_early_impl,ID29,BSDC91,180,131.01794224541763
v3full_early_impl,ID30,BS2DCE,180,124.96215521578232
v3full_early_impl,ID30,BSDC91,180,101.6082946834874
v3full_early_impl,ID31,BS2DCE,180,128.72087513868476
v3full_early_impl,ID31,BSDC91,180,103.95916948854169
v3full_early_impl,ID32,BS2DCE,180,130.3228731227163
v3full_early_impl,ID32,BSDC91,180,104.8616912150985
v3full_early_impl,ID33,BS2DCE,180,176.44558898613377
v3full_early_impl,ID33,BSDC91,180,146.10158804546631
v3full_early_impl,ID34,BS2DCE,180,102.8361894503496
v3full_early_impl,ID34,BSDC91,180,72.27821009478542
v3full_early_impl,ID35,BS2DCE,180,103.02306263771146
v3full_early_impl,ID35,BSDC91,180,93.67950903726937
v3full_early_impl,ID36,BS2DCE,180,99.2816965038068
v3full_early_impl,ID36,BSDC91,180,84.57633475813705
v3full_early_impl,ID37,BS2DCE,180,127.2569430810168
v3full_early_impl,ID37,BSDC91,180,105.85735444556903
v3full_early_impl,ID38,BS2DCE,180,79.04523542353205
v3full_early_impl,ID38,BSDC91,180,76.46085965371962
v3full_early_impl,ID39,BS2DCE,180,113.65197358263686
v3full_early_impl,ID39,BSDC91,180,97.40703319161696
v3full_early_impl,ID40,BS2DCE,180,93.34709576663596
v3full_early_impl,ID40,BSDC91,180,73.26753204411031
v3full_early_impl,ID41,BS2DCE,180,110.23824752893165
v3full_early_impl,ID41,BSDC91,180,90.55410567650101
