pair,obs_mm,pred_mm,residual_mm
AB,3006.486131386861,3006.486131386861,0.0
AC,5535.260273972603,5532.997572031772,-2.2627019408309934
AD,4672.607634652258,4678.898353684846,6.29071903258864
AE,1459.711513583441,1457.9837156079734,-1.727797975467638
AF,3195.640533582963,3199.90180209095,4.261268507986642
AG,5761.613793103448,5758.200742270639,-3.413050832808949
AH,4860.33524948264,4860.33524948264,0.0
BC,4570.5,4570.5,0.0
BD,5435.75088715401,5433.336723535162,-2.414163618848761
BE,3214.52700729927,3214.52700729927,0.0
BF,1439.1965317919075,1438.1805711754735,-1.0159606164340858
BG,5004.715923566879,4927.123901219691,-77.5920223471876
BH,5659.000000000001,5663.1791868317905,4.179186831789593
CD,3121.7760252365933,2956.5111950348937,-165.26483020169962
CE,5671.238894373149,5863.128155047587,191.88926067443754
CF,4802.762264150943,4803.170076708821,0.40781255787806003
CG,1735.331681205393,1735.331681205393,0.0
CH,3454.4298642533936,3453.8358443354036,-0.5940199179899537
DE,5094.889391979302,5096.528258760107,1.638866780805074
DF,5592.598503740649,5592.598503740649,0.0
DG,3277.6376470588234,3285.040110423966,7.4024633651424665
DH,1522.3414287967196,1521.330197855229,-1.0112309414905667
EF,2790.9452054794524,2691.6128598018563,-99.3323456775961
EG,5604.619808306709,5603.880736897532,-0.739071409177086
EH,4569.644412191582,4777.540863059081,207.89645086749897
FG,4657.460063897764,4664.728776100577,7.268712202813731
FH,5457.486131386861,5450.3591304215515,-7.12700096530989
GH,2940.8140293637844,2941.1603962481313,0.34636688434693497
