version,ID,N,X_std,Y_std,Z_std,D3_std
v3full_early_impl,ID01,150,26.082643879063372,18.81762033312646,37.47289474962647,49.382436023755645
v3full_early_impl,ID02,150,20.19716778659822,16.80671203994605,41.678994567390376,49.269967975859544
v3full_early_impl,ID03,150,27.274881424734687,16.580747922441496,25.749208569039546,41.01051207108715
v3full_early_impl,ID04,150,20.202739717141842,13.87991617277917,44.02712044998935,50.39037705911544
v3full_early_impl,ID05,150,27.245262717107675,14.412202444041213,44.68992166395384,54.28816646510154
v3full_early_impl,ID06,150,22.153632383062213,14.323475039488521,20.874261335122938,33.6404540881618
v3full_early_impl,ID07,150,33.54143711354462,18.120713701553235,74.42783185402432,83.62350401165
v3full_early_impl,ID08,150,45.09124565400848,25.899157926649416,92.19473810601079,105.84827136224561
v3full_early_impl,ID09,150,42.61592127574792,19.72646799036516,46.843864168831466,66.32946476358435
v3full_early_impl,ID11,150,21.06383878890449,17.37620438031301,48.424578568792995,55.592783639215014
v3full_early_impl,ID12,150,25.255298277229556,14.79806458406553,27.727457187280816,40.31903630518095
v3full_early_impl,ID13,150,24.125480654136542,14.59439377682482,55.69786128219249,62.42825400342778
v3full_early_impl,ID14,150,21.62101763078371,13.86701618149264,40.68285925708177,48.112966843668694
v3full_early_impl,ID15,150,22.604262802739658,14.776912016508385,38.54682418078333,47.065565756964745
v3full_early_impl,ID16,150,26.037606995881568,18.869154950620555,37.504757733562364,49.4025185519495
v3full_early_impl,ID17,150,32.350546648041515,22.255512646023565,67.14072700170549,77.78009342937285
v3full_early_impl,ID18,150,34.672774413538924,17.659414584245724,51.623666209246586,64.64564271375247
v3full_early_impl,ID19,150,35.19308413339796,20.48544724306862,46.968268618009354,62.16289067074067
v3full_early_impl,ID20,150,20.437608778051146,13.198374686347526,41.254602148648054,47.89399905383898
v3full_early_impl,ID21,150,21.89882204090214,14.840551400597128,36.287792163347426,44.90661680357545
v3full_early_impl,ID22,150,25.942161349430496,16.258224524917953,25.161118519307035,39.628367179649786
v3full_early_impl,ID23,150,28.587229222997752,14.210573218094638,29.45212351364527,43.43498181533016
v3full_early_impl,ID24,150,22.93899952641376,14.744166925842999,26.779552791102386,38.21953172530209
