L,A,U,P,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,sameP_uwb_p95_mean,sameP_delta_p95_mean,sameP_improved_seed_fraction,b0_delta_p95_mean,radius_abs_mean,thickness_p95_mean,deltaR_rms_mean,experiment_short
L0,A0,U4,P4,I5,T2,position_fusion,5,64.99606944598852,99.05344053559088,0.0,70.20578424168157,138.8862359430275,39.832795407436606,1.0,132.7486974598868,13.913848359195924,96.92015888466054,469.42191441059583,X_A0_U4_P4_L0_I5_T2
L0,A0,U4,P4,I6,T2,position_fusion,5,65.77689417810052,101.05276284699512,0.0,70.99912811223365,138.8862359430275,37.833473096032364,1.0,130.74937514848256,14.936143470495324,98.19899918114668,451.457213831286,X_A0_U4_P4_L0_I6_T2
L0,A0,U4,P4,I8,T2,position_fusion,5,66.32508987484516,103.03496309377036,0.0,71.72570815334959,138.8862359430275,35.85127284925714,1.0,128.76717490170734,15.74920974342109,99.07904067969471,438.4486874173661,X_A0_U4_P4_L0_I8_T2
L0,A0,U4,P4,I4,T2,position_fusion,5,66.91383096577627,105.16030035085969,0.0,72.3917984520811,138.8862359430275,33.72593559216779,1.0,126.641837644618,16.25856966223074,100.04691264220168,429.08465594579246,X_A0_U4_P4_L0_I4_T2
L0,A0,U4,P4,I3,T2,position_fusion,5,67.61642152599613,106.66452270886089,0.0,73.00329158806036,138.8862359430275,32.2217132341666,1.0,125.1376152866168,16.605011590650122,101.0798611831126,422.39628984632543,X_A0_U4_P4_L0_I3_T2
L1,A0,U4,P4,I5,T2,position_fusion,5,66.68642945473398,108.1693791622989,3.506614418123942,72.71187973785551,138.8862359430275,30.716856780728584,1.0,123.63275883317878,15.450694517894032,102.52514416160878,399.9216745524371,X_A0_U4_P4_L1_I5_T2
L1,A0,U4,P4,I6,T2,position_fusion,5,65.45226317361187,109.33443305441115,5.163893387484589,73.83053128650603,138.8862359430275,29.55180288861635,1.0,122.46770494106654,16.200820537053183,101.49209858164906,373.949865358955,X_A0_U4_P4_L1_I6_T2
L1,A0,U4,P4,I8,T2,position_fusion,5,67.42248045083758,111.15572323112879,2.1392435512189896,74.67491095805609,138.8862359430275,27.7305127118987,1.0,120.6464147643489,16.550382714774308,103.63141599930752,394.2886100923365,X_A0_U4_P4_L1_I8_T2
L1,A0,U4,P4,I3,T2,position_fusion,5,68.46281430195924,111.60548795929947,2.063091760723039,76.34689836365703,138.8862359430275,27.28074798372803,1.0,120.19665003617824,17.781177388260954,103.80846510833575,403.59457767574696,X_A0_U4_P4_L1_I3_T2
L1,A0,U4,P4,I4,T2,position_fusion,5,69.141775271092,114.12440940896856,2.2912079736488584,76.4249143691073,138.8862359430275,24.76182653405893,1.0,117.67772858650915,17.204286853676297,103.76720556876577,361.52556437976045,X_A0_U4_P4_L1_I4_T2
