L,seed_id,run_dir,elapsed_s,declared_rows,runnable_rows,excluded_rows,raw_backend,raw_device,raw_gpu_workers,status
L0,S00,phase4_L0_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,705.9195969090001,5292,1377,3915,cpu,,,complete
L0,S01,phase4_L0_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,907.264408167,5292,1377,3915,cpu,,,complete
L0,S02,phase4_L0_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,527.0261833769996,5292,1377,3915,cpu,,,complete
L0,S03,phase4_L0_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,666.0350053289999,5292,1377,3915,cpu,,,complete
L0,S04,phase4_L0_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,881.0442895349997,5292,1377,3915,cpu,,,complete
L1,S00,phase4_L1_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,858.5654793099993,5292,1377,3915,cpu,,,complete
L1,S01,phase4_L1_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,906.2206973759994,5292,1377,3915,cpu,,,complete
L1,S02,phase4_L1_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,877.3197709010001,5292,1377,3915,cpu,,,complete
L1,S03,phase4_L1_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,869.9110590229993,5292,1377,3915,cpu,,,complete
L1,S04,phase4_L1_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,694.0814315499993,5292,1377,3915,cpu,,,complete
L2,S00,phase4_L2_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,656.4489914810001,5292,1377,3915,cpu,,,complete
L2,S01,phase4_L2_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,477.77098281600047,5292,1377,3915,cpu,,,complete
L2,S02,phase4_L2_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,477.0321813290011,5292,1377,3915,cpu,,,complete
L2,S03,phase4_L2_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,474.3396483450015,5292,1377,3915,cpu,,,complete
L2,S04,phase4_L2_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,475.9989717850003,5292,1377,3915,cpu,,,complete
L3,S00,phase4_L3_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,472.9333596680008,5292,1377,3915,cpu,,,complete
L3,S01,phase4_L3_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,470.88133179000033,5292,1377,3915,cpu,,,complete
L3,S02,phase4_L3_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,472.80154898900037,5292,1377,3915,cpu,,,complete
L3,S03,phase4_L3_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,475.91049317500074,5292,1377,3915,cpu,,,complete
L3,S04,phase4_L3_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,473.53760249100014,5292,1377,3915,cpu,,,complete
L4,S00,phase4_L4_TRUEFULL_S00_5090D_DUALLANE_20260606T221157Z,475.5817871729996,5292,1377,3915,cpu,,,complete
L4,S01,phase4_L4_TRUEFULL_S01_5090D_DUALLANE_20260606T221157Z,477.0970430260004,5292,1377,3915,cpu,,,complete
L4,S02,phase4_L4_TRUEFULL_S02_5090D_DUALLANE_20260606T221157Z,470.01168445299845,5292,1377,3915,cpu,,,complete
L4,S03,phase4_L4_TRUEFULL_S03_5090D_DUALLANE_20260606T221157Z,473.5776167719996,5292,1377,3915,cpu,,,complete
L4,S04,phase4_L4_TRUEFULL_S04_5090D_DUALLANE_20260606T221157Z,475.3389928960005,5292,1377,3915,cpu,,,complete
