L,A,R,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,b0_uwb_p95_mean,b0_delta_p95_mean,b0_improved_seed_fraction,radius_abs_mean,thickness_p95_mean,experiment_short
L1,A0,R4,I3,T10,range_fusion,5,310.4507341617382,482.06889298321846,6.934018196278431,342.3326562624808,231.8021379954777,-250.26675498774074,0.0,117.34511496466762,140.26771936538893,X_A0_R4_L1_I3_T10
L1,A0,R2,I5,T10,range_fusion,5,310.133145835975,483.28677249656295,10.91454280599614,333.61808556346415,231.8021379954777,-251.48463450108525,0.0,117.25243352028106,132.79626408042887,X_A0_R2_L1_I5_T10
L1,A0,R4,I5,T9,range_fusion,5,311.6691141055695,491.0497101144879,10.283942378238953,338.4290040445236,231.8021379954777,-259.2475721190102,0.0,114.43967610784735,136.54965645666746,X_A0_R4_L1_I5_T9
L15,A0,R4,I5,T10,range_fusion,5,315.7709547767112,492.2346245946519,12.480757553436149,338.38145648172286,231.8021379954777,-260.43248659917424,0.0,108.79878178573703,170.78095707246675,X_A0_R4_L15_I5_T10
L0,A0,R2,I8,T10,range_fusion,5,305.9373117459561,492.9333330585747,0.0,334.1961281994705,231.8021379954777,-261.1311950630969,0.0,123.43282848391598,122.43664147899116,X_A0_R2_L0_I8_T10
L1,A0,R3,I6,T10,range_fusion,5,314.169518334504,494.63642032152654,6.4591982123621445,341.1331288767186,231.8021379954777,-262.8342823260489,0.0,122.84563290917895,140.66500901105488,X_A0_R3_L1_I6_T10
L0,A0,R3,I4,T10,range_fusion,5,308.62370533738203,497.1514316820402,0.0,336.87873333573407,231.8021379954777,-265.34929368656253,0.0,125.11735247832844,125.06137680571392,X_A0_R3_L0_I4_T10
L0,A0,R4,I8,T9,range_fusion,5,307.0842088133467,500.3295308502628,0.0,338.890712128357,231.8021379954777,-268.52739285478515,0.0,120.8080641686078,132.3209156516295,X_A0_R4_L0_I8_T9
L1,A0,R4,I7,T10,range_fusion,5,321.03657878712477,503.844621185572,8.945845908356237,352.1282632288743,231.8021379954777,-272.0424831900944,0.0,124.78535209034285,140.28985963820259,X_A0_R4_L1_I7_T10
L1,A0,R2,I6,T10,range_fusion,5,320.6822292222423,505.9385555359544,6.627862596488658,351.3225510202046,231.8021379954777,-274.1364175404767,0.0,127.17020417163135,140.4072449349414,X_A0_R2_L1_I6_T10
L0,A0,R2,I4,T10,range_fusion,5,313.76369256509975,508.2006613923413,0.0,343.9947191892935,231.8021379954777,-276.39852339686365,0.0,129.1780508577258,126.07273048577318,X_A0_R2_L0_I4_T10
L19,A0,R4,I6,T10,range_fusion,5,329.7647939189361,508.6572462766561,18.982693248542486,351.8074564709955,231.8021379954777,-276.8551082811785,0.0,116.5515887907599,168.88039334955874,X_A0_R4_L19_I6_T10
L16,A0,R4,I6,T10,range_fusion,5,328.70943629371436,510.34512675451407,7.110908173738423,352.70614483901215,231.8021379954777,-278.54298875903635,0.0,114.12743326103539,162.76596721813291,X_A0_R4_L16_I6_T10
L0,A0,R3,I3,T10,range_fusion,5,315.8093968472375,511.6441493218846,0.0,346.2631460096168,231.8021379954777,-279.8420113264069,0.0,130.57360603519246,126.39420420075616,X_A0_R3_L0_I3_T10
L1,A0,R3,I8,T10,range_fusion,5,327.2210415591426,511.7219425781639,4.259367550971157,357.36495136866426,231.8021379954777,-279.9198045826862,0.0,128.8182874305781,139.3569922645284,X_A0_R3_L1_I8_T10
L1,A0,R4,I2,T10,range_fusion,5,329.8634365757283,514.5201080240455,12.64036119885073,357.26670715433426,231.8021379954777,-282.71797002856783,0.0,122.1985649127223,144.60954842772927,X_A0_R4_L1_I2_T10
L1,A0,R4,I6,T9,range_fusion,5,322.9960671907746,516.3843974524505,3.5929053957190042,358.43899265506946,231.8021379954777,-284.58225945697285,0.0,124.29588872036183,139.7236682901311,X_A0_R4_L1_I6_T9
L5,A0,R4,I5,T10,range_fusion,5,311.5955493338114,516.7768438023393,17.599700824327556,343.7837152900871,231.8021379954777,-284.9747058068615,0.0,103.41068507747984,173.899799712618,X_A0_R4_L5_I5_T10
L0,A0,R4,I4,T9,range_fusion,5,317.02601295553245,516.7930034657074,0.0,349.5016181687706,231.8021379954777,-284.9908654702298,0.0,126.63149309579333,131.91980462620467,X_A0_R4_L0_I4_T9
L16,A0,R4,I8,T10,range_fusion,5,332.73389459126696,520.2362778648618,15.123525944709838,361.8997280615854,231.8021379954777,-288.43413986938407,0.0,117.48094723536462,158.57915064489876,X_A0_R4_L16_I8_T10
L19,A0,R3,I5,T10,range_fusion,5,332.36638157928206,521.1777708688336,10.788724506277628,361.6480013452531,231.8021379954777,-289.375632873356,0.0,126.8873213166567,146.5776924868416,X_A0_R3_L19_I5_T10
L19,A0,R4,I8,T10,range_fusion,5,337.40461528393945,522.6256778023073,18.165998326476814,359.4587740577539,231.8021379954777,-290.8235398068297,0.0,117.43689023330253,162.762573439464,X_A0_R4_L19_I8_T10
L1,A0,R2,I8,T10,range_fusion,5,333.6536838158675,523.4480555273627,3.8610387412109604,365.4949437112915,231.8021379954777,-291.64591753188506,0.0,133.19450257964186,134.02375806728668,X_A0_R2_L1_I8_T10
L1,A0,R4,I1,T10,range_fusion,5,333.2568704575451,523.4499143410014,6.369286388065333,362.1348991200615,231.8021379954777,-291.6477763455238,0.0,130.20309205452676,140.06421971931607,X_A0_R4_L1_I1_T10
L0,A0,R3,I5,T9,range_fusion,5,322.4929185412772,524.1710808926864,0.0,356.4888905100462,231.8021379954777,-292.36894289720874,0.0,129.59949147196087,123.98551492952808,X_A0_R3_L0_I5_T9
L0,A0,R2,I3,T10,range_fusion,5,322.5007923783038,524.710265360543,0.0,355.9975019649189,231.8021379954777,-292.9081273650653,0.0,134.55216647426724,120.88536759225869,X_A0_R2_L0_I3_T10
L16,A0,R3,I5,T10,range_fusion,5,340.65094042460953,525.9091612889981,13.087607070614009,371.2770421369574,231.8021379954777,-294.10702329352046,0.0,129.3774156389263,149.06021369696495,X_A0_R3_L16_I5_T10
L0,A0,R3,I2,T10,range_fusion,5,325.2395716931794,528.1423495546999,0.0,358.2699611163637,231.8021379954777,-296.3402115592222,0.0,135.61597954026314,121.31054369708356,X_A0_R3_L0_I2_T10
L0,A0,R3,I7,T10,range_fusion,5,325.2395716931794,528.1423495546999,0.0,358.2699611163637,231.8021379954777,-296.3402115592222,0.0,135.61597954026314,121.31054369708356,X_A0_R3_L0_I7_T10
L19,A0,R2,I5,T10,range_fusion,5,338.25698850028436,533.5358620201717,12.123846985308045,370.9688415200227,231.8021379954777,-301.7337240246941,0.0,131.24468217963263,146.38406181141067,X_A0_R2_L19_I5_T10
L1,A0,R3,I4,T10,range_fusion,5,334.6957942237867,533.6751951994096,6.993275207803972,370.8456584689916,231.8021379954777,-301.873057203932,0.0,131.5843808802569,136.58704924390483,X_A0_R3_L1_I4_T10
L0,A0,R4,I5,T7,range_fusion,5,325.25633389101085,534.1830621862237,0.0,359.765752600866,231.8021379954777,-302.380924190746,0.0,129.784718236394,126.61389407191322,X_A0_R4_L0_I5_T7
L1,A0,R4,I8,T9,range_fusion,5,336.0167683587859,534.2334225765928,4.129023051087549,370.66513966165934,231.8021379954777,-302.43128458111505,0.0,129.8121187721518,134.6851972387561,X_A0_R4_L1_I8_T9
L5,A0,R4,I6,T10,range_fusion,5,330.3732610468815,535.6461321285309,46.68466074710263,357.4077097006185,231.8021379954777,-303.8439941330533,0.0,114.21537514933455,171.43647850260484,X_A0_R4_L5_I6_T10
L16,A0,R2,I5,T10,range_fusion,5,347.9416365908291,537.8296491328905,13.539048539861637,379.4255366576791,231.8021379954777,-306.0275111374129,0.0,133.6498543644347,149.78367119577146,X_A0_R2_L16_I5_T10
L0,A0,R4,I3,T9,range_fusion,5,328.6330519399021,538.2212276591383,0.0,363.4279180563352,231.8021379954777,-306.41908966366066,0.0,133.3994410190922,124.68480975306304,X_A0_R4_L0_I3_T9
L19,A0,R4,I4,T10,range_fusion,5,357.61333724552213,539.7459378551202,20.84280376820396,383.05007152772697,231.8021379954777,-307.9437998596426,0.0,121.08955042923694,160.19415857545545,X_A0_R4_L19_I4_T10
L14,A0,R4,I5,T10,range_fusion,5,336.6316722360656,539.7647753560085,26.632501026080362,364.0026299949167,231.8021379954777,-307.9626373605309,0.0,111.85294989224899,181.6815125908554,X_A0_R4_L14_I5_T10
L0,A0,R2,I5,T9,range_fusion,5,331.51954799902114,540.6881680975794,0.0,367.6942242176783,231.8021379954777,-308.8860301021017,0.0,134.98417219641237,128.97105941257112,X_A0_R2_L0_I5_T9
L15,A0,R4,I8,T10,range_fusion,5,346.3370578462066,541.2658283363799,27.654207771645698,375.4344506277593,231.8021379954777,-309.46369034090213,0.0,119.26587160970344,176.6648601897975,X_A0_R4_L15_I8_T10
L0,A0,R2,I2,T10,range_fusion,5,334.91349555396255,543.1363825953893,0.0,369.42828984719216,231.8021379954777,-311.3342445999116,0.0,140.10247285485653,126.93844879112967,X_A0_R2_L0_I2_T10
L0,A0,R2,I7,T10,range_fusion,5,334.91349555396255,543.1363825953893,0.0,369.42828984719216,231.8021379954777,-311.3342445999116,0.0,140.10247285485653,126.93844879112967,X_A0_R2_L0_I7_T10
L5,A0,R3,I5,T10,range_fusion,5,340.0673775656255,543.4726158550751,13.06006829775332,367.7996987319828,231.8021379954777,-311.6704778595975,0.0,124.20839881924931,151.68374477620918,X_A0_R3_L5_I5_T10
L15,A0,R3,I5,T10,range_fusion,5,354.9903952764198,544.0317750678148,12.779164952118391,377.3994764200327,231.8021379954777,-312.22963707233714,0.0,125.95197582750913,153.43481070809466,X_A0_R3_L15_I5_T10
L15,A0,R4,I6,T10,range_fusion,5,338.02303981201914,544.4831825002904,27.17599108250615,368.829798111088,231.8021379954777,-312.6810445048127,0.0,116.42145054730668,176.73432072891242,X_A0_R4_L15_I6_T10
L0,A0,R3,I1,T10,range_fusion,5,336.2694218064861,545.3878139775015,0.0,371.0363971994528,231.8021379954777,-313.5856759820239,0.0,140.68769145048486,125.07104838123357,X_A0_R3_L0_I1_T10
L19,A0,R4,I5,T9,range_fusion,5,343.07103436464723,545.5172003153707,11.324393300792808,377.6840469521338,231.8021379954777,-313.71506231989304,0.0,128.02859817464645,149.48952791752245,X_A0_R4_L19_I5_T9
L16,A0,R4,I3,T10,range_fusion,5,365.39353780174133,545.6734132654011,8.84304078089859,384.13732250925716,231.8021379954777,-313.87127526992344,0.0,134.84987147056182,147.20725207871175,X_A0_R4_L16_I3_T10
L16,A0,R4,I4,T10,range_fusion,5,356.96502415356656,546.339028433634,14.194535722645789,379.9799458590334,231.8021379954777,-314.53689043815626,0.0,124.00435288153604,160.53789405560252,X_A0_R4_L16_I4_T10
L1,A0,R2,I4,T10,range_fusion,5,343.63726791159723,547.2968074223481,7.606582275637645,379.92474625794665,231.8021379954777,-315.4946694268705,0.0,136.5805716370963,137.56898101120154,X_A0_R2_L1_I4_T10
L5,A0,R4,I4,T10,range_fusion,5,356.68446182724676,548.2846287487504,10.346963491831792,377.969229469185,231.8021379954777,-316.48249075327277,0.0,124.2695173612179,164.72640215942369,X_A0_R4_L5_I4_T10
L16,A0,R4,I5,T9,range_fusion,5,351.6388444417779,549.1822676236498,13.973180133729759,385.1721356517486,231.8021379954777,-317.3801296281721,0.0,132.0560106543018,154.0033430474453,X_A0_R4_L16_I5_T9
L0,A0,R3,I6,T9,range_fusion,5,338.5321901266432,550.0468327991381,0.0,374.4886749875848,231.8021379954777,-318.2446948036604,0.0,137.96245538124043,123.95040083144754,X_A0_R3_L0_I6_T9
L19,A0,R4,I3,T10,range_fusion,5,358.463188128076,550.3605264611867,8.156481797741527,386.85843437407664,231.8021379954777,-318.5583884657091,0.0,132.63404216240218,153.79809867345526,X_A0_R4_L19_I3_T10
L5,A0,R2,I5,T10,range_fusion,5,350.13692016083644,552.2996596655557,14.420201165553914,376.0501668541575,231.8021379954777,-320.4975216700781,0.0,128.36950395206935,151.72951203266274,X_A0_R2_L5_I5_T10
L15,A0,R2,I5,T10,range_fusion,5,363.46006090912687,552.9894612814212,11.62524456336753,386.8387448185713,231.8021379954777,-321.18732328594353,0.0,130.26313209172446,153.25535191992225,X_A0_R2_L15_I5_T10
L1,A0,R3,I3,T10,range_fusion,5,348.72773567029816,553.4675807486504,7.893600082530213,385.83733519419314,231.8021379954777,-321.66544275317284,0.0,139.3596433584699,137.56241139864383,X_A0_R3_L1_I3_T10
L19,A0,R3,I6,T10,range_fusion,5,372.428426412594,553.6939216560758,14.114100896129129,390.7490672999387,231.8021379954777,-321.89178366059815,0.0,136.72614223906453,149.48738949016752,X_A0_R3_L19_I6_T10
L5,A0,R4,I8,T10,range_fusion,5,335.41545090382044,554.7165145128796,12.960496273340647,369.690321032482,231.8021379954777,-322.914376517402,0.0,113.56274926386712,182.80955172270893,X_A0_R4_L5_I8_T10
L0,A0,R4,I2,T9,range_fusion,5,341.6873078559328,554.8923896230708,0.0,377.72608626621775,231.8021379954777,-323.09025162759315,0.0,134.7958208436059,114.39908265599836,X_A0_R4_L0_I2_T9
L0,A0,R4,I7,T9,range_fusion,5,341.6873078559328,554.8923896230708,0.0,377.72608626621775,231.8021379954777,-323.09025162759315,0.0,134.7958208436059,114.39908265599836,X_A0_R4_L0_I7_T9
L0,A0,R4,I6,T7,range_fusion,5,341.7501622616693,555.6192695614885,0.0,378.3884921393741,231.8021379954777,-323.81713156601086,0.0,133.13628146186443,116.33509199665028,X_A0_R4_L0_I6_T7
L13,A0,R4,I5,T10,range_fusion,5,342.67747577867675,556.3587938937227,18.27922401733352,370.32314042546324,231.8021379954777,-324.55665589824497,0.0,111.55485967010029,188.11660121850792,X_A0_R4_L13_I5_T10
L16,A0,R3,I6,T10,range_fusion,5,369.9577589131472,556.9868445925051,5.383602497570068,395.3737341968461,231.8021379954777,-325.18470659702746,0.0,133.49447643155787,151.26402292536727,X_A0_R3_L16_I6_T10
L5,A0,R4,I5,T9,range_fusion,5,355.37609933138003,557.320852695605,15.504293988395514,384.5875464581415,231.8021379954777,-325.51871470012736,0.0,125.40365819600304,152.5213879950248,X_A0_R4_L5_I5_T9
L15,A0,R4,I4,T10,range_fusion,5,368.37241131291086,559.3671782735319,12.2894248164688,388.71460525298914,231.8021379954777,-327.5650402780542,0.0,126.95812457650763,168.37611500490803,X_A0_R4_L15_I4_T10
L1,A0,R4,I4,T9,range_fusion,5,350.1440593148252,559.5738539158436,6.233893815308637,385.14105171701254,231.8021379954777,-327.77171592036603,0.0,134.76940022367475,141.08354221312615,X_A0_R4_L1_I4_T9
L0,A0,R2,I1,T10,range_fusion,5,348.9712844705881,560.432310940281,0.0,383.2109219117765,231.8021379954777,-328.63017294480335,0.0,145.96490919207048,118.13189938561614,X_A0_R2_L0_I1_T10
L14,A0,R4,I6,T10,range_fusion,5,346.1742774677411,560.6769103255413,16.827299642834067,374.4763605135202,231.8021379954777,-328.8747723300636,0.0,115.48304583526699,191.040284128357,X_A0_R4_L14_I6_T10
L0,A0,R2,I6,T9,range_fusion,5,350.8696896303429,563.049887644155,0.0,386.6652450904383,231.8021379954777,-331.2477496486773,0.0,143.28971351470267,120.13396932796573,X_A0_R2_L0_I6_T9
L5,A0,R4,I3,T10,range_fusion,5,359.96951052123984,563.5614286974858,14.453217643620375,386.5685308118388,231.8021379954777,-331.7592907020081,0.0,126.20642764757667,170.2122512013971,X_A0_R4_L5_I3_T10
L1,A0,R3,I5,T9,range_fusion,5,352.01045394864735,564.470126480417,7.919216309413248,386.93857235152973,231.8021379954777,-332.66798848493937,0.0,137.14822984113104,134.4412276513127,X_A0_R3_L1_I5_T9
L1,A0,R2,I3,T10,range_fusion,5,356.15638573107543,565.4735136260571,6.4680094809100455,394.3473220126047,231.8021379954777,-333.67137563057935,0.0,143.0259356993891,138.62222393844755,X_A0_R2_L1_I3_T10
L15,A0,R4,I5,T9,range_fusion,5,367.1684519146707,566.020821614874,12.97531769823303,393.29372657781903,231.8021379954777,-334.2186836193963,0.0,128.83744652176765,154.77560339410508,X_A0_R4_L15_I5_T9
L19,A0,R2,I6,T10,range_fusion,5,376.4388901290657,566.5621504396038,14.570477761233501,400.29015673566306,231.8021379954777,-334.7600124441261,0.0,141.11038553147154,152.42913547539987,X_A0_R2_L19_I6_T10
L1,A0,R4,I5,T7,range_fusion,5,355.74187510110585,568.7672690179314,7.9666454514333,390.5067243143352,231.8021379954777,-336.96513102245376,0.0,135.39544594249355,137.51816714232882,X_A0_R4_L1_I5_T7
L16,A0,R2,I6,T10,range_fusion,5,375.49862044830405,568.8685554246422,7.631583358779735,404.7306194151674,231.8021379954777,-337.06641742916446,0.0,138.2135999991485,149.56488001842715,X_A0_R2_L16_I6_T10
L15,A0,R4,I3,T10,range_fusion,5,367.0650285317986,569.6036311119176,18.73805777986898,389.4561224153673,231.8021379954777,-337.80149311643993,0.0,132.03313170641633,162.8277189953032,X_A0_R4_L15_I3_T10
L0,A0,R4,I1,T9,range_fusion,5,356.5261192809953,569.7361705627314,0.0,392.1798072045892,231.8021379954777,-337.9340325672538,0.0,139.54709352810323,122.3966518574086,X_A0_R4_L0_I1_T9
L0,A0,R3,I8,T9,range_fusion,5,356.6358278734152,570.4152314965404,0.0,392.8432152089687,231.8021379954777,-338.61309350106274,0.0,145.5617136077579,122.66650512767816,X_A0_R3_L0_I8_T9
L14,A0,R3,I5,T10,range_fusion,5,364.07936427203686,571.7869022441124,22.441386934983683,394.06139610547115,231.8021379954777,-339.98476424863475,0.0,131.3563048461834,165.83453732896638,X_A0_R3_L14_I5_T10
L1,A0,R3,I7,T10,range_fusion,5,363.88326594475507,571.9454255374202,7.972249630169377,401.5479226883114,231.8021379954777,-340.1432875419426,0.0,147.90083778565037,140.9399399780536,X_A0_R3_L1_I7_T10
L16,A0,R3,I8,T10,range_fusion,5,378.12500924868334,574.8703565093105,9.916148864875305,404.9451536589703,231.8021379954777,-343.06821851383273,0.0,138.78636995077315,152.468299145242,X_A0_R3_L16_I8_T10
L1,A0,R4,I3,T9,range_fusion,5,362.1165775299766,575.1606696093453,6.365517813573324,400.6436991599299,231.8021379954777,-343.3585316138677,0.0,140.8512104552363,140.57623999687175,X_A0_R4_L1_I3_T9
L5,A0,R3,I6,T10,range_fusion,5,363.5397543216758,575.7036757089271,24.86779824113392,392.0344130524401,231.8021379954777,-343.9015377134495,0.0,134.91233247171007,161.55951802962085,X_A0_R3_L5_I6_T10
L0,A0,R4,I8,T7,range_fusion,5,360.9647873514642,575.8003728324919,0.0,397.3000513267417,231.8021379954777,-343.99823483701425,0.0,139.0559005337511,128.01808241424052,X_A0_R4_L0_I8_T7
L19,A0,R3,I8,T10,range_fusion,5,377.8658489228751,576.3629530884675,21.203082016831566,408.7794172981692,231.8021379954777,-344.56081509298986,0.0,139.89817942429073,155.57879413965406,X_A0_R3_L19_I8_T10
L19,A0,R4,I6,T9,range_fusion,5,379.82759172246637,576.8472959216444,13.50073908226662,405.98587218150647,231.8021379954777,-345.0451579261668,0.0,139.74852218388273,152.94413245045973,X_A0_R4_L19_I6_T9
L1,A0,R2,I5,T9,range_fusion,5,363.46367196847666,577.1636900385371,8.79910413174462,397.0033431508984,231.8021379954777,-345.3615520430594,0.0,141.5418981008896,138.72780290638312,X_A0_R2_L1_I5_T9
L1,A0,R3,I2,T10,range_fusion,5,371.87137493474506,579.9598409062053,6.578555555210751,404.6423698156074,231.8021379954777,-348.15770291072766,0.0,143.4663192206124,144.27866055789224,X_A0_R3_L1_I2_T10
L0,A0,R4,I5,T6,range_fusion,5,363.6813403752301,580.2044416666484,0.0,400.7400949769207,231.8021379954777,-348.4023036711708,0.0,139.722936269074,130.62074825448616,X_A0_R4_L0_I5_T6
L16,A0,R4,I6,T9,range_fusion,5,378.9964691975609,580.5649426810951,7.416074628904995,409.8829577069402,231.8021379954777,-348.7628046856174,0.0,134.78111970016238,151.67601592570261,X_A0_R4_L16_I6_T9
L19,A0,R4,I7,T10,range_fusion,5,369.4412906562264,581.0155183830484,10.336240572719063,393.316327305976,231.8021379954777,-349.21338038757074,0.0,136.608025648618,167.31327818829052,X_A0_R4_L19_I7_T10
L16,A0,R4,I7,T10,range_fusion,5,377.60075952710156,581.6277054556425,11.581451193397209,404.8124082890333,231.8021379954777,-349.8255674601649,0.0,136.42185727732536,162.28196803653142,X_A0_R4_L16_I7_T10
L14,A0,R2,I5,T10,range_fusion,5,371.1518334864042,582.5893134454617,20.808764577128827,399.63681155789646,231.8021379954777,-350.7871754499841,0.0,135.4645310317564,166.31757584303108,X_A0_R2_L14_I5_T10
L0,A0,R2,I8,T9,range_fusion,5,368.6012745360839,583.6173199965885,0.0,405.46532397598025,231.8021379954777,-351.8151820011109,0.0,146.01966266796728,132.0023420447369,X_A0_R2_L0_I8_T9
L14,A0,R4,I8,T10,range_fusion,5,364.98592697780254,584.1766342236083,11.852602323500854,388.80723383933866,231.8021379954777,-352.3744962281306,0.0,121.17788676864518,176.41631453812116,X_A0_R4_L14_I8_T10
L5,A0,R2,I6,T10,range_fusion,5,370.2628249118772,584.2250863787378,21.411830150718746,400.88922301592964,231.8021379954777,-352.4229483832602,0.0,139.05579808296608,160.46555575024,X_A0_R2_L5_I6_T10
L1,A0,R2,I7,T10,range_fusion,5,375.1963124344381,584.4219739042322,8.664719934546852,411.56913927154284,231.8021379954777,-352.6198359087545,0.0,152.4239265039923,143.8540031925557,X_A0_R2_L1_I7_T10
L16,A0,R2,I8,T10,range_fusion,5,387.54988035556397,584.7089741001221,8.2929241638924,413.64965331302375,231.8021379954777,-352.90683610464447,0.0,142.83576735726137,152.13476330628933,X_A0_R2_L16_I8_T10
L13,A0,R3,I5,T10,range_fusion,5,380.3676519949165,585.6757087670683,13.015932254996107,401.21582118291167,231.8021379954777,-353.8735707715906,0.0,131.86147215510346,164.38481076407726,X_A0_R3_L13_I5_T10
L14,A0,R4,I4,T10,range_fusion,5,368.28796996775543,586.7074208355303,24.518057783238387,400.94353513732415,231.8021379954777,-354.90528284005256,0.0,129.56557687180012,175.9124832470915,X_A0_R4_L14_I4_T10
L13,A0,R4,I6,T10,range_fusion,5,357.6234767731147,587.5066662637009,19.107888236858397,394.0550909912287,231.8021379954777,-355.7045282682232,0.0,113.2092827383049,200.17423652133607,X_A0_R4_L13_I6_T10
L19,A0,R2,I8,T10,range_fusion,5,384.20608004310697,588.6333629237697,17.502783347665027,417.6145240106579,231.8021379954777,-356.83122492829204,0.0,144.0588757561177,156.8949840166775,X_A0_R2_L19_I8_T10
L1,A0,R3,I6,T9,range_fusion,5,368.98345162698024,588.946590361692,8.067058745592613,406.0680442102549,231.8021379954777,-357.1444523662143,0.0,147.07005922991516,142.7838791016271,X_A0_R3_L1_I6_T9
L0,A0,R3,I4,T9,range_fusion,5,374.0207009622027,589.1379678603354,0.0,410.0134277267539,231.8021379954777,-357.3358298648577,0.0,145.20411131668544,136.14353272664457,X_A0_R3_L0_I4_T9
