L,A,R,I,T,kind,n,p50_mean,p95_mean,p95_std,rmse_mean,b0_uwb_p95_mean,b0_delta_p95_mean,b0_improved_seed_fraction,radius_abs_mean,thickness_p95_mean,experiment_short
L0,A0,R4,I5,T10,range_fusion,5,246.1024483880056,375.9808868098216,0.0,261.0930962330593,231.8021379954777,-144.1787488143439,0.0,85.9976594770794,123.794855558631,X_A0_R4_L0_I5_T10
L0,A0,R4,I6,T10,range_fusion,5,258.261402943917,394.75941792244,0.0,272.06020855599064,231.8021379954777,-162.9572799269623,0.0,94.28453500297836,130.85736571387912,X_A0_R4_L0_I6_T10
L0,A0,R4,I8,T10,range_fusion,5,269.667174868047,412.6190081992152,0.0,284.5921232542663,231.8021379954777,-180.81687020373752,0.0,102.52442335020169,133.5645865452988,X_A0_R4_L0_I8_T10
L1,A0,R4,I5,T10,range_fusion,5,269.96265553540934,415.31289651157306,13.302658833068884,290.1637440875405,231.8021379954777,-183.51075851609534,0.0,95.126760549564,145.90086436936426,X_A0_R4_L1_I5_T10
L0,A0,R4,I4,T10,range_fusion,5,277.1260097365657,426.7427868187635,0.0,297.1504677969764,231.8021379954777,-194.94064882328584,0.0,106.41080532909686,131.02623293303256,X_A0_R4_L0_I4_T10
L0,A0,R3,I5,T10,range_fusion,5,283.09068123404256,434.9916073151538,0.0,300.977570835233,231.8021379954777,-203.18946931967608,0.0,112.30513177415608,127.09376336657344,X_A0_R3_L0_I5_T10
L1,A0,R4,I6,T10,range_fusion,5,273.8682110803986,441.1162603703768,7.221838520297044,300.48787793163706,231.8021379954777,-209.31412237489903,0.0,104.27978511828925,149.77984862699094,X_A0_R4_L1_I6_T10
L0,A0,R4,I3,T10,range_fusion,5,283.4966348608724,442.3958931611693,0.0,308.1565681707354,231.8021379954777,-210.59375516569156,0.0,110.10470486370306,128.63938255244744,X_A0_R4_L0_I3_T10
L0,A0,R2,I5,T10,range_fusion,5,289.41198406719815,447.8637213185114,0.0,308.8374028350561,231.8021379954777,-216.06158332303372,0.0,116.22833037108585,129.9976934236192,X_A0_R2_L0_I5_T10
L1,A0,R4,I8,T10,range_fusion,5,291.09904656197955,451.94512362630786,5.069819030303361,317.1495778653909,231.8021379954777,-220.1429856308301,0.0,107.48170406012373,142.07072069902657,X_A0_R4_L1_I8_T10
L0,A0,R4,I5,T9,range_fusion,5,290.628121301495,454.8391447765854,0.0,314.61062428387413,231.8021379954777,-223.03700678110766,0.0,107.94357041209896,125.88675662832748,X_A0_R4_L0_I5_T9
L0,A0,R3,I6,T10,range_fusion,5,294.1501561245845,456.8420065466231,0.0,314.781724971731,231.8021379954777,-225.0398685511454,0.0,118.86717545533426,132.09745322951113,X_A0_R3_L0_I6_T10
L0,A0,R4,I2,T10,range_fusion,5,291.61583529244075,459.9561455086715,0.0,316.4368723238504,231.8021379954777,-228.1540075131938,0.0,115.0250842220368,123.36908549348752,X_A0_R4_L0_I2_T10
L0,A0,R4,I7,T10,range_fusion,5,291.61583529244075,459.9561455086715,0.0,316.4368723238504,231.8021379954777,-228.1540075131938,0.0,115.0250842220368,123.36908549348752,X_A0_R4_L0_I7_T10
L19,A0,R4,I5,T10,range_fusion,5,298.2722828426299,463.50230401682927,17.287234723160168,322.8025432305063,231.8021379954777,-231.7001660213516,0.0,107.27581457415131,168.986752310144,X_A0_R4_L19_I5_T10
L1,A0,R3,I5,T10,range_fusion,5,302.0443347518405,471.49107491548546,10.852342763338964,326.97197248477295,231.8021379954777,-239.6889369200078,0.0,116.35537981720634,134.282049733123,X_A0_R3_L1_I5_T10
L0,A0,R2,I6,T10,range_fusion,5,298.5548418504908,471.9229450161271,0.0,321.7153743254776,231.8021379954777,-240.12080702064935,0.0,117.30401764545596,120.4987293302319,X_A0_R2_L0_I6_T10
L16,A0,R4,I5,T10,range_fusion,5,305.33880933144474,473.638431458499,16.78497158183707,332.00039908986656,231.8021379954777,-241.83629346302126,0.0,110.57049356318308,164.14515988740885,X_A0_R4_L16_I5_T10
L1,A0,R4,I4,T10,range_fusion,5,294.31724894408643,474.02173412338044,10.241391514773602,325.165219278119,231.8021379954777,-242.21959612790275,0.0,113.79141089695395,138.25802992610224,X_A0_R4_L1_I4_T10
L0,A0,R4,I1,T10,range_fusion,5,297.84008750405235,477.46622680048006,0.0,325.8273562293166,231.8021379954777,-245.6640888050023,0.0,119.7264392212953,120.38832365041642,X_A0_R4_L0_I1_T10
L0,A0,R4,I6,T9,range_fusion,5,299.099960128606,480.0459660759836,0.0,327.95058784041873,231.8021379954777,-248.24382808050592,0.0,114.58762500408093,124.46312692583388,X_A0_R4_L0_I6_T9
L0,A0,R3,I8,T10,range_fusion,5,300.294697973408,480.122617870284,0.0,325.9560629629236,231.8021379954777,-248.32047987480627,0.0,119.39538080087758,117.10207842136776,X_A0_R3_L0_I8_T10
