layout,capture,capture_name,tag,n,mean_x,mean_y,mean_z,std_x,std_y,std_z,std_3d,gdop
V1 no delay,ID01,ID01_static_center_low_20260504_191930,BSF66F,601,2425.2854945314657,1389.3204441802025,-64.26889559938262,34.09822065371438,50.367583721224925,58.882566831706754,84.65659347241896,1.2658676682592622
V1 no delay,ID02,ID02_static_center_mid_20260504_192643,BSF66F,601,2438.8507658379503,1533.4463571785798,817.7431612556089,18.101105497892032,25.48371133967533,42.11059620938738,52.443987996716885,1.4705253750560767
V1 no delay,ID03,ID03_static_center_high_20260504_193419,BSF66F,601,2399.1210111795776,1577.3138799759654,1431.0657032777465,24.187697976551075,37.52788280315944,59.97414368445252,74.76820602218486,1.322455240965051
V1 no delay,ID04,ID04_static_abef_low_20260504_193907,BSF66F,600,2637.990857529684,460.82730117917146,237.95009528195422,41.4083940283317,69.58675678165778,77.50372049365271,112.08835133836796,1.3554343741901234
V1 no delay,ID05,ID05_static_abef_mid_20260504_194325,BSF66F,601,2262.6775332947373,441.1568918146493,457.0919705817322,57.30478012463992,66.72704075598813,186.52603806355373,206.22390421304442,1.4253043296529375
V1 no delay,ID06,ID06_static_abef_high_20260504_194915,BSF66F,601,2539.3766753510095,523.7685689776871,1532.5941294035683,36.935988491692136,47.29745798725378,54.83732693473932,81.29236866558838,1.3384232051194858
V1 no delay,ID07,ID07_static_bcgf_low_20260504_195344,BSF66F,601,3629.3823568764756,1610.334067918453,51.95237721648754,58.19001191243944,50.3456022776537,40.61889829671544,87.00949404466415,1.210868763018926
V1 no delay,ID08,ID08_static_bcgf_mid_20260504_195949,BSF66F,601,3848.420891744549,1491.5455066690913,899.8485162740361,41.52193713200762,65.19616537092888,99.29595928698154,125.83441013089303,1.2603238626697701
V1 no delay,ID09,ID09_static_bcgf_high_20260504_200457,BSF66F,601,3809.7763605699834,1393.405579239217,1751.9457440344538,37.932783411899344,39.97826084378903,49.54176764032213,74.10495353480609,1.158660893444702
V1 no delay,ID10,ID10_static_cdhg_low_20260504_200934,BSF66F,601,2608.4309597012007,2290.3758549126733,24.73792516410307,53.032627085611566,70.90010974761424,76.33761175266503,116.90473072517598,1.3282361082843348
V1 no delay,ID11,ID11_static_cdhg_mid_20260504_201411,BSF66F,601,2475.9646698220113,2512.614262635193,926.5632261036035,33.788094596184266,57.818309355759666,156.23229316405082,169.9797683858198,1.469546159999619
V1 no delay,ID12,ID12_static_cdhg_high_20260504_202045,BSF66F,601,2348.137933484876,2387.066468037961,1452.7368987150826,31.03573611236918,35.574626585382084,66.70901318351233,81.72431347306633,1.335686793404631
V1 no delay,ID13,ID13_static_adhe_low_20260504_202835,BSF66F,601,845.4691050042633,1437.6153908942636,87.40289392737627,54.18831086224595,55.086556160787424,100.0032258152268,126.37858551673314,1.2305215551199231
V1 no delay,ID14,ID14_static_adhe_mid_20260504_203438,BSF66F,540,1096.0167822311632,1360.810276846403,510.8861488093467,82.97616448206679,73.29815437287729,232.07246794371613,257.1289436919001,1.3464232938002283
V1 no delay,ID15,ID15_static_adhe_high_20260504_203935,BSF66F,600,978.9880932931869,1532.8575446464615,1429.2416220759512,29.509223908099052,38.76508364789441,50.44362214337967,70.12905974580465,1.2390218730448326
V1 no delay,ID16,ID16_static_center_mid_abef_20260504_205152,BSF66F,601,2542.2301898896394,1355.4538532019053,1030.9606573538733,16.91246249155786,25.68422687386433,36.55965605098997,47.773626073422285,1.4328819425748027
V1 no delay,ID17,ID17_static_center_mid_bcgf_20260504_205705,BSF66F,524,2527.477737554137,1363.1678163669178,1074.1955355972702,26.796911265219542,30.431523599291225,54.90258263590863,68.25280699006484,1.424702121857743
V1 no delay,ID18,ID18_static_center_mid_cdhg_20260504_210127,BSF66F,601,2553.692255714274,1358.6741149921106,1017.4734251137919,26.952422687746232,42.61137742759311,54.521234488698475,74.26121184836249,1.4346123920130092
V1 no delay,ID19,ID19_static_center_mid_adhe_20260504_210657,BSF66F,601,2583.1117980932163,1383.5497650684963,990.0535682071882,20.488238196680438,30.911348661799728,46.80924442897283,59.71921587317257,1.4372356241477553
V1 no delay,ID20,ID20_static_center_low_abef_20260504_212236,BSF66F,601,2601.0735455286294,1334.0918076435876,71.47401661918474,28.259006014374947,44.62071325063596,50.13040326089666,72.81920627839936,1.2996020873914675
