version,eval_set,anchor_similarity_scale_diagnostic,one_minus_scale_abs,median_distance_to_array_centroid_mm,median_scale_bias_expected_mm,median_err_3d_mm,corr_err_vs_distance,ols_err_per_distance_slope,ols_intercept_mm
v1-old,all8,0.9569413681749183,0.04305863182508174,757.0490971914554,32.5974983494774,160.01125176029524,0.5932901590412725,0.207429049336888,25.93955828820719
v1-old,noG,0.956078523989287,0.043921476010712945,775.5184217006727,34.061913754592055,154.4719914176559,0.5813777010290444,0.22144895763146066,4.812150241142356
v2,all8,0.9405561453917995,0.05944385460820045,757.0490971914554,45.00191646471829,81.49350301644225,0.4496058731661218,0.13501627285189535,13.303203307850692
v2,noG,0.9381229439682154,0.061877056031784616,775.5184217006727,47.98679683325369,80.52362848738136,0.4176220394307132,0.13753407839028223,6.764683103926233
v3-full,all8,0.9659987429827457,0.034001257017254316,757.0490971914554,25.740620928287015,121.05623396766201,0.6275570103324718,0.19350861380103287,4.091877946831877
v3-full,noG,0.9625307800672832,0.03746921993271679,775.5184217006727,29.05807030457591,116.44288510671994,0.6398794338941921,0.21403938998411137,-20.614137412638073
v3-lite,all8,0.9406088884394505,0.05939111156054955,757.0490971914554,44.96198738811104,81.69195758364084,0.4477220512410652,0.1344957788665905,13.888900319504472
v3-lite,noG,0.9382416657954182,0.061758334204581766,775.5184217006727,47.89472586919992,81.05486502037178,0.4167204355300675,0.13728465262957062,7.209034729793861
v4-io,all8,0.9604183133909641,0.03958168660903594,757.0490971914554,29.965280112685775,77.38103805352323,0.5098597276310254,0.15892113149786447,0.18689425852396666
v4-io,noG,0.9597410642386235,0.04025893576137651,775.5184217006727,31.22154632101148,81.26715583122152,0.49584117182068776,0.1698396114959676,-12.896959426043377
