facing,positions,links,rho_distance_percent,delta_tag_mm,rms_mm
ABEF,6,48,14.371763469314658,-445.06065169128647,65.04928050654028
ADHE,6,48,5.091072354503012,-39.074735513250246,73.91860457340125
BCGF,6,48,7.249333226211263,-136.27986543260414,82.44575236883546
CDHG,6,48,15.6405902011997,-467.0429872561804,91.30168382772843
