mode,positions,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_horizontal_mm,median_vertical_mm,fit_uses_vicon_link_distance,runtime_uses_vicon_link_distance
production_baseline_T4_mean,24,72.6891193204547,171.49736845476443,109.8450996772826,37.42034807667451,61.870068315403614,False,False
vicon_distance_covariate,24,60.74424376327441,112.37005903094509,73.15179315290904,29.743446599277743,38.88435299027735,True,False
measured_median_range_covariate,24,76.60986154273374,120.27175203306926,91.01909593705248,41.6928338194292,41.1733880699916,False,False
estimated_distance_iter0_additive_only,24,254.00441296398756,400.64630784702933,261.4825301254088,62.89986895825401,245.4239215571978,True,False
estimated_distance_iter1,24,77.87427717689022,117.80230390088568,82.51549254194175,33.219485934081696,44.41189724536012,True,False
estimated_distance_iter2,24,61.851990073358635,113.05416259703976,73.03836531981315,29.3835341138632,40.179503304663186,True,False
