method,registration,position,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm
production_baseline_with_best_selector,anchor_only_3d_rigid,ID01,-477.2667480672535,61.81289604103034,-392.4402186517377,64.94859628208746,-120.72990454304897,-9.116157721305797,65.58524598271558,120.72990454304897,137.39408408511272
production_baseline_with_best_selector,anchor_only_3d_rigid,ID02,-512.8125352958147,1042.8581175021718,-238.0778874060186,30.4174447041853,-62.730882497828134,21.843472593981403,37.44807387965617,62.730882497828134,73.05834556197195
production_baseline_with_best_selector,anchor_only_3d_rigid,ID03,-565.4018938425139,1797.4958626358462,-271.82323665729405,-11.399023842513884,171.93441263584623,-15.528136657294056,19.26293779800473,171.93441263584623,173.0101240420434
production_baseline_with_best_selector,anchor_only_3d_rigid,ID04,-251.38627300695623,-79.47047970713913,491.7307697353099,69.79254199304376,-261.63426970713914,11.796949735309852,70.78253273872166,261.63426970713914,271.039956512128
production_baseline_with_best_selector,anchor_only_3d_rigid,ID05,-168.73771915717248,1059.4725294819737,508.5551521222528,16.244170639759915,-44.114087077603244,34.85112318830352,38.45092804159537,44.114087077603244,58.51945442286955
production_baseline_with_best_selector,anchor_only_3d_rigid,ID06,-209.84682124905123,1816.2139182573455,476.17250084317493,-16.615566249051227,131.26136825734557,-0.350479156825088,16.619262240423883,131.26136825734557,132.3092841572596
production_baseline_with_best_selector,anchor_only_3d_rigid,ID07,345.8063169858133,56.80574730794682,90.69190405002587,-6.3412330141867415,-154.75960769205318,36.89603805002587,37.436998543274925,154.75960769205318,159.22331811932375
production_baseline_with_best_selector,anchor_only_3d_rigid,ID08,450.67104602615177,1109.79460518872,-91.638906306315,58.77050602615179,-22.48579481128013,-20.106977306315002,62.11491700844984,22.48579481128013,66.05962369906146
production_baseline_with_best_selector,anchor_only_3d_rigid,ID09,442.7924022988584,1559.7653961243386,-67.22317674830515,33.98246229885842,-8.419953875661577,-4.797388248305147,34.31942129317321,8.419953875661577,35.33720845180868
production_baseline_with_best_selector,anchor_only_3d_rigid,ID10,90.46870859794831,136.73833202414878,-986.5368200455877,24.969463597948305,-101.91139797585123,-48.343400045587714,54.411013961669525,101.91139797585123,115.52701622447162
production_baseline_with_best_selector,anchor_only_3d_rigid,ID11,-96.85218031815134,1153.4651537330353,-1005.524675787684,-32.94638581815134,19.96530373303517,-48.534380787684086,58.660467581859606,19.96530373303517,61.96502085914884
production_baseline_with_best_selector,anchor_only_3d_rigid,ID12,39.17561865315474,1690.4563998897088,-990.1768533145785,82.86430315315474,100.32634988970858,-33.819313314578494,89.49993681633276,100.32634988970858,134.44558442849578
production_baseline_with_best_selector,anchor_only_3d_rigid,ID13,-153.98128504117778,1065.6044711561544,-194.09889902584428,35.64686995882221,-73.49312884384562,3.8672609741557267,35.856032202453875,73.49312884384562,81.77343720647619
production_baseline_with_best_selector,anchor_only_3d_rigid,ID14,-182.7651695645635,1092.7356646973326,-167.89196766804616,15.930150435436502,-39.892135302667384,26.798617331953835,31.175881443836264,39.892135302667384,50.62922123444578
production_baseline_with_best_selector,anchor_only_3d_rigid,ID15,-158.28346866944526,1053.8227232103354,-219.86595419488344,41.88186633055474,-78.43237678966466,-35.55336919488343,54.937535332758976,78.43237678966466,95.7589187350926
production_baseline_with_best_selector,anchor_only_3d_rigid,ID16,-194.64146687578943,1144.7304023667334,-165.31857813359238,-9.786811875789425,22.67320236673345,20.461576866407626,22.681662517372942,22.67320236673345,32.07073307729102
production_baseline_with_best_selector,anchor_only_3d_rigid,ID17,-166.24882331941137,166.9762486404634,-330.2743765486016,14.149576680588638,-42.48240635953658,-2.071141548601588,14.300354805185833,42.48240635953658,44.82471413908845
production_baseline_with_best_selector,anchor_only_3d_rigid,ID18,-327.50551427817857,185.02662672503897,-265.5639903989004,-32.08121427817855,-21.87922327496102,-41.562580398900394,52.503832231347324,21.87922327496102,56.8801618325147
production_baseline_with_best_selector,anchor_only_3d_rigid,ID19,-195.39843549768773,85.50277533787421,-62.515961308037504,-6.867880497687736,-120.45779466212578,51.6191336919625,52.07401219071964,120.45779466212578,131.23179127216878
production_baseline_with_best_selector,anchor_only_3d_rigid,ID20,-44.81294577730773,138.78074837958678,-231.2368563332859,35.38304572269226,-63.779381620413204,-10.544191333285909,36.920724471319254,63.779381620413204,73.69497550965991
production_baseline_with_best_selector,anchor_only_3d_rigid,ID21,-156.72594087035895,1611.0358528509923,-241.65991405376053,55.327524129641034,12.391552850992412,-14.725169053760538,57.25351980426913,12.391552850992412,58.579144002253706
production_baseline_with_best_selector,anchor_only_3d_rigid,ID22,-226.70564815208002,1570.2343302390145,-259.2881615883284,6.132021847919987,-29.086869760985564,-24.114081588328418,24.881531761367256,29.086869760985564,38.27710301583002
production_baseline_with_best_selector,anchor_only_3d_rigid,ID23,-182.1543434298975,1675.028792316953,-268.06864910539434,48.722986570102506,75.36454231695325,-44.82716910539435,66.20728442032652,75.36454231695325,100.31559574142919
production_baseline_with_best_selector,anchor_only_3d_rigid,ID24,-209.95841256420124,1611.8423591730239,-240.53033155559615,8.244062435798753,12.260859173023846,-14.459156555596138,16.644271499365384,12.260859173023846,20.672697971123892
