mode,position,anchor,dropped_frames,frames
production_baseline_with_best_selector,ID08,B,318,1201
production_baseline_with_best_selector,ID08,C,1,1201
production_baseline_with_best_selector,ID08,D,82,1201
production_baseline_with_best_selector,ID08,G,9,1201
production_baseline_with_best_selector,ID08,H,1,1201
production_baseline_with_best_selector,ID03,A,1,1201
production_baseline_with_best_selector,ID03,B,1,1201
production_baseline_with_best_selector,ID03,C,1,1201
production_baseline_with_best_selector,ID03,D,1,1201
production_baseline_with_best_selector,ID07,E,53,1201
production_baseline_with_best_selector,ID07,F,9,1201
production_baseline_with_best_selector,ID07,G,67,1201
production_baseline_with_best_selector,ID07,H,41,1201
production_baseline_with_best_selector,ID04,B,45,1201
production_baseline_with_best_selector,ID04,E,4,1201
production_baseline_with_best_selector,ID04,F,37,1201
production_baseline_with_best_selector,ID04,G,11,1201
production_baseline_with_best_selector,ID01,D,3,1201
production_baseline_with_best_selector,ID01,E,82,1201
production_baseline_with_best_selector,ID01,F,4,1201
production_baseline_with_best_selector,ID01,G,47,1201
production_baseline_with_best_selector,ID01,H,42,1201
production_baseline_with_best_selector,ID05,A,842,1200
production_baseline_with_best_selector,ID05,C,382,1200
production_baseline_with_best_selector,ID05,E,3,1200
production_baseline_with_best_selector,ID05,F,6,1200
production_baseline_with_best_selector,ID05,G,1,1200
production_baseline_with_best_selector,ID05,H,1,1200
production_baseline_with_best_selector,ID02,A,3,1201
production_baseline_with_best_selector,ID02,B,3,1201
production_baseline_with_best_selector,ID02,D,642,1201
production_baseline_with_best_selector,ID02,F,46,1201
production_baseline_with_best_selector,ID02,G,40,1201
production_baseline_with_best_selector,ID02,H,1,1201
production_baseline_with_best_selector,ID06,C,55,1201
production_baseline_with_best_selector,ID06,D,1,1201
production_baseline_with_best_selector,ID06,F,33,1201
production_baseline_with_best_selector,ID06,G,8,1201
production_baseline_with_best_selector,ID09,A,1,1201
production_baseline_with_best_selector,ID09,B,2,1201
production_baseline_with_best_selector,ID09,C,1,1201
production_baseline_with_best_selector,ID09,D,222,1201
production_baseline_with_best_selector,ID09,E,1,1201
production_baseline_with_best_selector,ID09,F,105,1201
production_baseline_with_best_selector,ID09,H,66,1201
production_baseline_with_best_selector,ID10,A,1,1201
production_baseline_with_best_selector,ID10,B,2,1201
production_baseline_with_best_selector,ID10,C,2,1201
production_baseline_with_best_selector,ID10,D,7,1201
production_baseline_with_best_selector,ID10,F,175,1201
production_baseline_with_best_selector,ID10,G,33,1201
production_baseline_with_best_selector,ID10,H,1,1201
production_baseline_with_best_selector,ID13,A,9,1200
production_baseline_with_best_selector,ID13,B,20,1200
production_baseline_with_best_selector,ID13,D,319,1200
production_baseline_with_best_selector,ID13,F,29,1200
production_baseline_with_best_selector,ID13,G,50,1200
production_baseline_with_best_selector,ID13,H,1,1200
production_baseline_with_best_selector,ID12,B,32,1201
production_baseline_with_best_selector,ID12,C,12,1201
production_baseline_with_best_selector,ID12,F,29,1201
production_baseline_with_best_selector,ID12,G,38,1201
production_baseline_with_best_selector,ID12,H,5,1201
production_baseline_with_best_selector,ID15,B,4,1201
production_baseline_with_best_selector,ID15,C,1,1201
production_baseline_with_best_selector,ID15,D,507,1201
production_baseline_with_best_selector,ID15,F,21,1201
production_baseline_with_best_selector,ID15,G,108,1201
production_baseline_with_best_selector,ID14,A,10,1201
production_baseline_with_best_selector,ID14,E,1,1201
production_baseline_with_best_selector,ID14,F,420,1201
production_baseline_with_best_selector,ID14,G,57,1201
production_baseline_with_best_selector,ID14,H,1,1201
production_baseline_with_best_selector,ID11,E,1,1201
production_baseline_with_best_selector,ID11,F,38,1201
production_baseline_with_best_selector,ID11,G,36,1201
production_baseline_with_best_selector,ID11,H,5,1201
production_baseline_with_best_selector,ID16,A,2,1201
production_baseline_with_best_selector,ID16,D,4,1201
production_baseline_with_best_selector,ID16,F,753,1201
production_baseline_with_best_selector,ID16,G,43,1201
production_baseline_with_best_selector,ID16,H,1,1201
production_baseline_with_best_selector,ID20,B,2,1201
production_baseline_with_best_selector,ID20,E,21,1201
production_baseline_with_best_selector,ID20,F,254,1201
production_baseline_with_best_selector,ID20,G,2,1201
production_baseline_with_best_selector,ID20,H,163,1201
production_baseline_with_best_selector,ID17,B,1,1199
production_baseline_with_best_selector,ID17,E,68,1199
production_baseline_with_best_selector,ID17,F,43,1199
production_baseline_with_best_selector,ID17,G,31,1199
production_baseline_with_best_selector,ID17,H,66,1199
production_baseline_with_best_selector,ID18,A,1,1199
production_baseline_with_best_selector,ID18,D,3,1199
production_baseline_with_best_selector,ID18,F,47,1199
production_baseline_with_best_selector,ID18,G,165,1199
production_baseline_with_best_selector,ID18,H,6,1199
production_baseline_with_best_selector,ID22,A,808,1201
production_baseline_with_best_selector,ID22,C,1,1201
production_baseline_with_best_selector,ID22,E,5,1201
production_baseline_with_best_selector,ID22,F,106,1201
production_baseline_with_best_selector,ID22,G,11,1201
production_baseline_with_best_selector,ID22,H,7,1201
production_baseline_with_best_selector,ID21,B,12,1201
production_baseline_with_best_selector,ID21,D,722,1201
production_baseline_with_best_selector,ID21,F,27,1201
production_baseline_with_best_selector,ID21,G,10,1201
production_baseline_with_best_selector,ID21,H,128,1201
production_baseline_with_best_selector,ID23,A,1,1201
production_baseline_with_best_selector,ID23,B,253,1201
production_baseline_with_best_selector,ID23,E,10,1201
production_baseline_with_best_selector,ID23,F,2,1201
production_baseline_with_best_selector,ID23,G,34,1201
production_baseline_with_best_selector,ID23,H,5,1201
production_baseline_with_best_selector,ID19,E,66,1201
production_baseline_with_best_selector,ID19,G,38,1201
production_baseline_with_best_selector,ID19,H,10,1201
production_baseline_with_best_selector,ID24,A,47,1201
production_baseline_with_best_selector,ID24,C,683,1201
production_baseline_with_best_selector,ID24,D,2,1201
production_baseline_with_best_selector,ID24,F,4,1201
production_baseline_with_best_selector,ID24,G,17,1201
production_baseline_with_best_selector,ID24,H,1,1201
