version,ID,peer,path,tilt,facing,position_backend,status,N_frames,radius,radial_std,z_plane_std,circle_thickness_std_diagnostic,circle_thickness_rms_diagnostic,circle_thickness_p95_diagnostic,plane_tilt_deg,center_x,center_y,center_z,normal_x,normal_y,normal_z,turn_count,estimated_turns,turn_center_rms_3d_mm,turn_center_p95_3d_mm,turn_center_x_std_mm,turn_center_y_std_mm,turn_center_z_std_mm,turn_radius_std_mm,median_anchors,pct_ge7,pct_ge8
V-A_unbounded,R01,BS2DCE,captures/current,,,cuda:0,ok,1201,506.96338116721216,60.63479420798706,131.68604152672572,85.27047345902159,144.96038346928592,291.1853096015698,11.966797938024918,1545.5381787173797,1127.6164975418085,-937.7472787544034,0.061918273007238026,0.19788382340437027,-0.9782679182630234,31,31.56760253637997,22.858556389364303,40.376012555847424,11.047576339051298,9.89743544965457,17.886378861171455,7.981887534035909,8.0,99.91673605328893,95.42048293089093
V-A_unbounded,R01,BSDC91,captures/current,,,cuda:1,ok,1200,615.8151934349745,56.40668070909293,101.92397023316758,71.39985911764306,116.4714188222965,253.961179623044,2.1969494061451194,1566.9330692158765,1120.3534776014974,-856.4722750621017,-0.023608553729711795,-0.030202287325941213,0.9992649588728071,31,31.516057674680525,20.099166691765763,34.42834990193823,10.55242032529528,10.579283075935946,13.934402748988191,7.175493886728127,8.0,99.66666666666667,94.16666666666667
V-A_unbounded,R02,BS2DCE,captures/current,,,cuda:0,ok,1201,508.1754551444321,73.45845626818388,122.72853463483168,76.52649294496904,143.07285998653168,266.8062333996806,23.229756028096794,1571.238719302508,1091.359799166405,-935.4510990021009,0.10742168893833982,-0.37950900740965543,-0.9189306252599121,28,28.412098705166418,31.36684553234724,44.76654213263347,15.417975028898494,15.945562818878653,22.985735445283385,8.394019883317666,8.0,99.83347210657784,91.59034138218152
V-A_unbounded,R02,BSDC91,captures/current,,,cuda:1,ok,1200,607.4246652736269,57.764851823337864,89.89310468042336,57.41180094433434,106.84380911410071,200.944316635845,20.720525417724307,1560.954199534167,1118.9049870810802,-868.5949468982939,-0.11181514903267323,0.33567668919943494,0.9353173433519275,28,28.3829589331093,13.570844420903148,24.349798774600536,7.703203962245475,5.292683772243544,10.18022572474236,4.274462930027043,8.0,100.0,95.0
V-A_unbounded,R03,BS2DCE,captures/current,,,cuda:0,ok,1200,540.9131876914824,69.86218239119958,79.22580032583586,52.597604127987985,105.68181243813868,190.48992534711215,34.58895373576742,1650.766718456133,1183.5694194754572,-882.3797462075602,0.5230773152204179,0.2205820160805384,-0.8232458299218068,29,28.791657662121917,20.146076383452193,33.03294684906428,11.140753133982395,9.681940351903437,14.230361948795668,6.989043518394163,8.0,100.0,95.33333333333334
V-A_unbounded,R03,BSDC91,captures/current,,,cuda:1,ok,1200,616.1437270934846,46.87734764657667,62.63149410381715,40.619054908795306,78.21939363765145,148.01955336991236,26.99394983840762,1607.180926072775,1180.5243462423923,-860.9871830427949,-0.444223561006572,-0.09320611520343236,0.8910544584565665,29,28.713742128852495,15.253627664899922,24.815487659078453,8.025283077985549,9.643360170196463,9.142392941153105,5.211582080700275,8.0,100.0,94.0
V-A_unbounded,R04,BS2DCE,captures/current,,,cuda:0,ok,1200,514.8009618245803,61.15442789515765,97.81194730564651,61.69767674131738,115.36558189256488,228.34301963018115,28.73334326859168,1545.2608175870973,1262.9345233726292,-910.5850832141133,-0.02340299526455243,-0.4801638831510374,0.8768665492137125,28,28.564044995625583,24.344310113916162,37.04319873874038,14.870069320255075,6.934048876449812,18.584812897508307,6.77136997236153,8.0,99.75,91.91666666666667
V-A_unbounded,R04,BSDC91,captures/current,,,cuda:1,ok,1200,607.2948179830667,65.67848627858642,75.40216299851745,59.79076372930032,100.01741680637441,193.18040644665868,22.58784298763429,1558.365558567852,1238.019981703175,-861.6825210526819,-0.000763063479940862,0.38409866940247256,-0.923291736071203,28,28.564688178331195,17.953550618275656,30.790235283598644,9.643616541351125,9.692502565395216,12.137717298828594,5.487747805890516,8.0,99.91666666666667,92.66666666666666
V-A_unbounded,R05,BS2DCE,captures/current,,,cuda:0,ok,1200,536.3002424565885,81.11512181905654,98.15948887909056,69.56427538469059,127.43405518730957,246.55860623660746,28.396274283366935,1452.922570200047,1194.0666007701204,-902.2390078539393,-0.47534831250839665,0.014420849827459392,-0.8796794989572474,29,28.839036235776803,27.483550504046335,48.72438044444939,10.112124464759477,18.00488608847939,18.865078605292418,10.765793859644884,8.0,100.0,96.91666666666666
V-A_unbounded,R05,BSDC91,captures/current,,,cuda:1,ok,1201,620.0433698209583,50.45893675961188,66.44427067617626,42.33917077324805,83.42285000770809,152.46207459895587,21.364652479110017,1493.5342498483215,1180.578202439011,-870.6059750938379,-0.3638717565306065,-0.017706602380916037,-0.9312807423282494,29,28.847853590024474,14.094717845040085,21.351874724918876,8.421587431488808,8.703423628205012,7.686572166302279,6.352352905555292,8.0,99.83347210657784,93.67194004995837
