position,anchor,n,corrected_median_range_mm,vicon_distance_mm,range_minus_vicon_mm,distance_to_solved_position_mm,range_minus_solved_distance_mm,link_noise_std_mm,in_top12_abs_bias
ID01,A,1199,1050.3185708468577,1351.8943525785053,-301.57578173164757,1437.8086478355733,-387.4900769887156,24.85496706250842,False
ID01,D,1198,1703.4360626443276,1935.128088300351,-231.69202565602336,1886.666840301894,-183.23077765756625,22.388026484859374,False
ID01,C,1197,1880.5575411218106,2105.715324080293,-225.15778295848258,2037.35570973802,-156.79816861620952,27.9138852556777,False
ID01,H,1179,2241.805818428271,2434.7143529599857,-192.90853453171485,2428.088161330112,-186.28234290184128,144.00261164687893,False
ID01,G,1141,2424.4086377939984,2609.3399440442154,-184.93130625021695,2602.7134075447693,-178.3047697507709,118.40724679515293,False
ID01,B,1199,1456.429486818647,1615.2379476839153,-158.80846086526822,1626.433203466701,-170.0037166480538,21.294149627376374,False
ID01,F,1192,2086.367907977179,2216.617991636123,-130.25008365894382,2252.8914146283378,-166.52350665115864,63.62866518459946,False
ID01,E,1201,2028.46372824624,1994.5883920778015,33.87533616843848,2054.2970122191678,-25.833283972927802,22.912845496781216,False
ID03,F,1188,1261.4647105228964,1534.2191794017795,-272.754468878883,1470.435517849179,-208.9708073262825,84.65478178966026,False
ID03,A,1200,1748.5619269131275,2009.7778996477477,-261.2159727346202,2096.9152103546967,-348.35328344156915,31.91734519850349,False
ID03,E,1198,1249.7853274068293,1461.9527865558496,-212.16745914902026,1521.6745610111836,-271.88923360435433,24.701776723846322,False
ID03,C,1198,2248.6996760552474,2459.6068016025747,-210.90712554732727,2478.5512681253085,-229.8515920700611,22.269531887615255,False
ID03,G,1156,1894.2722056538926,2093.3708262133814,-199.09862055948884,2115.1894980899624,-220.91729243606983,104.28381700284642,False
ID03,D,1201,2601.4612379494247,2445.3468394693987,156.114398480026,2501.0023540632137,100.45888388621097,23.07336102300964,True
ID03,H,1173,1914.8233528446517,2045.001692404165,-130.17833955951323,2028.7634747323139,-113.94012188766214,33.946296064096394,False
ID03,B,1201,2146.3082570598326,2019.1521853493364,127.15607171049624,2071.8794753233637,74.42878173646886,22.951011495586688,True
ID04,A,1199,2006.0491123513211,2235.969101074694,-229.91998872337308,2280.5630508881354,-274.5139385368143,18.262551654291283,False
ID04,C,1198,1153.9621608957232,1374.0713468273289,-220.10918593160568,1341.4923815851528,-187.5302206894296,19.408599652537905,False
ID04,D,1201,2162.0856772910092,2373.1525815979426,-211.06690430693334,2344.541938408773,-182.45626111776392,21.551292693567316,False
ID04,G,1171,1859.4717855381318,2056.1465709417766,-196.67478540364482,2146.216183934888,-286.74439839675597,103.77321555888865,False
ID04,E,1200,2509.0049021829454,2668.3898756707526,-159.3849734878072,2741.2329509538813,-232.22804877093586,25.40874023803101,False
ID04,B,1200,1027.8693180322525,1143.7421195975337,-115.87280156528118,1198.0393864545501,-170.17006842229762,24.608408179474118,False
ID04,F,1178,1974.1713045001343,1863.1623005741753,111.00900392595895,1982.7425539403926,-8.57124944025827,83.98223991795771,True
ID04,H,1187,2881.853791438978,2836.673086519975,45.18070491900289,2878.127312050678,3.7264793883000493,31.773620136695705,False
ID07,A,1201,1901.332272304213,2202.8848851031757,-301.55261279896285,2162.3844105384524,-261.05213823423946,25.186283102285362,False
