fit,delta_tag_median_mm,delta_tag_min_mm,delta_tag_max_mm,rho_percent_median,train_rms_median_mm
additive_only,145.18009960699135,142.04350046304495,149.6154101522273,nan,99.50711181307449
joint_distance_rho,-157.15997862053098,-191.03262305829023,-127.59827833669618,7.672795846675395,95.4795613440574
